spite | n. 恶意；怨恨；不顾 。vt. 刁难；使恼怒
luxury | n. 奢侈，奢华；奢侈品；享受 。adj. 奢侈的
accommodate | vt. 供应；使适应；调解；容纳 。vi. 适应；调解
primarily | adv. 主要地，根本上；首先
setback | n. 挫折；逆流；退步
restrain | vt. 抑制，控制；制止；约束
gossip | n. 小道传闻；随笔；爱说长道短的人 。vi. 闲聊；传播流言蜚语
reward | n. 报酬；酬谢；报答 。vt. 奖赏；奖励
maintain | vt. 维持；维修；供养；继续；主张
define | vt. 定义；使明确；规定
harmony | n. 协调；融洽；调和；和睦
arrogant | adj. 自大的，傲慢的
afford | vt. 给予，提供；买得起
argue | vi. 争论，辩论；提出理由 。vt. 辩论，争论；说服；证明
paradise | n. 天堂
plea | n. 恳求，请求；辩解，辩护；借口，托辞
merely | adv. 仅仅，只不过；只是
flat | adj. 平坦的；单调的；浅的；扁平的 。adv. 断然地；平直地 。n. 平地；平面；公寓 。vi. 变平 。vt. 使变平
ponder | vt. 仔细考虑；衡量 。vi. 沉思；考虑
ignite | vt. 点燃；使燃烧；使激动 。vi. 点火；燃烧
asset | n. 资产；有用的东西；有利条件；优点
decent | adj. 得体的；正派的；相当好的
recipe | n. 食谱；[医]处方；秘诀
premier | adj. 第一的；最初的 。n. 总理，首相
casual | adj. 偶然的；随便的；临时的；非正式的 。n. 临时工人；便装；待命士兵
severe | adj. 严厉的；苛刻的；剧烈的；严峻的
propel | vt. 推进；驱使；驱策；激励
authorize | vt. 批准，认可；授权给；委托代替
instruct | vt. 命令；教授；指导；通知
lure | n. 诱惑物；诱惑；饵 。vt. 引诱；诱惑
genuine | adj. 真实的，真正的；诚恳的
emergency | n. 紧急情况；突发事件；非常时刻 。adj. 紧急的；备用的
proceedings | n. 诉讼；会议记录；议程；行动（proceeding的复数形式）
consensus | n. 一致；舆论；合意
artery | n. 动脉；干道；主流
internal | adj. 国内的；内部的；内在的
splash | vt. 溅，泼；用...使液体飞溅 。n. 飞溅的水；污点；卖弄 。vi. 溅湿；溅开
calorie | n. 卡路里（热量单位）
accommodation | n. 调节；住处，膳宿；和解；预订铺位
background | n. 背景；隐蔽的位置 。vt. 作…的背景 。adj. 背景的；发布背景材料的
spoil | vt. 溺爱；糟蹋；掠夺 。vi. 变坏；掠夺；腐败 。n. 次品；奖品
represent | vt. 表现；描绘；代表；回忆；再赠送 。vi. 提出异议；代表
sponge | vt. 抹掉；用海绵擦拭；讨得 。vi. 采集海绵；过寄生生活；海绵般地吸收 。n. 海绵；海绵状物
hostile | adj. 敌对的，敌方的；怀敌意的 。n. 敌对
chord | n. 弦；和弦
feeble | adj. 微弱的，无力的；虚弱的；薄弱的
spontaneous | adj. 自发的；自然的；无意识的
spouse | n. 配偶 。vt. 和…结婚
sparkle | n. 活力；火花；闪耀 。vt. 使闪耀；使发光 。vi. 闪耀；发泡；活跃
receipt | n. 收到；收据；收入 。vt. 收到
compliment | n. 恭维；问候；致意；称赞；道贺 。vt. 恭维；称赞
poverty | n. 贫困；缺少；低劣；困难
scandal | n. 丑闻；流言蜚语；诽谤；公愤
overthrow | n. 推翻；倾覆；瓦解 。vt. 推翻；打倒；倾覆
repression | n. 抑制，压抑；镇压
abstract | n. 抽象；摘要；抽象的概念 。adj. 抽象的；深奥的 。vt. 提取；摘要；使……抽象化 。vi. 做摘要；写梗概
ensue | vi. 跟着发生，接着发生；继起 。vt. 追求
cognitive | adj. 认知的，认识的
notion | n. 概念；见解；打算
lubricate | vi. 润滑；涂油；起润滑剂作用 。vt. 使…润滑；给…加润滑油
sprinkle | n. 少量；撒，洒 。vt. 洒；微雨；散置 。vi. 洒，撒；下稀疏小雨；喷撒
acute | adj. 严重的，急性的；激烈的；敏锐的；尖声的
shipment | n. 装货；装载的货物
comparable | adj. 比得上的；可比较的
spy | vt. 侦察；发现；暗中监视 。vi. 侦察；当间谍 。n. 间谍；密探
pedestrian | adj. 徒步的；缺乏想像力的 。n. 行人；步行者
interaction | n. 交互作用；相互作用
faculty | n. 能力；全体教员；科，系
clutch | n. 控制；手；离合器；紧急关头 。vi. 攫；企图抓住 。vt. 抓住；紧握 。adj. 没有手提带或背带的；[美口]紧要关头的
biography | n. 传记；档案；个人简介
mourn | v. 哀悼；服丧；忧伤
limp | adj. 柔软的，无力的；软弱的 。vi. 跛行，一拐一拐地走；缓慢费力地前进 。n. 跛行
squad | n. [军]班；小队；五人组（篮球队的非正式说法）；vt. 把…编成班；把…编入班
