geology | n. 地质学；地质情况
provocative | adj. 挑衅的，煽动的，刺激的；挑逗的
tack | n. 平头钉，大头钉；行动方向，方针 vt. 用平头钉钉；附加，增补
amplify | vt. 放大（声音等），增强；扩大；详述，进一步阐述
colonial | adj. 殖民地的
tackle | n. 阻截，擒抱；用具，钓具；辘轳，滑车（组） vt. 对付，处理；与…交涉；（足球等比赛中）阻截，擒抱
dizzy | adj. 头晕目眩的，眩晕的；（指人）头晕的
crisp | adj. 脆的
grant | n.拨款  vt、授予
hamper | n.（有盖的）大篮子 vt. 妨碍，束缚；限制
humidity | n. 湿度；潮湿，湿气
intervene | vi. 干涉，干预；干扰，阻挠
reign | n. 君主的统治；君主的统治时期 vi. 当政，统治；占主导地位
drainage | n. 排水系统，下水道；排水，放水
hemisphere | n. 地球的半球；大脑半球
amend | n.　赔罪，赔偿  vt 修改，修订
prototype | n.原型；标准，模范
electrician | n. 电工，电气技师
historian | n. 历史学家，史学工作者
incredible | adj. 不能相信的，不可信的；难以置信的，不可思议的，惊人的
acknowledge | vt. 承认，承认…的权威（或主张）；告知收到，确认；对…表示谢忱，报偿
fuse | n. 保险丝，熔丝；导火线，导火索 v. 熔合，合并；（使）因保险丝熔断而中断工作
blunt | vt. 使迟钝，使减弱 adj. 钝的；率直的，直言不讳的
tame | vt. 制服，控制并利用；驯化，驯服 adj. 驯服的，顺从的；沉闷的，乏味的
peak | n. 山顶，顶点，顶峰 vi. 达到高峰，达到最大值 adj. 最大值的，高峰的
tan | n. 棕褐色，棕黄色；晒成棕褐色，晒黑 vt. 使晒成棕褐色；硝制（皮革）
numerical | adj. 数字的，用数字表示的；数值的
rigorous | adj. 严密的，缜密的；严格的，严厉的
tangle | n. 乱糟糟的一堆，混乱；复杂的问题（或形势）；困惑 v.（使）缠结，（使）乱作一团
linen | n. 日用织品，亚麻织品；亚麻布
foresee | vt. 预见，预知
plaster | n. 灰浆，灰泥；石膏；橡皮膏，膏药 vt. 在…上抹灰泥，厚厚地涂抹
intelligible | adj. 可理解的，明白易懂的，清楚的
culminate | vi.（以…）告终
analogy | n. 比拟，类比，类推，by analogy 用类推的方法
disrupt | vt. 使中断，扰乱
cater | vi. 满足需要（或欲望），迎合；提供饮食及服务，承办酒席
revolutionary | 某事；cater to sth. 满足某种需要或要求
electrical | n. 革命者 adj. 革命的，革新的
tanker | adj. 电的，电气科学的
target | n. 油轮
capacity | n. 靶，标的，目标
privilege | n. 容量；能力；才能；身份，地位
grieve | n. 特权，优惠
crumble | vt. 使伤心，为…而伤心 vi. 感到悲痛，伤心
provided | vt. 弄碎 vi. 崩溃，瓦解
function | conj. 假如，若是
intrigue | n. 功能，职务；函数；重大聚会 vi. 工作，运行，起作用
pastime | n. 阴谋，诡计，密谋 vt. 激起…的好奇心（或兴趣），迷住 vi. 耍阴谋，施诡计
electron | n. 消遣，娱乐
alien | n. 电子
specialist | n. 外国人，外侨；外星人 adj. 外国的，外国人的；陌生的；性质不同的，不相容的
expenditure | n. 专家
resort | n. 经费，费用，支出额；（时间、金钱等的）花费，支出，消耗
integral | n. 求助，诉诸；凭借；求助（或凭借）的对象，采用的手段（或办法）；常去之地，胜地。【考】resort to 求助，凭借，诉诸
alloy | adj. 构成整体所必需的，基本的
climax | n. 合金
tariff | n. 高潮，最令人兴奋（或感兴趣）的部分
initiate | n. 关税，税率；（旅馆、饭店等）价目表，收费表
discount | n. 新加入组织的人
rectangular | n.（价格、债款等）折扣 vt. 把…打折扣，不全信；漠视，低估
linear | adj. 长方形的，矩形的
module | adj. 线的，直线的，线状的；长度的；线性的
scorn | n. 组件，模块，模件；（航天器的）舱
hinder | n. 轻蔑，鄙视 vt. 轻蔑，鄙视；拒绝，不屑（做）
tease | vt. 阻碍，妨碍
pudding | n.（爱）戏弄他人者 vt. 戏弄，取笑；挑逗，撩拨
tedious | n. 布丁
abortion | adj. 冗长乏味的，沉闷的
faith | n. 流产，堕胎
indicative | n. 信任，信心；信仰，信条
overturn | n. 陈述语气 adj. 标示的，指示的；象征的；陈述的，直陈的
qualitative | vt. 使翻转，使倾覆，使倒下；颠覆，推翻 vi. 倾覆，翻转，翻倒
ideology | adj.（性）质的，定性的
telecommunications | n. 通信，电信（学）
