mission | n. 使命，任务；使团
occur | vi. 发生，出现；存在；被想起，被想到
attain | vt. 获得；完成，达到
magnificent | adj. 壮丽的，华丽的；极好的
adverse | adj. 不利的，有害的
stray | n. 走失的家畜 vi. 走失，迷路；分心，走神；离题 adj. 迷路的，走失的；孤立的，零星的
remedy | n. 补救办法，纠正办法；药品，治疗法 vt. 补救，纠正；医治，治疗
potential | n. 潜力，潜能 adj. 潜在的，可能的
mob | n. 暴民，乌合之众 vt. 成群围住，聚众袭击
cane | n. 手杖；（藤、竹等的）茎
inferior | n. 下级，下属 adj. 下等的，劣等的【考】(be) inferior to 比…差的；比…地位低的
temper | n. 韧度；心情，情绪 vt. 调和，使缓和；（冶金）回火
criticize | vt. 批评，评论，非难
stimulus | n. 促进（因素）；刺激（物）
grease | n.（动物）油脂；润滑脂，润滑油 vt. 用油脂涂，给…加润滑油
temperament | n. 气质，性情
bypass | n.（绕过市镇的）旁道，迂回道 vt. 绕过，绕…走；越过；置…于不顾
arrest | n. 逮捕，拘留，扣留 vt. 逮捕，拘留；停止，阻止；吸引
consolidate | v. 巩固，加强；（把…）联为一体，合并
assert | vt. 肯定地说，断言；维护；坚持
henceforth | adv. 从今以后，从此以后
remote | adj. 遥远的，偏僻的；关系疏远的；脱离的；绝少的；微乎其微的；孤高的，冷淡的
similar | adj. 相似的，类似的
allege | vt. 断言，宣称
recede | vi. 退，退去，渐渐远去；向后倾斜；缩进
arena | n. 表演场地，竞技场；活动场所
cordial | adj. 热情友好的，热诚的
groan | n. 呻吟，抱怨；呻吟般的声音 vi. 发出呻吟般的声音
decisive | adj. 决定性的；坚定的，果断的，决断的
tempo | n.（音乐的）速度；节奏，行进速度
coincide | vi. 同时发生；相符，相一致；位置重合，重叠
disregard | n. 忽视，漠视 vt. 不理会，漠视
belly | n. 肚子，腹部
machinery | n. 机器，机械
shuttle | n. 短程穿梭运行的飞机（或火车、汽车）；航天飞机；（织机的）梭子 vt. 短程穿梭运送 vi. 穿梭般来回
counter | n. 柜台；筹码
intelligent | adj. 聪明的，理智的
tempt | vt. 吸引，引起…的兴趣；引诱，诱惑
paralyze | vt. 使瘫痪，使麻痹；使丧失作用；使惊愕，使呆若木鸡
companion | n. 同伴，共事者；伴侣
tenant | n. 房客；佃户
immerse | vt.（使）浸没；（使）沉浸在，（使）专心于
hover | vi.（鸟等）翱翔；逗留在近旁，徘徊；彷徨，犹豫
lace | n. 网眼花边，透孔织品，花边；鞋带，系带 vt. 用系带束紧
shabby | adj. 破旧的，衣衫褴褛的；卑鄙的；不公正的
extinguish | vt. 熄灭，扑灭；使消亡，使破灭
batch | n. 一批，一组，一群；一批生产量
sociology | n. 社会学
purify | vt. 使纯净，提纯；使纯洁
dim | v.（使）变暗淡 adj. 昏暗的，朦胧的；（视力等）模糊不清的
blur | n. 模糊；模糊的东西 v.（使）变模糊
inflict | vt. 把…强加给；使…遭受；使…承担
pistol | n. 手枪
mansion | n. 大厦，（豪华的）宅邸
religion | n. 宗教，宗教信仰
boycott | n/vt 抵制，拒绝参与
alter | vt. 改变，变更，变动
heir | n. 继承人
certify | vt. 证明，证实；发证书（或执照）给
sculpture | n. 雕刻（术），雕塑（术）；雕刻作品，雕塑品
score | n. 得分，比数，成绩；二十 vt.（得）分，给…打分，划线于；获胜
overhear | vt. 无意中听到，偷听到
tendency | n. 趋向，趋势，倾向
recall | v. 回忆（起）；召回，叫回；收回，撤消
flush | n. 脸红，红光 vt. 冲洗，消除；使（脸等）涨红，使发红；赶出 vi. 被冲洗，清除；（脸）发红，脸红 adj. 齐平的，同高的；（尤指钱）充裕的，富裕的
sensation | n.（感官的）感觉能力；感觉，知觉；轰动，引起轰动的事件（或人物）
conscious | adj. 意识到的，自觉的；神志清醒的；有意的，存心的【考】be conscious of 知道；become conscious 恢复知觉、意识
circulation | n.（体液的）循环，（水、空气等的）流通；流传，传播，发行；发行量；（货币等的）流通
dolphin | n. 海豚
missionary | n. 传教士
slogan | n. 标语，口号；广告语
reveal | vt. 揭露，泄露；展现，显示
bump | n. 碰撞，猛撞；（碰撞造成的）肿块；隆起物 vi. 碰（伤），撞（破）；颠簸着前进
attack | n/vt.攻击，进攻
exaggerate | v.夸大，夸张
