grave | n. 坟墓 adj. 严重的；严肃的
ethnic | adj. 种族的
fraud | n. 欺诈，诈骗；骗子
incur | vt. 招致，遭受，引起
impart | vt. 告知，透露；赋予，给予
refuge | n. 庇护所，避难处；庇护
scrape | n. 刮，擦；刮擦声 v. 刮，擦【考】scrape by 勉强度日
caution | n. 小心，谨慎；注意（事项），警告 vt. 劝…小心
demand | n./vt 要求，需求
apartment | n.一套公寓房间
inevitable | adj. 不可避免的，必然的
recovery | n. 恢复，痊愈；追回，寻回；收复
tentative | adj. 试探（性）的，试验（性）的
complement | n. 补充，互为补充的东西；编制名额；装备定额；补（足）语 vt. 与…相配
frantic | adj. 慌乱不安的，紧张纷乱的；（因恐惧、焦急等）发疯似的，发狂的
divert | vt. 使转向，使改道
spiral | n. 螺旋（线），螺旋式的上升（或下降） adj. 螺旋的 vi. 盘旋上升（或下降）；（物价等）不断急剧地上升（或下降）
terminate | v. 停止，（使）终止
render | vt. 使得，致使；给予，提供；翻译
eagle | n. 鹰
encourage | vt. 鼓励；促进，助长；激发
conspicuous | adj. 显眼的，明显的
prose | n. 散文
pretext | n. 借口，托词
artillery | n. 火炮，大炮；dwell
dwell | n.（基督教）感恩节
parameter | n. 轻松，宽慰；（痛苦等）缓解，减轻，解除；使得到调剂；接替，替下
scramble | n. 冠军，得胜者；捍卫者，拥护者
imaginary | vt. 分配，分派，把…拨给
Thanksgiving | n.（基督教）感恩节
relief | n. 轻松，宽慰；（痛苦等）缓解，减轻，解除；使得到调剂；接替，替下
champion | n. 冠军，得胜者；捍卫者，拥护者
allocate | vt. 分配，分派，把…拨给
compulsory | adj. 必须做的，强制性的；（课程）必修的
flask | n. 长颈瓶，（扁形）酒瓶；烧瓶
expertise | n. 专门知识（或技能等），专长
terrace | n.（通常外表结构一样的）排屋；（屋旁）地坪，草坪；loyalty
loyalty | n. 忠诚，忠心
depress | vt. 使沮丧；使不景气；按下
sieve | n. 筛子，漏勺 vt. 筛，滤
label | n. 标签，标记，符号 vt. 贴标签于；把…称为
recur | vi. 再发生，重现
capable | adj. 有能力的，有才能的【考】be capable of 做得出（某事）的，有能力的，有本领的
mediate | vt. 经调解解决；经斡旋促成 vi. 调解；斡旋【考】mediate inammunition
ammunition | n. 弹药，火药
critical | adj. 决定性的；批评的
massive | adj. 大的，大而重的；大块的；大量的，大规模的
decree | n. 法令，政令；判决，裁决 vt. 判决，命令
abandon | vt. 离弃，丢弃
cucumber | n. 黄瓜
terrain | n. 地形，地势
robust | adj. 强壮的，健康的
saturate | vt. 使湿透，使浸透；使充满，使饱和
scatter | v. 撒，散播
defect | n. 缺点；缺陷，欠缺 v. 变节，叛变
convict | n. 囚犯 vt.（经审讯）证明…有罪，宣判…有罪
ingredient | n.（混合物的）组成部分，成分，（烹调的）原料；（构成）要素，因素
retort | n./vt 反驳，回嘴
brief | n.概要，摘要
pasture | n. 牧草地，牧场 vt. 放牧
terrific | adj. 极妙的；极大的
purchase | n. 购买；购买的物品 vt. 买
mobilize | v. 动员；调动；鼓动
assassination | n. 刺杀，暗杀
monitor | n. 班长；监视器，检测器；（计算机）显示器 vt. 监听，检测
economical | adj. 节约的；经济学的
detect | vt. 察觉，发觉；侦查出
mutual | adj. 相互的；共同的
preach | vt. 宣讲（教义），布（道）；竭力鼓吹，宣传 vi. 布道，说教
territory | n. 领土，版图；领域
insight | n. 洞察力；洞悉，深刻的见解【考】have an insight into sth. 对…有深入了解
desirable | adj. 值得向往的，可取的
instrumental | adj. 起作用的，有帮助的；用乐器演奏的【考】instrumental in 有帮助的，起作用的
testify | v. 作证，证明；表明，说明【考】testify to 表明，说明
