hazard | n. 危险，公害 vt. 尝试着做（或提出），冒…风险
band | n. 乐队；一群，一伙；带；条纹；波段 vt. 用带绑扎
coarse | adj. 粗糙的；粗劣的；粗俗的
justification | n. 正当的理由，借口
frequency | n. 屡次，次数，频率；经常发生
entertainment | n. 娱乐，文娱节目，表演会；招待，款待，请客
admit | v. 承认，供认；准许…进入
command | vt. 命令，指挥；控制
thrill | n. 兴奋，激动；引起激动的事物 v.（使）兴奋，（使）激动
endeavor | n/vt  努力，尽力
thrive | vi.兴旺，繁荣
shield | n. 防护物，护罩；盾（状物） vt. 保护，防护
invisible | adj. 看不见的，无形的
interact | vi. 相互作用，相互影响
marshal | n. 元帅，最高指挥官；（某些群众活动的）总指挥，司仪；（美国的）执法官，警察局长，消防队长 vt. 整理，排列，集结
throne | n. 御座，宝座；王位，王权
guardian | n. 监护人；守卫者，保护者
meadow | n. 草地
provoke | vt. 对…挑衅，激怒；激起，引起
tick | n. 记号，勾号；（钟表）滴答声 vt. 给…标记号 vi. 发出滴答声
tickle | n. 痒  vt. 使发痒
tile | n. 瓦，瓷砖 vt. 铺瓦于，贴瓷砖于
indefinite | adj. 无限期的；模糊的，不确定的
restore | vt. 恢复；修复，整修；归还，交还
apology | n. 道歉，认错，谢罪
predominant | adj. 占主导地位的；显著的
attract | vt. 吸引，引起…注意
conduct | n. 举止，行为；指导；管理（方式），实施（方式）vt. 进行；管理，指导，引导；传输，传导（热、电等）【考】conduct oneself （行为）表现
tilt | n. 倾斜
clue | n. 线索，暗示，提示
aspect | n. 方面；（建筑物的）朝向、方向；样子，外表
beforehand | adv. 预先，事先
slum | n. 贫民窟
knit | v. 编织；结合；皱紧，皱（眉）
timely | adj. 及时的，适时的
evidence | n. 根据，证据；证人
curse | n/vt  祸害，祸根
devise | vt.设计，发明
invest | v. 投资，投入，授予
evoke | vt. 唤起，引起；使人想起
maximum | n. 最大量，顶点 adj. 最大的，最高的，顶点的
performance | n. 演出；履行，执行，完成；工作情况，表现；（机器等的）工作性能
deny | vt. 否定；拒绝相信
modify | vt. 更改，修改；（语法上）修饰
remnant | n. 残留部分
generate | vt. 发生，引起；生殖
perish | vi. 丧生，毁灭，消亡；（橡胶、皮革等）失去弹性，老化
dismay | n. 失望，气馁；惊恐，惊愕 vt. 使失望，使气馁；使惊恐，使惊愕
atmosphere | n. 大气，空气；气氛，环境
settle | v. 安排，安放；调停；支付，核算；安家；（鸟等）飞落，停留；安定【考】settle down 定居，过安定的生活；平静下来，定下心来；settlein(to) 在新居安顿下来；适应新环境（或新工作）
timid | adj. 羞怯的，胆小的
ritual | n.（宗教等的）仪式；例行公事，老规矩 adj. 作为仪式一部分的；例行的
revive | vt. 使复苏 vi. 恢复
persistent | adj. 坚持不懈的，执意的；持续的
locomotive | n. 机车 adj. 运动的，活动的
arrange | v. 安排；准备，整理
tissue | n. 组织；薄绢，薄纸，手巾纸
cardinal | n. 红衣主教；基数词 adj. 最重要的，基本的
gaze | n/vi.凝视，注视
blush | n/vi.脸红
token | n.筹码，信物
novelty | n. 新奇事物；新奇，新奇感，新奇性；新颖小巧而廉价的物品
profitable | adj. 有利可图的，有益的
jerk | n. 急推，急拉，急扭 v. 使猝然一动，猛拉
hypothesis | n. 假设，假说；前提
limb | n. 肢，臂，腿；树枝
discipline | n. 纪律；训练；惩罚；学科 vt. 训练；惩罚，处罚
magistrate | n. 地方行政官，地方法官，治安官
burial | n. 葬，掩埋；葬礼
oxygen | n. 氧, 氧气
simultaneous | adj. 同时发生的，同时存在的，同步的
attach | vt. 缚，系，贴，附加；使依恋，使喜爱；使附属；认为有（重要性、责任等）【考】attach to 使依恋；把…放在；be attached to 附属于
tolerant | adj. 宽容的，容忍的
