continuity | n. 连续（性），持续（性）
cable | n. 结，索，电缆；（海底）电报 vt. 给…发电报，用电报传送
attendant | n. 服务人员；侍者，随从 adj. 伴随的，随之产生的
trifle | n. 琐事，小事，无价值的东西 vi. 嘲笑，轻视【考】a trifle 有点儿，稍微；trifle with 嘲笑，轻视
fringe | n. （头发的）刘海；饰以流苏的边；边缘，外围 vt. 成为…的边缘 adj. 附加的，额外的
transmission | n. 传播，发射；传送，传递；传染
inherent | adj. 内在的，固有的，生来就有的【考】inherent in 内在的，生来就有的
contention | n. 论点；争论，争辩
mute | vt. 消除（声音），减轻（声音） adj. 缄默的，无声的；哑的，不会说话的；（字母）不发音的
spectacle | n. （大规模）演出，场面；景象，壮观；
clearance | n. 净空；余隙；许可（证），批准；（银行）票据交换，清算；清除，清理
autonomy | n. 自治，自治权，自主权；人身自由
fraction | n. 小部分，片断；分数
gross | adj. 总的，严重的；粗俗的；臃肿的
conflict | n. 冲突，抵触；争论；战斗，战争 vi. 冲突，抵触
vary | vt. 改变，使多样化 vi. 变化，有差异
metropolitan | adj. 大都市的，大都会的
clarity | n. 清楚，明晰
instrument | n. 仪器，工具；乐器
confusion | n. 困惑，糊涂；混淆；骚乱
ambiguous | adj. 引起歧义的，模棱两可的，含糊不清的
speculate | v. 推测，推断；投机，做投机买卖
trigger | n. （枪等的）扳机；引起反应的装置 vt. 触发，引起
exploit | n.业绩，功绩
donation | n. 捐款，捐赠物；捐赠，赠送
cynical | adj. 愤世嫉俗的，（对人性或动机）怀疑的
triple | v. （使）增至三倍 adj. 三部分的，三方的；三倍的，三重的
overlook | vt. 忽视；宽恕；俯瞰
grief | n. 悲伤，悲痛；悲伤的事，悲痛的缘由
clockwise | adj.顺时针方向的
scrutiny | n. 详细检查，仔细观察
breakthrough | n. 突破，突破性进展；重要的新发现
disaster | n. 灾难，灾祸，天灾；彻底的失败
deceive | vt. 欺骗，蒙蔽，行骗
arrangement | n. 整理，排列，安排；
rehearsal | n. 排练，排演
hatred | n. 憎恶，憎恨，仇恨
hinge | n. 铰链【考】hinge on
necessitate | vt. （使）成为必要，需要
triumph | n. 凯旋，胜利 vi. 成功
cite | vt. 引用，引证；传唤，传讯；表彰，嘉奖
incidence | n. 发生率
debate | n./vt  争论，辩论
trivial | adj. 琐碎的，不重要的
decrease | n. /vt  减少
kidney | n. 肾，肾脏
advocate | vt. 拥护，提倡，主张 n. 拥护者，提倡者；辩护者，律师
disturbance | n. 扰乱，打扰；骚乱，混乱；心神不安，烦恼
formidable | adj. 可怕的，令人敬畏的；难以克服的，难对付的
multitude | n. 大量，许多；
atlas | n. 地图集
objective | n. 目标，目的 adj. 客观的，无偏见的
mechanical | adj. 机械的，机械制造的，机械学的，力学的；呆板的
describe | vt. 形容，描写；画出（图形等）
exemplify | vt. 是（或作为）…的典型（或榜样）；例示，举例证明
minibus | n. 小型公共汽车
fulfill | vt. 履行，实现，完成；满足，使满意
existence | n. 存在，实在；生存
tub | n. 桶，塑料杯，纸杯；盆，洗澡盆，浴缸
tuck | n. （衣服等的）褶，裥 vt. 把（衬衫、餐巾等）的边塞到下面（或里面）；把…夹入，把…藏入【考】tuck away 把…隐没在，把…藏起来；大吃；tuck in 给…盖好被子；把…塞好；tuck up 折起
minority | n. 少数，少数民族
enclosure | n. 四周有篱笆（或围墙等）的场地，围场；（信中的）附件
tug | n. 拖船；猛拉，牵引 v. 用力拖（或拉）
oak | n. 栎树，橡树；栎木，橡木
persist | vi. 坚持，持续【考】persist in 坚持，固执
appeal | n. 吸引力；呼吁，上诉 vt. 控诉，移交上级法院审理 vi. 求助，诉请，要求【考】appeal to 吸引；向…上诉；appeal to sb. for help 向某人求助
derive | vt. 取得，得到；追溯…的起源或来由 vi. 起源，衍生【考】derive from 来自，由来，衍生
brew | n. 冲泡（或酿造）的饮料 vt. 酿造（啤酒）；冲泡（茶、咖啡等）；来龙去脉 vi. （茶、咖啡等）冲泡；酝酿，行将发生
intrinsic | adj. 固有的，本质的，内在的
significant | adj. 相当数量的；重要的，意义重大的，意味深长的
obligation | n. 义务，责任
access | n. 接近；通道，入口；接近（或进入，享用）的机会 vt. 存取（计算机文件）【考】access to 通往…的道路；have access to 有机会、权利享用或接近…
tuition | n. （某一学科的）教学，讲授，指导；学费
generalize | v. 概括，归纳，推断；普及
