appliance | n. 用具，器具，器械
disastrous | adj. 灾难性的，造成灾害的；极坏的，很糟的
consume | vt. 消费，吃完，喝光 vi. 消灭，毁灭
intense | adj. 强烈的，紧张的；认真的，热情的
contract | n. 契约，合同 v. 缩小；订合同；感染（疾病）；染上（恶习）
discharge | n. 释放；放电 v. 排出；卸货
adolescent | n. 青少年 adj. 青春期的，青少年的
homogeneous | adj. 同种类的，同性质的，有相同特征的
dignity | n. 庄严，端庄；尊严，高贵
routine | n. 例行公事，惯例，惯常的程序 adj. 例行的，常规的
tumble | n. 跌倒，摔倒 vi. 摔下，滚下；翻滚；（价格等）暴跌；不由自主地卷入【考】tumble to （突然）明白，领悟
arouse | vt. 引起，唤起，唤醒
commend | vt. 称赞，表扬；推荐
provision | n. 供应；准备，预备；条款，规定；
ascend | vt. 攀登，登上 vi. 渐渐上升，升高
tunnel | n. 隧道，坑道，地道 v. 挖（地道），开（隧道）
resume | vt. （中断后）重新开始，继续，恢复 n. 摘要，概要；简历
respective | adj. 各自的，各个的，分别的
prejudice | n. 偏见，成见；损害，侵害 vt. 使有偏见；对…不利，损害
dwarf | n. 矮子，侏儒 vt. （由于对比）使显得矮小，使相形见绌 adj. 矮小的，发育不全的
primary | adj. 首要的，主要的；基本的；最初的，初级的
segregate | vt. 使隔离，使分开
cope | vi. （成功地）应付，（妥善地）处理【考】cope with 应付，对付
infectious | adj. 传染的，有传染性的；有感染力的
legislation | n. 法律，法规；立法，法律的制定（或通过）
turbulent | adj. 动荡的，混乱的；汹涌的，狂暴的
contaminate | vt. 弄脏，污染
ridiculous | adj. 荒谬的，可笑的
controversy | n. 争论，辩论
turnover | n. 营业额，成交量；人员调整，人员更替率
array | n. 展示，陈列；一系列；排列，队形；衣服，盛装；数组 vt. 排列，配置（兵力）；打扮，装饰
expand | vt. 扩大，使膨胀
perplex | vt. 使困惑，使费解；使复杂化
disposal | n. 丢掉，销毁；处理；排列，布置
naive | adj. 幼稚的，轻信的；天真的
fitting | n. 设备，家具
complexion | n. 肤色，面色；局面；性质
forthcoming | adj. 即将到来的，即将出现的；可得到的；乐于提供消息的
principle | n. 原则，原理，道义；基本信念，信条
confer | vt. 授予，赋予 vi. 商谈，商议【考】confer on 授予，赋予
intuition | n. 直觉；由直觉获知的信息
deprive | vt. 剥夺，使丧失
tutor | n. 导师；家庭教师，私人教师 v. 当…导师，当…家庭教师
twist | n. 扭弯；转折，转变；弯曲，曲折处 v. 使缠绕，使盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身
isle | n. 小岛，岛
accordance | n. 一致，和谐，符合【考】in accordance with 按照，根据，与…一致
crash | n. 碰撞；破裂声 vt. 砸碎；冲，闯 vi. 倒下，坠落；发出撞击声；垮台，破产
ultimate | n. 终极，顶点 adj. 最后的；最终的
constitution | n. 宪法，章程；组成，设立
aerial | n. 天线 adj. 飞机的，航空的；空中的，架空的
ultraviolet | adj. 紫外（线）的
renaissance | n. 文艺复兴
recover | v. 重新获得，挽回；恢复
fantasy | n. 想象，幻想；想象的产物
rational | adj. 理性的，理智的；合理的
schedule | n.时刻表，日程安排表，安排
luggage | n. 行李
porch | n. 门廊
committee | n. 委员会，全体委员
garbage | n. 垃圾，废物；废话；无用（或不正确）的资料
deficit | n. 赤字，亏空，亏损
unanimous | adj. 全体一致的，一致同意的
underestimate | n. 估计不足，低估 vt. 对…估计不足
undergo | vt. 经历，经受，忍受
discrepancy | n. 不符合（之处），不一致（之处）
crowd | n. 群，一批 vt. 挤；挤满 vi. 聚集，涌
diplomat | n. 外交官，外交家；有交际手腕的人，圆滑的人
instance | n. 例子，实例，事例
clash | n.冲突，不协调
motive | n. 动机，目的
preview | n. （电影、戏剧等的）预映，预演；（电影等的）预告（片）
despise | vt. 鄙视，看不起
underlying | adj. 含蓄的，潜在的
confine | n./vt 界限，限制
barrier | n. 栅栏；检票口；屏障；障碍，隔阂
