various | adj. 各种各样的，不同的
regulation | n. 规章，规则；管理，控制，调节
collision | n. 碰撞；冲突，抵触
fake | n. 假货，赝品；骗子，冒充者 vt. 伪造，捏造；伪装，假装 adj. 假的，伪造的，冒充的
epoch | n. 时期，时代
semester | n. 学期
basis | n. 基础，根据；原则
entity | n. 实体，独立存在体，实际存在物
drastic | adj. 严厉的，极端的；激烈的，迅猛的
intent | n. 意图，意向，目的 adj. 专心的，专注的；急切的【考】to all intents (and purposes) 几乎在一切方面， 实际上；intent on 专心的；急切的
jeopardize | vt. 危及，危害
liable | adj. 易于…的，可能的【考】be liable to 可能的；易于…的
inland | adj. 内陆的，内地的 adv. 在内地（内陆），向内地（内陆）
crucial | adj. 至关重要的，决定性的
account | n. 记述，解释，账目 vi. 说明…的原因；（在数量、比例方面）占…【考】account for 解释，说明；占有；on account of 由于，为了…；on no account 决不可以，无论如何也不
petty | adj. 小的，琐碎的，不重要的；气量小的，心胸狭窄的
brink | n. （悬崖、河流等的）边缘，边沿【考】on the brink of 濒临，处于…边缘
revenge | n. 报复，报仇 vt. 为…报仇，报…之仇
vast | adj. 巨大的，大量的；浩瀚的
vegetation | n. 植物，草木
vehicle | n. 车辆，机动车；传播媒介，工具，手段
respond | vi. 回答，答复；作出反应，响应【考】respond to 对…作出反应
occupy | vt. 占领，占，占有
priest | n. 神父，牧师
resemblance | n. 相似，形似
pact | n. 契约，协定，条约
hurl | vt. 猛投，狠掷；大声叫骂
veil | n. 面纱，面罩；遮盖物，掩饰物 vt. 掩盖，掩饰
equivalent | n. 相等物，等价物 adj. 相等的，等量的
federation | n. 联合会；联邦
rhythm | n. 韵律，节奏
dramatic | adj. 引人注目的，激动人心的；戏剧的
blink | n. 眨眼睛；一瞬间 vi. 闪亮，闪烁
vein | n. 静脉，血管；叶脉；纹理，纹路；方式，风格
comply | vi. 遵从，依从，服从【考】comply with 遵从，服从
hop | n. 蹦跳；（飞机的）短程航行 vt. 跳上（汽车、火车、飞机等） vi. （人）单足
comparison | n. 比较，对照；比拟，比喻
solution | n. 解决；解决办法；溶液【考】solution to the problem 问题的解决方法
decorate | vt. 装饰，装潢，修饰
format | n. 设计，安排；格式，样式，版式 vt. 使格式化
auction | n./vt. 拍卖
medium | n. 媒质，媒介物，传导体 adj. 中等的
occasional | adj. 偶尔的，间或发生的
equator | n. （地球）赤道
magnet | n. 磁铁，磁体；有吸引力的人和事物
velocity | n. 速度，速率
inspiration | n. 灵感；鼓舞人心的人（或事物）
extensive | adj. 广阔的，广泛的
bulletin | n. （报纸、电台等）简明新闻，最新消息；公告，布告，公报；学报，期刊（尤指某机构的机关刊物）
reciprocal | adj. 相互的；互惠的
contradiction | n. 矛盾，不一致；否认，反驳
radius | n. 半径，半径范围
knob | n. （门、抽屉的）球形把手，球形柄；（收音机等的）旋钮；小块
repertoire | n. （剧团、演员等的）全部节目
obscure | vt. 使变模糊，掩盖 adj. 不著名的，不重要的；费解的，模糊不清的
migrate | vi. （候鸟等）迁徙，移栖；移居（尤指移居国外），迁移
irrigation | n. 灌溉
velvet | n. 天鹅绒，丝绒
blaze | n. 火焰，烈火；光辉，强烈（或眩目）的光；迸发，爆发；灿烂，炫耀 vi. 熊熊燃烧，着火；发（强）光，放光彩【考】blaze a trail 开拓道路，做先导
prevalent | adj. 流行的，普遍的
executive | n. 执行者 adj. 执行的；行政的
pilgrim | n. 朝圣者
commit | vt. 犯（错误），干（坏事）；使承诺；把…托付给；调拨…供使用，拨出【考】commit to 把…托付给，把…置于
leisure | n. 空闲时间，悠闲
cycle | n./v. （骑）自行车、摩托车；循环
manufacturer | n. 制造商，制造厂
preserve | vt. 保护，维持；保存，保藏；腌制
adore | vt. 崇拜，敬慕，爱慕；非常喜欢，爱
clamp | n. 夹头，夹具，夹钳 vt. （用夹具等）夹紧，夹住，固定
premature | adj. 比预期（或正常）时间早的；（做法等）不成熟的，仓促的
chase | n./vt. 追逐，追赶；追求
delicate | adj. 纤细的，易碎的；微妙的；精美的
incidentally | adv. 顺便说及地，顺便提一句
initiative | n. 主动性，首创精神；主动的行动，倡议；主动权
perfume | n. 香水；香料，香气 vt. 使充满芳香；洒香水于
