exception | n. 例外，除外
diploma | n. 毕业文凭，毕业证书；资格证书
perspective | n. 视角，观点；远景，景观；透视法，透视图
permissible | adj. 可允许的，许可的
contact | n. 接触，联系，交往
ingenious | adj. （物件等）设计独特的，（方法等）别致的，巧妙的；（人、头脑）灵巧的，善于创造发明的
displace | vt. 取代，替代；迫使…离开家园，使离开原位
oxide | n. 氧化物
ventilate | vt. 使通风；把…公开，公开讨论
denial | n. 否认；拒绝，拒绝给予
alienate | vt. 使疏远，使不友好，离间；转让，让渡（财产等）
legend | n. 传说，传奇故事；传奇人物
bleed | vt. 勒索…的钱 vi. 出血，流血；泌脂
ballet | n. 芭蕾舞，芭蕾舞剧；芭蕾舞团
hug | n. 紧抱，热烈拥抱 vt. （热烈地）拥抱；紧抱，怀抱 vi. 紧抱在一起，互相拥抱
conceive | vt. （构）想出，认为；怀（胎） vi. 设想；怀孕【考】conceive of 构想出，设想
productivity | n. 生产力，生产率
feminine | adj. 女性的，女子的；女子气的
distill | vt. 蒸馏，用蒸馏法提取；吸取，提炼
expire | vi. 期满，（期限）终止；断气，死亡
readily | adv. 乐意地，欣然地；容易地；很快地，立即
exceptional | adj. 优越的，杰出的；例外的，独特的，异常的
scratch | n. 抓痕，划痕；抓，搔，刮 v. 扒；刮擦，刻划【考】start from scratch 从零开始，从头做起
expression | n. 词语；表达，表情
forum | n. 论坛，讨论会；（电视等的）专题讨论节目
hose | n. （橡皮或帆布等制的）软管，水龙带 vt. 用软管淋浇（或冲洗）
sheer | vi. 急转向，偏离 adj. 完全的，十足的；陡峭的，垂直的；极薄的，透明的 adv. 垂直地，陡峭地
abundant | adj. 丰富的，富裕的；大量的，充足的
academic | n. 大学教师 adj. 学院的；学术的；纯理论的，不切实际的
relevant | adj. 有关的，切题的
silicon | n. 硅
expansion | n. 扩大，扩充，扩张；膨胀
integrity | n. 正直，诚实，诚恳；完整，完全，完善
verbal | adj. 口头的；用言辞的，用文字的；动词的
ecology | n. 生态；生态学
pave | vt. 铺（路），铺筑【考】pave the way (for) （为…）铺平道路，（为…）作准备
induce | vt. 引导，劝；引起，导致
dual | adj. 双（重）的，两重的
passion | n. 激情，热情；酷爱
hesitate | vi. 犹豫，踌躇；含糊；不情愿
irrespective | adj. 不考虑的，不顾及的【考】irrespective of 不考虑的
bribe | n. 贿赂；行贿物 vt. 向…贿赂，买通
lever | n. 杠，杠杆；途径，手段，工具 vt. （用杠杆）撬动，撬起
verdict | n. 裁定；定论，判断性意见
verge | n. 边，边缘 vi. 接近，濒临【考】on the verge of 接近于，濒临于；verge on 接近，濒临
cumulative | adj. 积累的，渐增的
solitary | adj. 单独的，独自的；单个的，唯一的；孤独的，隐居的
construct | n. 建筑物；构想，观念 vt. 建造；构思
rig | n. 船桅（或船帆等）的装置；成套器械 vt. （用不正当手段）操纵，垄断；给（船、桅杆）装配帆及索具；用临时替代材料迅速搭起【考】rig up 用临时替代材料迅速搭起
protein | n. 蛋白质
embed | vt. 把…嵌入（或埋入、插入），扎牢；使深留脑中
verify | vt. 证实，查证，证明
versatile | adj. 多才多艺的，有多种技能的；有多种用途的，多功能的，万用的
messenger | n. 送信人，信使
corporate | adj. 法人团体的，公司的；全体的，共同的
lofty | adj. 高傲的，傲慢的；崇高的，高尚的；高耸的，极高的
verse | n. 诗，诗句
repel | vt. 使厌恶；击退，逐回，驱除；排斥；防，抗
version | n. 译文，译本；改写本
offset | vt. 补偿，抵消
dispose | v. 去掉，丢掉，销毁；处理，解决；使倾向于【考】dispose of 去掉，丢掉，除掉
lash | n. 鞭打；睫毛；鞭梢 v. （用绳索等）将（物品）系牢；鞭打，抽打，（风、雨等）猛烈打击；猛烈抨击，严厉斥责【考】lash out (at) 猛烈抨击
intimidate | vt. 恐吓，威胁
merge | v. （使）结合，（使）合并，（使）合为一体
senator | n. 参议员
gown | n. 女礼服，女裙服；（法官等穿的）长袍；（外科医生手术时穿的）罩衣
captive | n. 俘虏 adj. 被俘虏的，被捕获的
cocktail | n. 鸡尾酒；餐前开胃小吃；混合物
vertical | adj. 垂直的，竖式的
nominate | vt. 提名；任命
poke | n. 戳，捅 vt. 用…戳（或捅），把…戳向；伸出，突出 vi. 伸出，突出【考】poke about
dominant | adj. 占优势的，支配的，统治的；居高临下的，高耸的
apt | adj. 易于…的，有…倾向的；恰当的，适宜的；聪明的；反应敏捷的
mobile | n. 移动电话 adj. 运动的，流动的；多变的
