friction | n. 不和，抵触；摩擦（力）
refute | vt. 驳斥，驳倒
assume | vt. 假定，假设，臆断；承担，担任；呈现
offense | n. 进攻，攻势
veto | n.否决权 vt.否决不同意
detective | n. 侦探，私人侦探
available | adj. 现成可使用的，通用的；可取的；联系的；可得到的
chip | n. 屑片，碎片；炸土豆条；集成电路片，集成块；缺口，瑕疵
vice | n. 罪恶，恶习；缺点；（老）虎钳
overlap | n. 重叠，重叠的部分 v. （与…）部分重叠；（与…）部分相同
inject | vt. 注射（药液等），给…注射；注入，引入，投入
melody | n. 旋律，曲调；悦耳的音乐
embarrass | vt. 使窘迫，使为难
affirm | vt. 断言，坚持声称；证实，确认
prescription | n. 处方，药方，（医生开的）药
ideal | n. 理想；理想的东西（或人） adj. 理想的；观念的，空想的【考】be ideal for sb./sth. 适合…
institute | n. 研究所，学院 vt. 建立，设立
focus | n. 焦点，中心 v. 聚焦，注视
multiple | n. 倍数 adj. 复合的，多重的，多样的
manipulate | vt. 操纵，控制，影响；（熟练地）操作，使用
congress | n. 代表大会；国会，议会
radiate | v. 发出（光或热）；辐射；流露，显示
partition | n. 分隔物，隔墙；分割，划分 vt. 隔开，分割，瓜分
vicinity | n. 周围地区，邻近地区【考】in the vicinity (of) （在…）附近，（与…）接近
crisis | n. 危机，存亡之际；关键阶段
moreover | adv. 而且，再者，此外
complication | n. （新出现的）困难，难题；并发症
hike | n. 徒步旅行；（数量、价格等）增加，上升 vt. 提高（价格等） vi. 徒步旅行
rotary | adj. 旋转的，转动的
bruise | n. 青肿，挫伤；（水果等的）伤痕，擦痕 vt. 打青，使受淤伤；挫伤，伤害（感情等）
penalty | n. 处罚，惩罚；罚金
fusion | n. 联合，合并；核聚变
collide | vi. 碰撞，互撞；冲突，抵触
adhere | vi. 粘附，附着；遵守，坚持；追随，支持【考】adhere to 粘附，附着，遵守，坚持
slope | n. 倾斜，斜面 v. （使）倾斜
motivate | vt. 作为…的动机；激励，激发
patriotic | adj. 爱国的，有爱国心的，显示爱国精神的
exceed | vt. 超过，胜过，超出
descent | n. 下降，下倾；斜坡，坡道；血统，世系
vicious | adj. 恶毒的，凶残的；剧烈的，严重的
outset | n. 开始，开端【考】at/from the outset 开端，开始
rebellion | n. 反叛，反抗
victim | n. 牺牲者，受害者
artificial | adj. 人工的，人为的；矫揉造作的；模拟的
industrial | adj. 工业的，产业的
energetic | adj. 精力充沛的，充满活力的
monetary | adj. 钱的，货币的，金融的
mask | n. 面具，面罩，口罩；伪装 vt. 遮盖，掩饰
facilitate | vt. 使…变得（更）容易，使便利
nasty | adj. 令人讨厌的，令人厌恶的；难弄的，困难的；严重的，恶劣的；险恶的，下流的，道德败坏的
dimension | n. 尺寸，尺度，面积；方面，特点；
vigorous | adj. 朝气蓬勃的；有力的，用力的 ['vɪg(ə)rəs]
positive | adj. 确实的，明确的；积极的，肯定的
recreation | n. 娱乐活动，消遣
despite | prep. 不管，不顾
violate | vt. 违反，违背；亵渎；侵犯，妨碍
responsible | adj. 负责任的，承担责任的；有责任感的，负责可靠的；责任重大的；重要的
sour | v. 使变酸，使变馊；使变得乖戾（或暴躁） adj. 酸的；馊的，酸味的；脾气坏的
commence | v. 开始
item | n. 条，条款，一条
logical | adj. 逻辑的，合乎常理的
expel | vt. 把…除名，把…开除；驱逐，赶走，放逐；排出，喷出
prune | vt. 修剪，修整；删除，削减
neutral | adj. 中立的，中性的
isolate | vt. 使隔离，使孤立
spacious | adj. 宽广的，宽敞的
pope | n. 教皇，罗马主教
violent | adj. 暴力引起的，强暴的；猛烈的，剧烈的
recipient | n. 接受者，接收者
posture | n. 姿势，姿态；看法，态度 vi. 摆出（不自然的）姿势，装模作样
output | n. 产量；输出，输出功率 vt. 输出（信息、数据等）
coincidence | n. 巧合，巧事；（意见、爱好等的）一致，符合
virgin | n. 处女，未婚女子 adj. 未经开发的，未经使用的，未经触动的；处女的
flutuate | vi. 波动，涨落，起伏
