assemble | v. 集合，聚集，装配
seemingly | adv. 表面上，看上去
enormous | adj. 巨大的，庞大的
formal | adj. 正式的，礼仪上的
refusal | n. 拒绝
disclose | vt. 揭露，泄露，透露
obtain | vt. 获得 vi. 通用，流行；存在
petition | n. 请愿书，申请书；诉状 v. （向…）请愿，正式请求
booklet | n. 小册子
finite | adj. 有限的，有限制的；限定的
addition | n. 加，加法，附加物（人）
optical | adj. 眼的，视觉的；光学的
compact | n. 契约，合同 vt. 把…压实（或塞紧），使坚实 adj. 紧凑的；小巧的；紧密的，坚实的
cylinder | n. 圆柱体，圆筒；气缸，泵（或筒）体
virtual | adj. 实质上的，事实上的，实际上的
ore | n. 矿，矿石
conform | vi. 遵守，适应；顺从；相似，一致，符合【考】conform to/with 适应，遵守
continual | adj. 连续的；频频的
release | n./vt 释放，排放
overt | adj. 公开的，不隐蔽的
shrug | n./v. 耸肩
layman | n. 门外汉，外行
pathetic | adj. 令人生厌的；引起怜悯的，可怜的，可悲的
dreadful | adj. 糟透了的，极不合意的；极端的，极其大的；可怕的，令人畏惧的
haunt | n. 常去的地方 vt. （鬼魂等）常出没于；使苦恼，使担忧；（思想、回忆等）萦绕在心头，缠绕
diffuse | v. 扩散，（使）弥漫；传播，散布
nurture | n. 养育；教养；营养物
buzz | n. 嗡嗡声；嘈杂的谈话声 vi. 发出嗡嗡声；忙乱，急行；发出嘈杂的谈话声【考】buzz around/about 忙乱，急行
cannon | n. 加农炮，大炮，火炮
reference | n. 提到，论及；参考，查阅；引文；参考书目；证明书（或人），推荐信（或人）
exile | n. 流放，放逐，流亡；被流放者，流亡国外者，背井离乡者 vt. 流放，放逐，使流亡
accident | n. 意外，事故【考】by accident 意外地，偶然地
decade | n. 十年，十年期
prophet | n. 先知；预言者
corrupt | vt. 腐蚀，使堕落 adj. 堕落的，腐败的
gloom | n. 昏暗，阴暗；忧郁，沮丧
compound | n. 化合物，复合物；复合词 adj. 复合的，化合的
shed | n. 棚，小屋，货棚 vt. 脱落，脱去；流出，流下；发出（光等），散发【考】shed light on sth. 使某事清楚地显示出来
offensive | n. 进攻，攻势 adj. 冒犯的，无礼的，使人不快的；进攻的，攻击性的
virtue | n. 善，美德；优点，长处【考】by virtue of 借助，由于
bizarre | adj. 奇形怪状的；怪诞的
conception | n. 思想，观念；概念；构想，设想；怀孕
furthermore | adv. 而且，此外
implement | n. 工具，器具，用具 vt. 使生效，履行，实施
beyond | adv. 在更远处；再往后 prep. 在…的那边，远于；迟于；越出
draft | n. 草稿，汇票；征兵；通风 vt. 起草；征募
coupon | n. 礼券，优惠券；配给券，票证
monopoly | n. 垄断，专卖；垄断物，垄断商品，专卖商品
mental | adj. 心理的，精神的，思想上的；（治疗）精神病的；智力的
visa | n. 签证
vision | n. 想象力，梦幻；视力，视觉
exotic | adj. 奇异的；外（国）来的，异国情调的
paragraph | n. （文章的）段，节
element | n. 成分，要素，元素；
rely | vi. 依靠，依赖；信赖，指望【考】rely on (upon) 信赖，指望
ancient | adj. 古代的，古老的；年老的，看上去很老的
extent | n. 广度，范围，程度
acquire | vt. 取得，获得，学到【考】acquire the skills 掌握技能
formula | n. 公式；原则；方案；配方
navigation | n. 航行（学），航海（术），航空（术）；导航，领航
glance | n. 一瞥 vi. 看一下
convince | vt. 使确信，使信服，说服
intercourse | n. 性交；交流，交往，交际
elastic | n. 松紧带 adj. 有弹性的；灵活的
magnetic | adj. 磁的；有吸引力的
corresponding | adj. 相应的，符合的
aisle | n. 过道，通道
flip | n. 捻掷（硬币），轻抛；轻拍，轻击 vt. 快速翻动，转动 adj. 无理的，轻率的，轻浮的
impulse | n. 冲动，一时的念头；推动，驱使；脉冲【考】on impulse 一时冲动，一时心血来潮
visualize | vt. 想象，设想
rap | n. （轻快的）敲击（声），急敲（声） vt. （轻而快地）敲击，急敲；突然厉声说出；责备，训斥【考】rap out 突然厉声说出
culture | n. 文化；文明，教养；培养
assimilate | vt. 吸收，消化；使同化 vi. 被吸收，被消化；被同化
heave | n. 举起，升降 v. （用力）举起，提起，拉起；拖；扔；（沉重地）发出（叹息、呻吟等）；（有节奏地）起伏，隆起；呕吐，恶心
component | n. 组成部分，部件，组件 adj. 组成的，构成的
