adopt | vt. 收养；采用，采取；正式通过，批准
intact | adj. 完整无缺的，未经触动的，未受损伤的
indispensable | adj. 必不可少的，必需的【考】indispensable to/for 必不可少的，必需的
predecessor | n.前任，前辈
exclusive | n. 独家新闻 adj. 奢华的，高级的；独有的，独享的；排斥的，排他的；不包括…的，不把…计算在内的【考】exclusive of 除…外，不计算在内
vital | adj. 生死攸关的，极其重要的；生命的，有生命力的
correspondence | n. 信件，函件；通信，通信联系；符合一致，相似
accomplish | vt. 达到（目的），完成
vivid | adj. 鲜艳的；生动的，栩栩如生的
vocal | n. 声乐节目
vocational | adj. 职业的，业务的
comet | n. 彗星
kit | n. 成套工具，（适应特定需要的）成套用品；配套元件 vt. 装备【考】kit out 装备
racial | adj. 种族的，人种的
prey | n. 被捕食的动物，捕获物；受害者 v. 捕食；折磨，使烦恼【考】fall prey to 成为…的牺牲品，深受…之害；prey on 捕食
economic | n. 经济学  adj.经济的
ascribe | vt. 把…归因于，把…归属于【考】ascribe to 把…归因于
phenomenon | n. 现象，迹象；非凡的人（或事物）
void | n.空虚感
depression | n.抑郁，沮丧
cripple | n. 跛子，伤残人（或动物） vt. 使跛，使受伤致残；严重削弱，使陷入瘫痪
expert | n. 专家 adj. 熟练的
instinct | n. 本能；直觉，生性
absurd | adj. 荒谬的，荒唐的
incorporate | vt. 包含，加上，吸收；把…合并，使并入
mature | vt. （使）成熟 adj. 成熟的，成年人的；深思熟虑的；（票据等）到期的，应支付的
effective | adj. 有效的；有影响的
negligible | adj. 可忽略不计的，微不足道的
disease | n. 病，疾病；不健全，弊端
paradox | n. 似乎矛盾而（可能）正确的说法；自相矛盾的人（或事物）
shepherd | n. 牧羊人，羊倌 vt. 带领，引导
volume | n. 卷，册，书卷；容积，体积；音量，响度
emerge | vi. 出现，涌现，冒出
loom | n. 织布机 vi. 阴森地逼近，隐现；即将来临
jury | n. 陪审团，评奖团
database | n. 数据库
pest | n. 有害生物，害虫；讨厌的人
herb | n. 药草；（调味用的）香草，草本植物
massacre | n. 大屠杀，残杀；（比赛等）惨败 vt. 大规模屠杀，残杀；彻底击败
air-conditioning | n. 空调设备，空调系统
mortgage | n. 抵押，抵押借款 vt. 抵押
defendant | n. 被告
interrupt | v. 打断，打扰，中止
quantitative | adj. （数）量的，定量的
package | n. 包裹，包装，一揽子交易（或计划、建议等） vt. 把…打包（或装箱）
elevate | vt. 提升…的职位，提高，改善；使情绪高昂，使兴高采烈；举起，使上升
hitherto | adv. 到目前为止，迄今
ruin | n. 毁灭；
kidnap | n. 绑架，诱拐
shrewd | adj. 机灵的，敏锐的，精明的
voluntary | adj. 自愿的，志愿的
quart | n. 夸脱（液量单位）
bulk | n. 物体；体积；大批 v. 变得越来越大（或重要）；使更大（或厚）【考】in bulk 大量，大批
prestige | n. 威信，威望
bug | n. 虫子；小病；（机器等）故障，缺陷；窃听器 vt. 烦扰，纠缠；在…装窃听器
design | n. 设计，构想；图样；企图 vt. 设计；预定，指定
keen | adj. 热心的，激烈的；敏锐的，敏捷的
conventional | adj. 普通的；习惯的；常规的；因循守旧的
cabin | n. 小屋；船舱，机舱
imitation | n. 模仿；仿制，伪制品；赝品
assess | vt. 对（财产等）估价；评价，评论
sniff | n. 吸气（声）；嗅，闻 v.（哧哧地）以鼻吸气，用力吸入；嗅，闻【考】sniff out 发觉，发现
impair | vt. 损害，损伤；削弱
marble | n. 大理石；（用玻璃、石头等制成的）弹子；
sober | v.（使）醒酒，（使）清醒 adj. 未醉的；有节制的；严肃的，持重的；（颜色等）素淡的，暗淡的【考】sober up（使）清醒
commission | n. 委任状；委员会；佣金，回扣；授权，委托 vt. 委任，委托
assumption | n. 假定，臆断；担任，承担
cafeteria | n. 自助餐馆，自助食堂
essential | n. 要素，必需品  adj.必要的，本质的
consultant | n. 顾问；会诊医师，专科医生
reckless | adj. 鲁莽的，不考虑后果的
deadly | adj. 致死的，致命的；不共戴天的；极度的，十足的 adv. 非常，极度地
counsel | n. 律师，法律顾问；忠告，劝告 vt. 劝告，提议
breach | n. 破坏，违反；（关系的）破裂，不和；缺口，裂口 vt. 攻破，在…造成缺口；破坏，违反
