credible | adj. 可信的，可靠的
orbit | n. 轨道 vt.（绕…）作轨道运行
destined | adj. 命中注定的，预定的；以…为目的地的【考】destined for 以…为目的
boring | adj. 令人厌烦的，乏味的，无聊的
volunteer | n. 志愿者；志愿兵 v. 自愿（做）；自愿提供；志愿
seam | n. 缝，接缝；煤层
characterize | vt. 成为…的特征，以…为特征；描绘（人或物）的特性，描述
divorce | n./vi 离婚，离异
mall | n.（由许多商店组成的）购物中心
bully | n. 恃强欺弱者 vt. 威吓，欺负
magnify | vt. 放大，扩大；夸大，夸张
engagement | n. 订婚，婚约；约会
lame | adj. 跛的，瘸的；站不住脚的，差劲的，蹩脚的
oppress | vt. 压迫，压制；使（心情等）沉重，使烦恼
concentrate | n. 浓缩物，浓缩液 v. 全神贯注，全力以赴；集中，聚集，浓缩【考】concentrate on sth. / doing sth. 集中精力在（做）某事
briefcase | n. 公文包，公事包
vulgar | adj. 粗野的，下流的；庸俗的，粗俗的
compare | vt. 比较，对照；把…比作【考】compare to 把…比作
descendant | n. 后裔，后代
vulnerable | adj. 易受伤的，脆弱的；易受攻击的，难防御的
cooperative | n. 合作社，合作商店（或企业等）adj. 有合作意向的，乐意合作的；合作的，协作的
client | n. 委托人，当事人；顾客
investigate | v. 调查，调查研究
garment | n.（一件）衣服
wallet | n. 皮夹子
optimum | adj. 最合适的，最优的，最佳的
bud | n. 花蕾，叶芽 vi. 发芽，萌芽
advantage | n. 优点，优势，好处
capsule | n. 胶囊（剂）；航天舱，密封舱
exposition | n. 阐述，讲解；展览会，博览会
cancel | vt. 取消，撤消；删去
ward | n. 病房；（城市的）区；受监护人【考】ward off 防止，避开
claim | n. 要求，索赔；认领；声称，断言 vt. 主张；对…提出要求，索取；（灾难等）使失踪或死亡；需要，值得【考】lay claim to 声称对…有权利；claim for 要求
achievement | n. 完成，成就，成绩
creation | n. 创造，创建；创造的作品，（智力，想象力的）产物；宇宙，天地万物
beneficial | adj. 有利的，有益的
lens | n. 透镜，镜片，镜头
compile | vt. 汇编；编制，编纂
insurance | n. 保险，保险费
commitment | n. 承诺，许诺，保证；信奉，献身；承担的义务
reputation | n. 名誉，名气，名声
foul | n.（比赛中的）犯规 vt.（比赛中）对…犯规；弄脏，弄污 adj. 难闻的，发臭的；令人不愉快的，糟透了的；污浊的，肮脏的；下流的，辱骂性的；（天气）恶劣的，有暴风雨的；邪恶的，罪恶的【考】foul up 把…搞乱，把…搞糟
slice | n. 薄片，切片，部分 vt. 切（片），削
illuminate | vt. 照明，照亮；阐明，启发
dread | n. 担忧，畏惧 vt. 担忧，忧虑；惧怕，不敢
prohibit | vt. 禁止，不准
combat | n. 战争，斗争；格斗 vt. 与…斗争，与…战斗
indignant | adj. 愤怒的，愤慨的，义愤的
fragrance | n. 芳香，香味；香水
convert | vt.（使）转变，（使）转化；（使）改变（信仰或态度）
misfortune | n. 不幸，厄运，逆境；不幸事故，灾难，灾祸
purity | n. 纯净，纯洁，纯正
millionaire | n. 百万富翁，大富翁
consist | vi. 由…组成；在于【考】consist of 组成，构成；consist in 在于，存在于
directory | n. 人名地址录，（电话）号码簿；工商行名录
eccentric | n. 古怪的人，怪癖的人 adj.（人、行为、举止等）古怪的，怪癖的，异乎寻常的
heritage | n. 遗产，继承物；传统
origin | n. 起源，起因；出身，血统
persuasion | n. 说服（力），劝说；信念，信仰
shrub | n. 灌木
classification | n. 分类，分级；分类法；类别，级别
minimal | adj. 最小的，最低限度的
peel | n.（水果等的）皮，外衣 vt. 削…的皮，剥…的壳 vi. 剥落，脱皮【考】peel off 剥掉，脱去
furnish | vt. 供应，提供；装备
serial | n. 连续剧，连载故事 adj. 连续的，顺序排列的
acid | n. 酸 adj. 酸的，酸性的；尖刻的，刻薄的
electric | adj. 电的，电动的
contrast | n. 对比，对照；反差 vt. 对比，对照 vi. 形成对比，对比之下显出区别【考】by/in contrast (with)（与…）相对照；in contrast to/with 与…对比起来，与…形成对比
gloomy | adj. 忧郁的，沮丧的；令人沮丧的，令人失望的；昏暗的，阴暗的，阴沉的
detection | n. 察觉，发觉；侦查，探测
wardrobe | n. 衣柜；（个人的）全部衣物
charge | n. 费用；管理；控告，指责；电荷，充电 v. 索价；使充电，使充满；向前冲【考】in charge (of) 管理，负责；take charge of 负责，接管
customary | adj. 习惯上的，惯常的，合乎习俗的
approach | n. 靠近；途径，方式 vt. 向…靠近【考】approach to 向…靠近
