display | n./vt 陈列，展览
elicit | vt. 诱出，探出
layer | n. 层，层次
shrink | vi.（使）起皱，（使）收缩；退缩，畏缩
inherit | vt. 继承（传统等）
alternate | v.（使）轮流，（使）交替 adj. 交替的，轮流的；间隔的
resistant | adj. 抵抗的，抗…的，耐…的【考】resistant to 抵抗的，抗…的，耐…的
brace | n. 支架，托架 vt. 使防备，使受锻炼；支住，撑牢；使绷紧
reverse | n. 相反情况，对立面；反面，背面，后面；挫折，逆境 v. 撤销，推翻；使位置颠倒，使互换位置；（使）反向，（使）倒转 adj. 反向的，相反的，倒转的
imitate | vt. 模仿，仿效；仿制
concentration | n. 集中；专注，专心；浓缩，浓度
insist | v. 坚持，坚持要求，坚决认为【考】insist on/upon 坚持，强调，坚决要求
reside | vi. 居住，定居；（性质等）存在，在于【考】reside in 存在，在于
solemn | adj. 庄严的，隆重的；严肃的
eternal | adj. 永久的，永世的；无休止的，没完没了的；永恒的，永不改变的
warehouse | n. 仓库，货栈
negative | n.（照相的）负片，底片；负数 adj.否定的，消极的；负的；阴性的
oath | n. 誓言，誓约；咒骂，诅咒语【考】on/under oath 在法庭上宣过誓
minimum | n. 最低限度，最小量 adj. 最低的，最小的
chant | n. 反复有节奏的喊叫；赞美诗，圣歌 vt. 反复有节奏地喊叫（或唱等）；吟诵，咏唱
ancestor | n. 祖宗，祖先；原型，先驱
cherish | vt. 珍爱，珍视；爱护，抚育；抱有，怀有（希望、想法、感情等）
offspring | n. 子女，子孙，后代；（动物的）崽
salute | n. 敬礼，致意 vt. 向…敬礼，向…致意；赞扬，颂扬
doctrine | n. 教义，教条；主义
military | n. 军队，武装力量 adj. 军事的，军用的
motel | n. 汽车旅馆
presumably | adv. 大概，可能，据推测
warfare | n. 战争（状态）；斗争，冲突
plateau | n. 高原；（上升后的）稳定时期（或状态）
configuration | n. 配置，布局，构造
distribution | n. 分发，分配；分布
professional | n. 自由职业者；专业人员 adj. 职业的；专业的，专门的
compatible | adj. 兼容的；能和睦相处的，合得来的
proposition | n. 论点；主张，建议；提案；命题
commonplace | n. 寻常的事物，平庸的东西 adj. 普通的，平庸的
overflow | n. 容纳不下的物（人）；溢出，满出；溢流口，溢流管 vt. 淹没，从…中溢出，多得使无法容纳 vi. 满得外溢，外流，泛滥；充满，洋溢【考】overflow with 充满，洋溢
warrant | n. 授权令；（正当）理由，根据 vt. 证明…是正当（或有理）的
span | n. 跨距，一段时间 v. 持续，贯穿，包括；横跨，跨越
reel | n. 卷轴，卷筒，卷盘 vt. 卷，绕 vi. 摇摇晃晃地移动，蹒跚；眩晕，发昏【考】reel off 一口气说，重复；reel in/up 卷，绕
enrich | vt. 充实，使丰富；使富裕，使富有
region | n. 地区，地带，区域；范围，幅度
dean | n. 教长，主任牧师；（大学的）学院院长，系主任，训导主任
watertight | adj. 不透水的，防水的；严密的，无懈可击的
convey | vt. 表达，传递；运送，输送
pressure | n. 压（力），压强；压迫 vt. 对…施加压力（或影响），迫使；说服
parallel | n. 可相比拟的事物，相似处；平行线，平行面；纬线 vt. 与…相似；与…相当，比得上 adj. 平行的；类似的，对应的；并列的，并联的
absorb | 【考】be absorbed in 全神贯注于…
glow | n. 白热光；脸红；激情 vi. 发白热光
realistic | adj. 现实的；实际可行的；现实主义的，逼真的
rarely | adv. 不常，难得
litter | n. 废弃物，被胡乱扔掉的东西；一窝（崽）；（一堆）杂乱的东西 vt. 乱扔东西于 vi. 乱扔废弃物
nominal | adj. 名义上的，有名无实的；（费用等）很少的，象征性的；名词性的
embark | vi. 上船（或飞机、汽车等）；着手，开始工作
premise | n. 前提；上述各项；房屋连地基vt. 引出，预先提出；作为…的前提
alliance | n. 结盟，联盟
remainder | n. 余下的部分；剩下的人数
watt | n. 瓦（特）
exempt | vt. 免除，豁免 adj. 被免除（义务，责任等）的，被豁免的
erupt | vi.（火山，喷泉等）喷发，（岩浆等）喷出；（战争，危机，问题等）爆发，突然发生
wax | n. 蜡，蜂蜡 vt. 给…上蜡
flatter | vt. 向…谄媚，奉承；使满意，使高兴，使感到荣幸；使显得（比实际）好看，使（某优点）显得突出【考】flatter oneself 自以为是，自鸣得意
wealth | n. 财富，财产；丰富
domain | n.（活动、思想等）领域，范围；领地，势力范围
execute | vt. 将…处死；执行，实施
wealthy | adj. 富的，富裕的
concede | vt.（不情愿地）承认，承认…为真（或正确）；（在结果确定前）承认失败；允许，让予 vi. 让步，认输
screw | n. 螺丝（钉）vt. 用螺钉固定，拧，拧紧；强迫
weapon | n. 武器，兵器
cocaine | n. 可卡因，古柯碱
weary | vi. 厌烦，不耐烦 adj. 疲劳的，疲倦的；使人疲劳的，令人厌倦的【考】weary of 厌烦，不耐烦
batter | n.（用鸡蛋、牛奶等调制的）面糊 v. 连续猛击
web | n.（蜘蛛等的）网；网络，错综复杂的事物
savage | n. 野蛮人，粗鲁的人 vt.（狗等）乱咬；激烈抨击 adj. 残暴的，凶猛的，粗鲁的；未开化的，野蛮的
comprehensive | adj. 广泛的，综合的；理解的
