compel | vt. 强迫，迫使屈服
reluctant | adj. 不情愿的，勉强的【考】be reluctant to do sth. 勉强做某事
foster | vt. 收养，养育；培养，促进 adj. 收养的，收养孩子的
scale | n. 大小，规模；等级，级别；
insulate | vt. 使绝缘，使隔热，使隔音；隔离，使隔绝（以免受到影响）
arbitrary | adj. 随心所欲的，专断的
siege | n. 包围，围困
permanent | adj. 永久（性）的，固定的
mild | adj. 温柔的；温暖的；轻微的
flexible | adj. 易弯曲的；灵活的
behavior | n. 行为，举止，表现
engine | n. 引擎，发动机；机车
wedge | n. 楔（子） vt. 把…楔牢，塞入
procedure | n. 程序，手续，步骤
sensitive | adj. 敏感的，灵敏的；神经过敏的，容易生气的；易受伤害的
prime | n. 青春；全盛时期 vt. 使准备好 adj. 首要的；最好的
domestic | adj. 本国的，家庭的；驯养的
corps | n.（医务、通讯等兵种的）队，部队；（从事同类专业工作的）一组
weird | adj. 古怪的，离奇的；怪诞的，神秘而可怕的
privacy | n.（不受干扰的）个人自由；隐私，私生活，私事
coherent | adj. 条理清楚的，连贯的；一致的，协调的
pledge | n. 保证，誓言 vt. 许诺
accurate | adj. 准确的，正确无误的
barely | adv. 仅仅，只不过；几乎不
disperse | vt. 分散，赶散；消散，驱散 vi. 使分散，散开；使消散，消失
bewilder | vt. 使迷惑，使难住
invalid | n.（需要有人照顾的）病弱者，残疾者 adj.（指法律上）无效的，作废的；无可靠根据的，站不住脚的
restrict | vt. 限制，约束，限定
whereas | conj. 然而，但是，尽管
feature | n. 特征，特色；
device | n. 器械，装置；设计；手段，策略
series | n. 一系列，连续；丛书，（电视）连续剧
assure | vt. 使确信；确保，向…保证
revelation | n. 被提示的真相，（惊人的）新发现；揭示，透露；显示
spectrum | n. 谱，光谱；频谱；范围，幅度；系列
molecule | n. 分子
candidate | n. 候选人；投考者；申请求职者
numerous | adj. 众多的
manifest | vt. 显示，表明，证明；使显现，使显露 adj. 明显的，显然的，明了的
hardy | adj. 能吃苦耐劳的，坚强的；（植物等）耐寒的
whereby | n./vi. 巡逻
patrol | adv. 靠那个，借以
whirl | n. 旋转，急转；混乱；接连不断的活动 vi. 旋转，急转；发晕，（感觉等）变混乱
solidarity | n. 团结一致
insert | vt. 插入，嵌入；登载
slide | n. 滑动；滑道，滑面；幻灯片 v. 滑；悄悄地移动
closet | n. 橱，壁橱 vt. 把…引进密室会谈 adj. 私下的；隐蔽的
exclaim | vi. 呼喊，惊叫
slight | n./vt  轻视，蔑视
cemetery | n. 公墓，墓地
polar | adj. 地极的，近地极的；磁极的；正好相反的，截然对立的
rape | n./vt  强奸
sneak | vt. 偷偷地做（或拿、吃）vi. 偷偷地走，溜
apply | vt. 涂，敷，施 vi. 应用，实施，使用；适用；申请，请求
relish | n.（美食等的）享受；滋味，乐趣；调味品 vt. 享受，从…中获得乐趣
incident | n. 发生的事，事件
dome | n. 圆屋顶，穹顶
withdraw | v. 收回，撤回；撤退
plausible | adj. 似有道理的，似乎正确的，貌似可信的
nickel | n. 镍；（美国和加拿大的）五分镍币，五分钱
mere | adj. 仅仅的，纯粹的
abrupt | adj. 突然的，意外的；（举止、言谈等）唐突的，鲁莽的
municipal | adj. 市的，市政的
scrub | n. 矮树丛，灌木丛 vt. 用力擦洗，把…擦净；取消（计划等）
attribute | n. 属性 vt. 把…归因于【考】attribute to 归因于，因为
humanity | n. 人类，
attractive | adj. 有吸引力的；引起注意的
withhold | vt. 拒绝，不给；抑制，制止
spectator | n. 观众，旁观者
avert | vt. 防止，避免；转移（目标、注意力等）
simulate | vt. 模仿，模拟；假装，冒充
witness | n. 证据；目击者，证人 vt. 为…作证，证明
lounge | n. 休息厅，休息室 vi.（懒洋洋地）倚，（懒散地）躺；闲逛，闲荡
worthwhile | adj. 值得花时间做的
