previous | adj. 以前的；早先的；过早的
criminal | n. 罪犯  adj. 刑事的；犯罪的；罪恶的
detach | vt. 分离；派遣；使超然
plague | vt. 折磨；使苦恼；使得灾祸  n. 瘟疫；灾祸；麻烦；讨厌的人
aid | n. 援助；帮助；助手；帮助者  vi. 帮助  vt. 援助；帮助；有助于
hierarchy | n. 层级；等级制度
radical | n. 基础；激进分子；原子团；根数  adj. 激进的；根本的；彻底的
essence | n. 本质，实质；精华；香精
ego | n. 自我；自负；自我意识
conscientious | adj. 认真的；尽责的；本着良心的；小心谨慎的
complain | vi. 投诉；发牢骚；诉说  vt. 抱怨；控诉
reinforce | n. 加强；加固物；加固材料  vt. 加强，加固；强化；补充  vi. 求援；得到增援；给予更多的支持
pumpkin | n. 南瓜
caption | n. 标题；字幕；说明；[英]逮捕  vt. 加上说明；加上标题
allowance | n. 津贴，零用钱；允许；限额  vt. 定量供应
stalk | n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步  vt. 追踪，潜近；高视阔步  vi. 高视阔步地走；潜近，偷偷接近
morality | n. 道德；品行，美德
pastry | n. 油酥点心；面粉糕饼
endow | vt. 赋予；捐赠；天生具有
household | n. 家庭；一家人  adj. 家庭的；日常的；王室的
idiot | n. 笨蛋，傻瓜；白痴
acceptance | n. 接受；接纳；承兑；赞同
detail | n. 细节，详情  vi. 画详图  vt. 详述；选派
narrative | n. 叙述；故事；讲述  adj. 叙事的，叙述的；叙事体的
rot | n. 腐烂；腐败；腐坏  vi. 腐烂；腐败；堕落  vt. 使腐烂；使腐朽；使堕落
border | n. 边境；边界；国界  vi. 接界；近似  vt. 接近；与接壤；在上镶边
spice | n. 香料；情趣；调味品；少许  vt. 加香料于；使增添趣味
institution | n. 制度；建立；（社会或宗教等）公共机构；习俗
furniture | n. 家具；设备；储藏物
grim | adj. 冷酷的；糟糕的；残忍的
muddy | adj. 泥泞的；模糊的；混乱的  vt. 使污浊；使沾上泥；把弄糊涂  vi. 变得泥泞；沾满烂泥
stall | n. 货摊；畜栏；托辞  vt. 拖延；使停转；使陷于泥中  vi. 停止，停转；拖延
standpoint | n. 立场；观点
expose | vt. 揭露，揭发；使曝光；显示
prone | adj. 俯卧的；有倾向的，易于的
staple | n. 主要产品；订书钉；主题  adj. 主要的，大宗生产的；常用的；纺织纤维的  vt. 把分级；钉住
startle | n. 惊愕；惊恐  vt. 使吓一跳；使惊奇  vi. 惊吓；惊跳；惊奇
assign | vt. 分配；指派；赋值  vi. 将财产过户（尤指过户给债权人）
relieve | vt. 解除，减轻；使不单调乏味；换的班；解围；使放心
inclusive | adj. 包括的，包含的
statement | n. 声明；陈述，叙述；报表，清单
conversion | n. 转换；变换；兑换；改变信仰
statesman | n. 政治家；国务活动家
initial | n. 词首大写字母  adj. 最初的；字首的  vt. 用姓名的首字母签名
eloquent | adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
proof | n. 证明；证据；校样；考验；验证；试验  adj. 防的；不能透入的；证明用的；耐的  vt. 试验；校对；使不被穿透
stationary | n. 不动的人；驻军  adj. 固定的；静止的；定居的；常备军的
predict | vi. 作出预言；作预料，作预报  vt. 预报，预言；预知
appease | vt. 使平息；使满足；使和缓；对让步
resolve | n. 坚决；决定要做的事  vi. 解决；决心；分解  vt. 决定；溶解；使分解；决心要做
status | n. 地位；状态；情形；重要身分
abnormal | adj. 反常的，不规则的；变态的
stereo | n. 立体声；立体声系统；[印]铅版；立体照片  adj. 立体的；立体声的；立体感觉的
contribution | n. 贡献；捐献；投稿
option | n. 选择，选择权
stereotype | vt. 使用铅版；套用老套，使一成不变  n. 陈腔滥调，老套；铅版
crime | n. 罪行，犯罪；罪恶；犯罪活动  vt. 控告违反纪律
stern | n. 船尾；末端  adj. 严厉的；坚定的
census | n. 人口普查，人口调查  vt. 实施统计调查
independence | n. 独立性，自立性；自主
repay | vt. 回报；报复；付还  vi. 偿还；报答；报复
giggle | n. 吃吃的笑  vt. 咯咯地笑着说  vi. 傻笑；咯咯地笑
glitter | n. 闪光；灿烂  vi. 闪光；闪烁
lieutenant | n. 中尉；副官；助理人员
evil | n. 罪恶，邪恶；不幸  adj. 邪恶的；不幸的；有害的；讨厌的
prospective | n. 预期；展望  adj. 未来的；预期的
dismiss | vt. 解散；解雇；开除；让...离开  vi. 解散
endurance | n. 忍耐力；忍耐；持久；耐久
conserve | n. 果酱；蜜饯  vt. 保存；将做成蜜饯；使守恒
expense | n. 损失，代价；消费；开支  vi. 被花掉  vt. 向收取费用
preclude | vt. 排除；妨碍；阻止
agreeable | adj. 令人愉快的；适合的；和蔼可亲的
sticky | adj. 粘的；粘性的
marsh | n. 沼泽；湿地  adj. 沼泽的；生长在沼泽地的
patron | n. 资助人，赞助人
