relative | n. 亲属，亲戚 adj. 有关系的；相对的
acquaint | vt. 使认识，使了解，使熟悉【考】acquaint with 使认识，使了解，使熟悉
graphic | adj. 生动的，形象的；绘画的，图表的；文字的
individual | n. 个人，个体 adj. 个别的，独特的
combination | n. 结合（体），联合（体）；化合
fellowship | n. 伙伴关系；交情，友谊；团体，协会，联谊会；（研究生的）奖学金；（大学）研究员职位
worthy | adj. 有价值的，值得的【考】be worthy of 值得…，配得上…；worthy to do 值得做…
wreck | n. 失事，残骸；精神或身体已垮的人 vt. 破坏
wrench | n.（离别等的）痛苦，难受；猛扭，猛拉；扳手 vt. 猛拧，猛扭；挣脱；使扭伤
commute | vt. 减（刑）；折合，折偿；上下班交通 vi. 乘公交车上下班；经常乘车（或船等）往返于两地
retrieve | v. 重新得到，取回，收回；挽回，补救；检索
commemorate | vt. 纪念
remain | n. 残余，残骸  vi.剩下，余留
odor | n. 气味
menace | n. 具有危险性的人（物）；威胁，威吓 vt. 威胁，威吓
intersection | n. 道路交叉口；交点
moan | n. 呻吟声，呜咽声；怨声，牢骚 vt. 抱怨 vi. 呻吟，呜咽；抱怨，发牢骚【考】moan about 抱怨，发牢骚
jog | n.【考】jog sb's memory 唤起某人的记忆
slot | n. 狭缝，狭槽；位置，空位 vt. 把…放入狭长的开口中；把…纳入其中，使有位置
avail | n.［一般用于否定句或疑问句中］效用，利益；帮助【考】avail oneself of 利用；no avail 无用，毫无效果
quarterly | n. 季刊 adj. 季度的，每季一次的 adv. 按季度，一季一次
constant | n. 常数，恒量 adj. 经常的，不断的，连续发生的；永恒的；忠实的，忠诚的
diminish | v. 减少，变小，降低
excessive | adj. 过多的，极度的
peninsula | n. 半岛
federal | adj. 联邦的，联盟的
album | n. 粘贴簿，集邮簿，相册
participant | n. 参加者，参与者
sample | n. 样品，试样，样本 vt. 从…抽样（试验或调查）；品尝，体验
graze | n. 擦破（处）vt. 放牧（牛、羊等）；擦伤（皮肤等）；擦过，掠过 vi.（牛、羊等）吃青草
electricity | n. 电
melt | v.（使）融化；（使）溶化；（使）消散
eject | vt. 驱逐，逐出；喷射，排出；弹出
wretched | adj. 极不愉快的，难受的；可怜的；令人苦恼的，讨厌的；拙劣的
reception | n. 招待会，欢迎会；接受，接纳；接待，迎接；（无线电、电视等）接收效果
myth | n. 杜撰出来的人（或事物）；神话
premium | n.（投保人向保险公司支付的）保险金；额外费用，加付款；奖品，赠品，额外津贴 adj. 高级的，优质的；售价高的【考】at a premium 奇缺的，难得的；以超过一般的价格，以高价；put/place a premium on 高度评价，重视
wrinkle | n. 皱纹 v.（使）起皱纹
slack | n.（绳索等）松弛部分；
midst | n. 中部，中间，当中【考】in the midst of 在…之中；正当…的时候
cluster | n.（果实、花等的）串，簇；（人、物等的）群，组 vt. 使群集，集中 vi. 群集，丛生【考】a cluster of 成群的，成串的
yacht | n. 快艇，（竞赛用的）帆船，游艇
yell | n./vi 号叫，叫喊
aware | adj. 知道的，意识到的
deserve | vt. 应得，值得
resign | vt. 辞去，放弃；使顺从 vi. 辞职
yield | n. 产量 v. 出产；让出，放弃；屈服，顺从；倒塌，垮掉【考】yield to 屈服，让步
notwithstanding | adv. 尽管
scope | n.（活动、影响等的）范围；（发挥能力等的）余地，机会
legitimate | vt. 使合法 adj. 合情合理的；合理的，法律认可的
quantify | vt. 确定…的数量，量化
cholesterol | n. 胆固醇
absence | n. 缺席，不在；缺席的时间，外出期；缺乏，不存在
defiance | n. 违抗，藐视【考】in defiance of 违抗，无视
situated | adj. 位于…的，坐落在…的；处于…境地的
bracket | n. 括号；（年龄、收入等）等级段，档次；壁架，托架 vt. 把…置于括号内；把…归入同一类
fabricate | vt. 捏造，伪造（文件等），编造（谎言、借口等）；建造，制造
addict | n. 有瘾的人；入迷的人
illegal | adj. 不合法的，非法的
dubious | adj. 怀疑的；犹豫不决的，无把握的；有问题的，靠不住的
distort | vt. 歪曲，曲解；扭曲，使变形 vi. 变形
reservation | n.（住处、座位等的）预订；保留；犹豫；（美国印第安部落的）居留地
assurance | n. 把握，信心；保证，表示保证（或鼓励、安慰）的话；（人寿）保险
inlet | n. 小湾，水湾；进口，入口
yoke | n. 牛轭；束缚，枷锁 vt. 结合，联结
overcome | vt. 战胜，克服；（感情等）压倒，使受不了
barren | adj.（土地等）贫瘠的，荒芜的；不结果实的，不（生）育的；无益的，没有结果的
considerable | adj. 相当大（或多）的；重要的
dole | n. 救济，（失业）救济金 vt. 发放，发给【考】dole out 发放，发给
decimal | n. 小数 adj. 十进位的
exquisite | adj. 精美的，精致的；敏锐的，有高度鉴赏力的；剧烈的，感觉强烈的
precise | adj. 精确的，准确的；严谨的
chief | n. 首领，长官；酋长，族长 adj. 主要的，为首的；总的
zinc | n. 锌【记】锌的化学符号为Zn
