fascinate | vt. 使着迷，使神魂颠倒 。vi. 入迷
accustomed | adj. 通常的；独有的；习惯的 。v. 使习惯于（accustom的过去分词）
merit | n. 优点，价值；功绩；功过 。vt. 值得 。vi. 应受报答
shark | n. 鲨鱼；骗子 。vi. 诈骗 。vt. 敲诈
superintendent | n. 负责人；主管；监督人；指挥者
manuscript | n. 原稿；手稿 。adj. 手写的
orthodox | adj. 正统的；惯常的；传统的 。n. 正统的人；正统的事物
original | n. 原物；原作；原型；原件 。adj. 原始的；最初的；新颖的；独创的
misery | n. 痛苦，悲惨；不幸；穷困；苦恼
precious | adj. 宝贵的；珍贵的；矫揉造作的
regime | n. 政权，政体；社会制度；管理体制
negotiate | vt. 谈判，商议；越过；转让 。vi. 谈判，交涉
superior | adj. 上级的；高傲的；优秀的，出众的 。n. 上级，长官；长者；优胜者，高手
inventory | n. 存货，存货清单；详细目录；财产清册
smuggle | vt. 走私；偷运 。vi. 走私，私运；偷带
superiority | n. 优越，优势；优越性
supersonic | adj. 超音速的；超声波的 。n. 超声波；超音速
pole | n. 杆；极点；电极 。vt. 用竿支撑
cape | n. 披肩；海角，岬
additional | adj. 附加的，额外的
latent | adj. 潜在的；潜伏的；隐藏的
curb | n. 抑制；勒马绳；路边 。vt. 勒住；控制
supervise | vt. 监督，管理；指导 。vi. 监督，管理；指导
notorious | adj. 声名狼藉的，臭名昭著的
concern | vt. 涉及，关系到；使担心 。n. 关心；关系；关心的事
shove | vt. 强使；撞；挤；猛推 。n. 挤；推
supplement | n. 补充，补遗；补充物；附录 。vt. 补充，增补
supplementary | adj. 补充的；追加的 。n. 补充者；增补物
brisk | adj. 敏锐的，活泼的，轻快的；凛冽的 。vi. 活跃起来；变得轻快 。vt. 使……活泼；使……轻快；使……兴旺
planet | n. 行星
suppress | vt. 抑制；镇压；废止
bang | n. 重击；刘海；突然巨响 。adv. 直接地；砰然地；突然巨响地 。vt. 发巨响；重击
bandage | n. 绷带 。vt. 用绷带包扎
supreme | adj. 最高的；至高的；最重要的 。n. 霸权；至高
surge | n. 巨涌；大浪；汹涌澎湃 。vi. 汹涌；激增 。vt. 使颠簸
confirm | vt. 确认；批准；证实；确定；使巩固
scrap | n. 残余物；碎片；打架；少量 。vt. 使解体；废弃；拆毁 。adj. 废弃的；零碎的 。vi. 吵架
radiant | adj. 容光焕发的；辐射的；光芒四射的 。n. 光点；发光的物体
sacred | adj. 神圣的；庄严的；宗教的；神的
exhibit | vt. 显示；展览；提出（证据等） 。n. 展览品；证据；展示会 。vi. 展出；开展览会
fort | n. 堡垒；要塞；（美）边界贸易站 。vt. 设要塞保卫 。vi. 构筑要塞
surgeon | n. 外科医生
inspire | vt. 鼓舞；激发；启示；产生；使生灵感
fossil | n. 化石；僵化的事物；顽固不化的人 。adj. 化石的；陈腐的，守旧的
interim | adj. 临时的，暂时的；中间的；间歇的 。n. 过渡时期，中间时期；暂定
entitle | vt. 称做…；定名为…；给…称号；使…有权利
compromise | vt. 妥协；危害 。vi. 妥协；让步 。n. 妥协，和解；折衷
pitch | vi. 投掷；倾斜；坠落；搭帐篷 。vt. 投；定位于；掷；用沥青涂；扎营；向前倾跌 。n. 沥青；程度；音高；投掷；树脂；倾斜
eclipse | vt. 形成蚀；使黯然失色 。n. 日蚀，月蚀；黯然失色
dine | vi. 进餐，用餐 。vt. 宴请
perception | n. 感觉；知觉；洞察力；看法；[法律]获取
identification | n. 鉴定，识别；认同；身份证明
exclude | vt. 排除；排斥；拒绝接纳；逐出
surgery | n. 外科；外科手术；手术室；诊疗室
monster | n. 怪物；巨人，巨兽；残忍的人 。adj. 巨大的，庞大的
deteriorate | vi. 恶化，变坏 。vt. 恶化
burden | n. 负担；责任；船的载货量 。vt. 烦扰；使负担；装货于
fold | vt. 折叠；合拢；抱住；笼罩 。n. 折痕；羊栏；信徒 。vi. 彻底失败；折叠起来
gauge | n. 计量器；标准尺寸；容量规格 。vt. 估计；测量；给…定规格
outline | n. 轮廓；大纲；概要；略图 。vt. 概述；描画…轮廓；略述
junction | n. 连接，接合；交叉点；接合点
literal | adj. 逐字的；无夸张的；文字的
surpass | nan
racket | n. 球拍；吵闹，喧闹 。vt. 过着花天酒地的生活 。vi. 过着花天酒地的生活
haul | n. 用力拖拉；努力得到的结果；拖，拉；捕获物；一网捕获的鱼量；拖运距离 。vt. 拖运；拖拉 。vi. 拖，拉；改变主意；改变方向
identify | vt. 识别；确定；使参与；把…看成一样 。vi. 认同；一致；确定
athlete | n. 运动员，体育家；身强力壮的人
peculiar | adj. 特殊的；罕见的；奇怪的；独特的 。n. 特权；特有财产
pessimistic | adj. 悲观的，厌世的；悲观主义的
console | n. 操纵台；控制台 。vt. 慰藉；安慰
species | n. 物种；种类 。adj. [生物]物种上的
author | n. 作者；作家；创始人 。vt. 创作出版
deficiency | n. 缺乏；不足的数额；缺陷，缺点
radioactive | adj. 放射性的；有辐射的
surplus | n.过剩，剩余
