fourteenth | num.第十四 n.十四分之一
season | n.季节
dentist | n.牙科医生
worth | adj.相当于…价值的，值得…的 n.价值，财产
blood | n.血，血液；血统，家族
scared | adj.惊恐的，恐惧的
area | n.面积，地区，地方；领域，范围
lend | v.[lent-lent]把…借出，出借；贷
tourist | n.旅游者，观光者
uncomfortable | adj.不舒服的，不舒适的；感到(或引起）不安的，不自在的
scientist | n.科学家
mile | n.公里
example | n.例子，实例；榜样，楷模
aim | n.目的，目标；瞄准； V.瞄准，对准；目的是，旨在；针对；力争做到
see | v.[saw-seen]看，观看；参观，会晤；领会，理解；想象；把…看作；发现，学懂；体验，经历；搞清楚，查询
chew | v.咀嚼；（因为紧张等)咬住，不停地啃
reply | n./v.回答，答复，以…作答
achieve | v.实现，完成；获得，达到
die | v.[dying]死，死亡；消失；停止运行；渴望；消逝，熄灭
fresh | adj.新的，新到的；新鲜的，未经腌熏的
top | n.顶，顶端；上部，上端；首位，最高位 adj.最高的，最优良的 v.[topped-topped, topping]居于…之上，位于…之首；高过，超过
nothing | pron.没有东西，没有事情，一点儿也没有，；无关紧要的人(或事）
boss | n.老板，上司，头儿
depend | v.依靠，依赖；信赖，相信；取决于，视…而定
silent | adj.寂静的；沉默的，无声的，不发出声音的
honor | n.尊敬，敬意；荣誉，光荣 v.尊敬
rude | adj.粗鲁的，无礼的；粗糙的，粗陋的；猛烈的
thief | n.贼，小偷
junk | n.废弃物品，破烂 v.丢弃，废弃
weight | n.重量，体重；砝码，秤砣；重担，负担，重要性，重大
think | v.[thought-thought]认为，以为；想，思索；想要，打算 n.想，思考
activity | n.活动，行动；活跃，活力
captain | n.船长，机长；上尉；队长，领队
brave | adj.勇敢的，无畏的
still | adv.依然，还，仍旧；然而，尽管如此；甚至更，还要；静止地 adj.静止的，寂静的，平静的 n.寂静 v.(使）平静，（使）静止
hang | v.[hung-hung]悬挂，吊；徘徊；[hanged-hanged]吊死，绞死
happen | v.发生，碰巧，恰好
sixteen | num.十六，十六个
thirteenth | num.第十三（个） n.十三分之一
heaven | n.天堂，[pl]天国；天，天空；上帝，神
empty | adj.空的，空闲的；空虚的 v.(使）空，倒出
neither | pron.两者都不 adv.也不
sky | n.天（空）
toward(s) | prep.向，朝，面对；接近
third | num.第三(个) n.三分之一
newspaper | n.报纸
volleyball | n.排球
pupil | n.（小）学生；瞳孔
fantastic | 极好的，极出色的；了不起的；异想天开的；不实际的；奇异的，古怪的
dare | v.敢，敢做；v.aux.敢，竟敢
treat | v.对待，处理；治疗，医治；款待，招待 n.款待，招待
us | pron.我们
should | v.aux.(shall的过去式）将要；（表示义务、责任)应当，应该；（表示假设）万一，竟然；（表示意愿）就，该；（表示推测）可能
engineer | n.工程师，机械师
connect | v.连接，衔接；联合，关联；接通电话
hobby | n.业余爱好，嗜好
wear | v.穿着，戴着，留（须，发）；面露，面带；磨损，用旧 n.穿，戴；服装，磨损，损坏
