imagine | v.想象，设想；料想，猜想
umbrella | n.雨伞
balloon | n.气球
traffic | n.流动的车辆或行人，交通（量）；（非法）交易：v.（非法）交易
communicate | v.通信，沟通；传达；传播；传染
house | n.房屋，住宅； [H-]议院 v.供宿，给…房子住
chess | n.国际象棋，棋
salt | n.盐（类）v.腌，盐渍；撒盐于
head | n.头，头部；顶部，前端；领导，首脑；（牛、羊等的）头数；头脑，智力
v.主管，领导；位于…的顶部，居…之首，使朝…行进，向某处走去
less | adj.更少的，更小的 adv.  更少地，更小地
award | v.授予，给予，判给 n.奖，奖品；报酬；津贴
cage | n.笼子
themselves | pron.他（她、它）们自己；他（她、它）们亲自
fall | v.[fell-fallen]落下，降落；跌倒，塌倒；降临，来临；失势，垮台；下垂，倾斜；发生，适逢 （某一时期） n.秋天，落下，降落；下跌，塌陷；垮台，崩溃
cancel | v.取消，废除，抵消；删去，划掉
forward | adv.向前；向将来，从今往后 adj.前部的，位于前面的
oil | n.油，润滑油；石油，燃料油；油画；油画颜料 v.给…加润滑油；使涂满油
pioneer | n.先驱者，倡导者 v.开拓，开创
unfamiliar | adj. 不熟悉的
village | n.乡村，村庄
sofa | n.(长）沙发
speed | n.速度，迅速，快 v.迅速前进，急行；加速，催；（违章）超速行驶
knock | n/v.敲，打；碰撞，撞击
score | n.得分，分数；乐谱；抓痕，划痕，二十
v.（得）分，计分；给（试卷等）打分；刻痕于
examine | v.检查，调查；考试，测试
shell | n.壳，贝壳；外壳，框架，炮弹 v.剥…的壳；炮击
necessary | adj.必要的，必需的，必然的，势必的，不可避免的 n.必需品
shirt | n.（尤指男士）衬衫
eraser | n.橡皮
pond | n.池塘
check | v.检查 n.检查；支票
vegetable | n.蔬菜，植物 adj.蔬菜的，植物的
article | n.（物品的）一件；物件；商品；文章；论文；条款；条纹；规定；冠词
adj.表达清晰的
bamboo | n.竹子，竹
hot | adj.热的，辣的；激烈的，热烈的；急躁的，易发怒的；（指新闻）最新的，热门的
may | v.aux.[might]可能，可以；祝，愿 n.[M-]五月
change | v.改变；交换，互换；兑换；换衣，换车（或船等） n.改变，变化；更改，更换；找头，零钱
thousand | num.一千，一千个 n. [pl.]许许多多，成千上万
except | prep.除…外
v.将…除外，不包括
music | n.音乐，乐曲
anywhere | adv.在（或往）什么地方，在（或往）任何地方，随便什么地方
ham | n.火腿
unable | adj.不能的，不会的
forest | n.森林，林木
embarrassed | adj. 尴尬的，为难的，陷入困境的，窘迫的
morning | n.早晨，上午
beautiful | adj.美丽的，完美的；出色的
position | n.位置，方位；职位，职务；姿势，姿态，立场 v.安放，安置
etiquette | n.礼节，礼仪
into | prep.进,到…里；关于，有关
bother | v.打扰，麻烦；使不安，迷惑 n.麻烦，焦急，令人烦恼的人（或事物）
red | adj.红色的 n.红色；红颜料
leave | v.[left-left]离开，出发；留下，遗留；遗忘；听任；让；交托，委托 n.假期，准假；许可，准许，告辞
authority | n.权利，管辖权；[pl.]官方，当局；当权者，行政管理机构；权威，专家
form | n.形式，种类；外形，外貌；表格 v.形成，构成
scarf | n.围巾，披巾，薄头巾
favorite | n.特别喜欢的人或事物 adj.特别喜爱的
always | adv. 总是，无例外地；永远，始终，一直
