city | n.城市，都市
stupid | adj.愚蠢的，迟钝的；无聊的；恼人的
wine | n.(葡萄）酒
guilty | adj.有罪的，犯罪的；感到惭愧的，内疚的
shape | n.形状，体形；幻象；状况，状态v.使成形，塑造，形成；决定…的进程（或发展方向）
dead | adj.死的；无感觉的；呆板的n.死者adv.完全地；绝对地
obey | v.服从，听从
almost | adv.几乎，差不多
seventh | num.第七（个）n.七分之一
chance | n.可能性；机会，机遇；偶然的事v.碰巧，偶然发生；偶然看见
microwave | n.微波；微波炉
doubt | n.疑惑，怀疑v.怀疑，不相信
master | n.（男）主人，雇主；能手；名家，大师v.掌握，精通；征服adj.主要的，最重要的
cheer | v.使振奋，使高兴；为…欢呼，为…喝彩n.欢呼，喝彩
across | prep.穿过，越过，横过；在…对面；遍及adv.从一边到另一边，横过；在对面
cake | n.饼，糕，蛋糕
oak | n.橡树；橡木
spot | n.地点，处所；污点，斑点；少量
yog(h)urt | n.酸奶，酵母乳
taste | n.滋味；味觉，口味；鉴赏力；兴趣，爱好v.有…味道；品尝；体验，感受
circle | n.圆，圆圈；圈子，界；阶层v.围着，圈出；环绕…移动；盘旋，环行
medium | adj.中等的；平均的n.媒介，工具；手段，方法
greet | v.问候，迎接；对…作出反应
dangerous | adj.危险的，不安全的
perfect | adj.完美的，无暇的；完全的，十足的；最佳的，理想的v.使完美，改善
lion | n.狮子
coffee | n.咖啡，咖啡豆；咖啡树，咖啡色
thing | n.事，事情，事件；物，东西；局面，情况，事态；所有物，用品
go | v.去；离开；变得，成为；运转，运行；被放置；伸展；通往
experience | n.经历，阅历；经验，体验v.经历，体验，感受
fry | v.油煎，油炸
transportation | n.运输，运输系统；运输工具
serve | v.为…服务；任（职）；招待，接待，伺候；符合，适用于，满足；供应；发（球）
avenue | n.林荫道；道路，大街
weak | adj.虚弱的，无力的；（能力等）弱的，差的；微弱的，稀薄的
fish | n.鱼v.钓（鱼），捕（鱼）
rapid | adj.迅速的，快的
ride | v.骑（马）；乘（车）n.骑（马），乘（车）；骑马（或乘车等）旅行
meaning | n.意思，含义；意义
everyone | pron.每人，人人，个人
France | n.法国
moment | n.片刻，瞬间，时刻；机会，时机
bathroom | n.浴室；盥洗室
ancient | adj.古代的，古老的；年老的，看上去很老的
park | n.公园；停车场v.停放（车辆等）
near | adv.近，在近处prep.靠近，接近adj.近的，接近的；亲近的
expensive | adj.昂贵的，花钱多的
refrigerator | n.电冰箱
skate | n.冰鞋v.溜冰，滑冰
sure | adj.肯定的，有把握的；一定的，必然的；可靠的，稳妥的adv.确实，当然
Chinese | n.中国人；中国话，中文adj.中国（人）的；中国话的
cry | v.哭，哭泣；叫喊，鸣，叫；大声地说n.哭，哭声；叫喊，叫声
first | num.第一adj.最先的，最早的adv.先，在首位；第一次，首次
among | Prep.在…之中，在…中间
conjunction | n.联合；连词
carry | v.提，挑，背；运送，运载；输送，传送，传播；携带，怀着；支撑
office | n.办公室，办事处，营业所；处，所，局；公职，官职，职责；帮忙，服务
