importance | n.重要（性）
stress | n.压力，紧张；强调，重要性；重音v.强调，着重；重读
fever | n.发热，发烧；狂热
island | n.岛屿，岛
energy | n.干劲，精力；能量；能源
provide | v.供应，提供
ourselves | pron.我们自己；我们亲自
bowl | n.碗，钵
carrot | n.胡萝卜
reach | V.抵达；达到；延伸到；伸出（手）；够到；与…取得联系；达成（协议等）n.（智力.影响等的所及）范围；理解力
partner | n.配偶，搭档；伙伴，合伙人v.做…的搭档
strict | adj.严格的，严厉的；严谨的，精确的；完全的，不折不扣的
ready | adj.准备好的，现成的
fence | n.栅栏，篱笆v.（用栅栏、篱笆或围栏）围住，隔开；回避，搪塞
entertainment | n.娱乐；表演会；招待，款待
chalk | n.粉笔
desk | n.书桌，办公室
sport | n.运动；[pl.]运动会v.炫耀，卖弄
print | v.印刷，出版；用印刷体写；冲洗（照片）n.字体；印刷，印刷品；（用底片印出的）照片
tell | v.讲，告诉；吩咐，命令；说明，显示；分辨，区分
attitude | n.态度；看法，意见
spell | n.咒语，符咒；魅力；连续的一段时间v.拼写；意味着，招致
king | n.君主，国王；（特定领域的）巨子，大王
juice | n.汁，液
notebook | n.笔记本
before | prep.在…以前；在…之前，先于；在…前面，在…面前conj.在…以前adv.以前，以往
test | n./v.试验，测试；检验
pass | v.经过，穿过；传递，传送；度过；通过（考试等）；批准n.通行证，许可证；通道，出口
balance | n.天平，称；均衡，平衡；结存，结欠v.使平衡，使均衡；称；权衡
crowd | n.人群，群众；一群，一批v.聚集，群集；挤，推
robot | n.机器人；自动机械
seat | n.座位，（椅子等的）座部；所在地，场所；席位，职位v.使坐下；供给…座位，容纳…人
creative | adj.创造性的，具有创造力的
time | n.时间。时刻；次，回；时机，机会；倍；时代，时期v.为…安排时间，为…定时；测定…时间
soccer | n.足球
thirty | num.三十，三十个
glad | adj.高兴的，快活的；令人高兴的，给人带来喜悦的
crazy | adj.精神失常的；疯狂的；迷恋的，狂热爱好的
monster | n.怪物；妖怪；巨人，巨兽，巨大的东西adj.巨大的，庞大的
interview | n.接见，会见；面谈，面试v.面试；会见，采访
compare | n./v.比较；比喻
sea | n.海，海洋
use | v.用，使用；耗费，消耗n.使用，应用；用途，效用
spotlight | n.聚光灯；公众的注意v.用聚光灯照；特别关注；突出报道
album | n.粘贴簿；集邮簿；相册；音乐专辑
inside | prep.在…里面，在…内部adv.在里面，在内部n.里面，内侧adj.里面的，内幕的
fourteen | num.十四
whole | adj.全部的，全体的；完整的，无缺的n.全部，整体
thick | adj.厚的，粗的；笨的，迟钝的；稠的，浓的；密的，密集的
share | v.分享，分担；分摊，分开n.一份；份儿，股份
online | adj.在线的；联机的，联网的
garage | n.车库；汽车修理行
big | adj.大的，巨大的；重大的，主要的；年龄较大的，长大了的
somebody | pron.某人，有人n.重要人物
mouth | n.嘴，口
noon | n.正午，中午
prison | n.监狱
