memory | n.记忆（力）；回忆；纪念；存储（器）
dish | n.碟，盘；菜肴，一盘菜
include | v.包括，包含，计入
race | n.(速度的）比赛，赛跑；竞争；人种，种族 v.参加（与…的）比赛，（与…）赛速度；（使）高速运转，全速进行
tonight | adv./n.今晚
map | n.地图，图 v.在地图上标示出；绘制…的地图
refuse | v.拒绝，不接受，谢绝
step | n.步，脚步；步骤，措施；台阶，梯级 v.[stepped-stepped, stepping]跨步，行走；踩，走，踏上
difference | n.差别，差异；差，差额；（意见的）分歧
seventeenth | num.第十七（个） n.十七分之一
strategy | n.谋略，战略，策略
uncle | n.伯父，叔父，舅父，姑父，姨父
complain | v.抱怨，诉苦；投诉，控告
green | adj.绿色的；生的，未成熟的；缺乏经验的，幼稚的；主张保护环境和生态的 n.绿色；[pl]绿色蔬菜
bike | n.自行车
effort | n.努力，尝试；努力的成果，成就
grammar | n.语法（书）
pancake | n.薄煎饼，烙饼
essay | n.短文，文章；随笔，散文
abroad | adj.在国外；广泛四散 adv.到（在）国外；广为流传
cough | n./v.咳，咳嗽
like | v.喜欢，想要；希望，愿意 n.[pl.]喜爱的东西，相似的人（或事物） prep.像，如 adj.相像的，相同的
join | v.参加，加入；连接，接合
without | prep.无，没有
nervous | adj.神经紧张的，情绪不安的；神经系统的；神经性的
soon | adv.不久，即刻；早，快
only | adv.只，仅仅，才；不料，反而，结果却 adj.唯一的，仅有的；最好的，独一无二的 conj.可是，只不过
poster | n.招贴（画），海报，广告
restaurant | n.餐馆，饭店
destroy | v.破坏，毁灭
finish | v.完成，结束 n.结束，末尾，最后阶段（或部分）
deep | adj.深的，厚的；深切的，强烈的；（声音）深沉的；（颜色）浓的；深刻的，深奥的 adv.深深地；在深处
elder | adj.年龄较大的，年长的 n.[pl.]长者，前辈
photo | n.照片
weekday | n.平常日，工作日
bush | n.灌木，灌木丛
wind | n.风，气息，呼吸 v.绕，缠绕；（给…）上发条；迂回前进
fox | n.狐狸，狡猾的人
grape | n.葡萄
new | adj.新的；新鲜的，新型的，流行的；更新的 adv.新近
divide | v.分，分隔；分配，分享；除，使产生分歧 n.分歧；分开；分界线，分水岭
company | n.公司，商号；陪伴，交往；同伴（们），朋友（们）；客人（们）；（一）群，（一）伙
listen | v.听；听信
want | v.想要；希望；需要
iron | n.铁，烙铁，熨斗 v.熨，烫
can | v.aux.[could]能，可以；可能，会 n.罐，罐头 v.[canned-canned, canning]把…装罐保存
kilometer | n.千米
extra | adj.额外的，特别的 adv.特别地 n.额外的事物，另外收费的事物
cigarette | n.香烟
fruit | n.水果，果实；成果，结果
environment | n.周围状况，环境
thirtieth | num.第三十（个) n.三十分之一
is | v.存在，是（be动词的第三人称单数形式）
lesson | n.课；教学单元；一堂课，一节课；教训，经验
attention | n.注意力，专心；关注；关心；立正姿势
I | pron.我
anymore | adv.再，更，还；目前，现在，今后
