cotton | n.棉，棉花；棉线，棉纱
sister | n.姐，妹
record | v.记录，登记；将（声音、图像等）录下n.记录，记载；；唱片；最高记录，最佳成绩
butter | n.黄油
hard | adj.坚硬的，坚固的；困难的，艰苦的；勤勉的，刻苦的；冷酷的，严厉的；猛烈的，强烈的adv.努力地；艰难地；猛烈地，严重地；严厉地
statement | n.陈述，声明；结算单，报表
off | adv.距，离，到；离开；出发，起跑；（计划的事）不发生，取消；断开，不供应；未连接，不工作；下班，休息；在后台，不在台上prep.落下，离开；从…去掉
break | v.打破；损坏，弄坏；破坏，违反；中止，中断；打破（纪录）；减弱…的势头，减轻（打击等的）力度；（天）破晓，（天气）转晴n.（课间或工作）休息，间歇；破裂
seal | n.封铅，封条；印，图章；海豹v.封，密封
plastic | adj.塑料（制）的；可塑的n.[常作pl.]塑料；塑料制品
artist | n.艺术家，画家；能手
glue | n.胶，胶水v.胶合，粘贴
alright | adv.好，好吧
shoot | v.发射，射击；投，射门，投篮；拍摄；射杀，射伤；发芽n.新枝，幼苗，嫩芽；狩猎；射击，拍摄
doctor | n.医生，博士
convenient | adj.方便的，便利的
terrible | adj.极度的，厉害的；可怕的，骇人的；很糟的，极坏的
of | prep.（属于）…的；由…制成（或组成）的；含有…的，装有…的
glass | n.玻璃，玻璃杯；[pl.]眼镜
careful | adj.小心的，仔细的
more | adv.更，更多adj.更多的，更大的
under | prep.在…下面，在…底下；少于；低于；在…管辖下，在…影响下adv.在下面，往下面
diary | n.日记簿，日记
shout | v.呼喊，呼叫n.呼喊，喊叫声
eighty | num.八十
supply | n.供给，供应（量）；存货，必需品v.供给，供应；满足（需要），弥补（不足）
fashion | n.流行款式，时兴式样；时尚，时兴
punish | v.惩罚，处罚
bridge | n.桥，桥梁；桥牌v.架桥于；把…连接（或弥合）起来
radio | n.无线电广播；设备；收音机v.用无线电传送（或广播）
somewhere | adv.在某处，到某处；大约，大概
product | n.产品，产物；乘积
never | adv.从不，永不；决不，千万不
several | adj.几个，若干
insect | n.昆虫，虫
banana | n.香蕉
volunteer | n.志愿者，志愿兵v.自愿（做）
district | n.地区，区域；管区，行政区
all | adj.一切的，所有的；全部的，总的，整个的adv.完全地；十分，很pron.全部，一切
reveal | v.揭露，揭示；泄露；展现，展示
marathon | n.马拉松长跑；（各种）持久比赛；{喻}拖时长久令人难以忍受的事adj.(比赛等）需要极大持久力的；马拉松式的，漫长的v.参加马拉松长跑（比赛）
smile | n.微笑，笑容v.微笑，露出笑容；笑，用微笑表示
rather | adv.相当；有点儿；宁愿，宁可；更确切地说
ink | n.墨水；油墨
discovery | n.发现，发觉；被发现的事物
camera | n.照相机；摄像机，摄影机
idea | n.想法，主意；思想，概念
advantage | n.优点，好处，优势
hill | n.小山，山岗；斜坡
clothes | n.衣服，服装；被褥
anything | pron.无论什么东西，随便什么事情；任何东西，任何事情
purpose | n.目的，意图；用途；效果
boat | n.船，小船
association | n.协会，联盟，社团；联合，结合
to | prep.向，往，对着；对，给，于；趋于，倾向；直到…为止，在…之前；比，对；到，达
lonely | adj.孤独的，寂寞的；荒凉的，人迹稀少的
