our | pron.我们的
sixteenth | num.第十六（个） n.十六分之一
twenty | num.二十，二十个
building | n.建筑物，房屋；建筑
important | adj.重要的，重大的；有势力的，有地位的
model | n.模型；模特儿；模范，典型 v.做…的模型；仿效，模仿
mistake | n.错误；过失 v.[mistook-mistaken]误解，误会，弄错；把…误认为
they | pron.他（她、它）们
instrument | n.乐器；仪器’器械
coach | n.教练，指导；长途公共汽车；（客机的）经济舱 v,训练；指导‘辅导
elementary | adj,基本的，基础的；初级的’小学的
call | v.把…叫做，把…称为；打电话给；叫，大声说出；召唤，传唤；召开，召集；访问，拜访 n.喊叫，鸣叫；（一次)电话，通电话；访问，拜访
talented | adj.有才能的，有才干的；天才的
mixture | n.混合；混合物
duty | n.责任，义务；职责，职务；税，关税
note | n.短签，便条；记录，笔记；注解；音调，音符 v.注意，留意；记录，记下
unhappy | adj.不快乐的；不幸的，悲惨的
doll | n.玩偶，玩具娃娃
stream | n.小河，溪流；流，一股；一连串 v.流（出），涌（出）
below | prep.在…下面，到…下面；在…以下；低于 adv.在下面，到下面
kill | v.杀死，扼杀；终止，否决；使疼痛，使非常痛苦；消磨，打发（时间）
fold | n.辙痕，褶缝 v.折叠，合拢
discuss | v.谈论，讨论，论述
peace | n.和平，和睦；平静，安宁，安静
good | adj.好的，令人满意的；有道德的，高尚的；有本事的，擅长的；好心的，慈善的；乖的，恭顺的；适合的，有益的 n.善，好事；好处，利益 [pl.]货物，商品
toy | n.玩具 v.漫不经心地考虑；摆弄
final | adj.最后的，最终的；决定性的，确定性的 n.期末考试；决赛
none | pron.没有一人（或物），没有一点儿 adv.一点也不，毫不，毫无
even | adv.甚至；即使 adj.平淡；均匀的，平稳的；相等的，均衡的；偶数的
insist | v.坚持要求，强调；坚决主张；坚持说，固执地声称
winter | n.冬，冬季；萧条期，衰退期 adj.冬天的
party | n.社交聚会；党，政党；一方，当事人
opinion | n.意见，主张
guess | n.推测，猜测 v.猜测；以为，相信
pool | n.池塘，水池；游泳池；（液体等的）一摊，一片
nineteen | num.十九，十九个
money | n.钱，货币
do | v.[did-done]做，从事；实行，进行；尽力；可用；制作；算出，解答
watermelon | n.西瓜
have | v. aux.已经，曾经 v.有；进行，从事；享受，经受；使，让；必须，不得不
protect | v.保护，保卫
build | v.[built-built]建造，修建；建立，创立 n.体型，体格
grandchild | n.（外）孙子；（外）孙女
birth | n.出生，分娩；出身；起源，根源
swim | v.[swam-swum,swimming]有用；眩晕；浸，泡 n.游泳
twentieth | num.第二十（个） n.二十分之一
praise | v.赞扬，表扬 n.称赞，赞美；赞美的话
solid | adj.固体的；实心的；结实的，稳固的；可靠的；纯质的，纯色的 n.固体
husband | n.丈夫
farm | n.农场；养殖场 v. 耕作
well | adv.好；妥善地，有利地；令人满意地；完全地；充分地，足够地；很，相当 adj.良好的；妥善的，有利的；健康的，没病的，康复的 n.井
thirsty | adj.口渴的；渴望的，渴求的
mess | n.凌乱的状态，脏乱的状态；混乱的局面，困境 v. 弄糟，弄脏
culture | n.文化；文明；教养，教育
Mars | n.火星；战神
structure | n.结构，构造；建筑物 v.构造，建造
meal | n.膳食，一餐，一顿（饭）；进餐
