search | n.∕v.搜索，寻找；搜查
chopsticks | n.筷子
we | pron.我们
six | num.六，六个
picnic | n.野餐 v.[picnicked-picnicked,picnicking]去野餐
nearby | adj.附近的 adv.在附近
hers | pron.她的（所有物）
with | pron.和…一起，跟，同；具有，带有；用，以，籍；对…，关于；随着
shut | v.[shut-shut,shutting]关闭，关上；打样
marry | v.娶，嫁，和…结婚
native | adj.出生地的；当地（人）的 n.土生土长者，本国人
original | adj.最初的，原始的；新颖的，有创意的；原创性的 n.原件
purse | n.钱包；女用钱包
are | v.存在，是（be动词的复数形式）
discussion | n.讨论，谈论
bow | n.弓，弓形物；蝴蝶结 n.∕v.鞠躬，低头
ninety | num.九十，九十个
sing | v.[sang-sung]唱（歌），演唱；鸡鸣
mix | v.使混合，配制；相混，搞混 n.混合，搅和
postman | n.邮递员
smell | n.气味；臭味；嗅觉 v.[smelt-smelt]散发（或有）…的气味；嗅，闻到；察觉
live | v.居住；活，生活；（回忆等）留存，难忘 adj.活的，充满活力的；现场直播的，现场演出的 adv.以现场直播（或表演）的方式
Paris | n.巴黎
sauce | n.沙司；调味汁，酱汁；佐料
deaf | adj.聋的；不愿听的，裝聋的
thought | n.想法，见解；思考，思维；关心，注意；思想，思潮
sir | n.先生；[s-]爵士
fetch | v.（去）拿来；请来，叫来
those | pron.那些
dry | adj.干（燥）的，干旱的；口渴的 v.使干，使脱水
save | v.救助，搭救，拯救；储蓄；贮存，保存 prep.初…之外
calculator | n.计算器
baby | n.婴儿
October | n.十月
zebra | n.斑马
that | adj.∕pron.那，那个 conj.∕adv.那样，那么
forty | num.四十
surprise | n.惊奇，诧异；令人惊奇（或意想不到）的事物 v.使诧异，使惊奇；突然袭击，奇袭
mother | n.母亲，妈妈
soft | adj.柔软的，细嫩的，光滑的；（声音）轻的，轻柔的；（颜色、光线等）柔和的；温和的，温柔的；不含酒精的；柔弱的，娇嫩的
computer | n.计算机，电脑
criticize | v.批评；评论；非难
court | n.法庭，法院；宫廷，朝廷；球场 v.献殷勤；追求，求爱；招致，导致
together | adv.在一起，共同；一致地，协调地
long | adj.长的；长期的 v.渴望，热望 adv.长期地
strange | adj.奇怪的，奇异的；陌生的，生疏的；外地的，异乡的
decide | v.决定，对…作出抉择；使下决心
row | n.(一）排，（一）行；划船 v.划船，荡浆 n.∕v.争吵；斥责
as | adv.同样，一样地 prep.当做，作为；像，如同 conj.当…时，随着；以…的方式，像…一样；因为，由于；尽管，虽然
large | adj.大的；(数量）多的，众多的
wrong | adj.错误的，不正确的；不道德的，不正当的，不合法的 n.错误；坏事；不公正的行为，冤屈
film | n.影片，电影；胶片，胶卷；薄层，薄膜 v.拍摄电影
yours | pron.你（们）的（所有物）
safety | n.安全，保险；安全设备，保险装置；安全场所
lot | n.许多，大量；签，抽签；一块地，场地
exhibition | n.展览（会）
awful | adj.极坏的；糟糕的，令人不快的；可怕的；非常的
