magic | n.魔法，魔术；魔力，魅力adj.有魔力的
lay | v.放置，放下；铺，砌；下（蛋），产（卵）；设置，布置；处于（某种状态）
friend | n.朋友，友人
case | n.事例，实例；情况，事实；病例；案件；箱，盒；手提箱
twelfth | num.第十二（个）n.十二分之一
heavy | adj.重的，重型的；大量的，密集的；严重的，严厉的；剧烈的，繁重的；沉重的，忧郁的；充满的
combine | v.联合，结合n.联合企业（或团体）；联合收割机
easy | adj.容易的，不费力的；舒适的，安逸的；随和的，友善的
dictionary | n.词典，字典
meeting | n.会议，集会；会合，相会；运动会
waiter | n.（男）侍者，（男）服务员
your | pron.你的，你们的
survey | n.调查，勘察；测量，勘测；全面审视，概括论述v.调查，检视（建筑物等）；测量，勘测；全面审视，慨括论述；俯瞰，眺望
appear | v.出现，显露，来到；看起来好像，似乎；产生，问世；发表
possible | adj.可能的，做得到的；可接受的，合理的
salad | n.沙拉，凉拌菜
another | pron.再一个，另一个adj.又一的，再一个（或一批）的，另一的，别的；不同的
wash | v.洗，洗去；冲，冲掉；洗衣,洗脸（或手等）n.洗涤；要洗的衣物，洗好的衣物
passport | n.护照
aid | n.帮助，救助；助手；辅助手段v.帮助，救助
science | n.科学；学科
chase | v.追捕；追求；寻求
sink | v.下沉，沉没；使下沉，使沉没；降低，下落n.水槽，水池
gun | n.枪，炮
research | n.研究，调查v.研究，调查
farmer | n.农场主；农民
disadvantage | n.缺点，不利条件
prepare | v.准备，预备
hero | n.英雄，勇士；男主角，男主人公
assistant | n.助手；助教adj.助理的，辅助的
nineteenth | num.第十九n.十九分之一
passage | n.段落，章节；通道；流逝，推移
zigzag | n.“之”字形；蜿蜒曲折adj.“之”字形的，v.弯弯曲曲进行
and | conj.和，与，及；那么，则；然后，接着；而且，还
treatment | n.治疗，疗法；对待，待遇；处理
corner | n.角，角落；街角；遥远的地区，偏僻处；困境，绝路v.将…逼入困境，使走投无路
cat | n.猫；猫科动物
nor | conj./adv.也不，也没有
recycle | v.回收利用（废物等），在应用
trip | n.旅行，旅游v.（把…）绊倒
which | pron.哪一个，哪一些；…的那个，…的那些；那个，那些
background | n.出身背景，经历；北京资料；（画等的）背景，底子
night | n.夜，夜晚
physics | n.物理，物理学
airplane | n.飞机
lab | n.实验室
screen | n.屏幕，银幕；遮蔽；屏风v.掩蔽，遮蔽，包庇；放映（电影），播放（电视节目）
dirty | adj.肮脏的；下流的，黄色的；卑鄙的，不道德的；暴风雨的，（天气）恶劣的v.弄脏
eighteen | num.十八
level | n.水平面，水平线；高度；水平，等级adj.平的，水平的；筒高度的，同程度的；平稳的，冷静的v.（使）变平坦
India | n.印度
welcome | v./n./int.欢迎adj.受欢迎的
hungry | adj.饥饿的，感到饿的；渴望得到的
social | adj.社会的；交际的，社交的
super | adj.极好的，上等的；超级的；过分的
cupboard | n.柜橱
telephone | n.电话v.打电话
smoke | n.烟，烟尘；吸烟，抽烟v.冒烟，冒气；抽烟
