shake | n./v.[shook-shaken]摇动，摇；（使）颤抖，震动
correct | adj.正确的，对的；合适的，符合的 v.改正，纠正；校准
lap | n.(坐着时的）腰以下到膝为止的大腿部；（跑道的）一圈；一段旅程 v.[lapped-lapped, lapping]（动物）舔，舔食；（波浪等)拍打
next | adj.下一个的；紧接在后的；接下来的 adv.接下来，然后；居于，次于
early | adj.早期的；提早的，提前的 adv.在开始阶段，在初期；提前，提早
shine | v.照耀；发光，发亮；干得出色 n.光泽，光
value | n.价值；价格；购买力；重要性；益处 v.给…估价；评价
review | n./v.审查，复查；复习，温习，回顾；评论；检阅
eastern | adj.东方的，东部的
outside | prep.在…外面，向…外面；除…之外 adv.在外面，向外面 adj.外面的，外部的，外界的 n.外面，外部；外表
December | n.十二月
board | n.板，牌子；木板，纸板；委员会，董事会，理事会；（包饭的）伙食 v.登记，上船；搭伙，提供膳宿
tutor | n.导师；家庭教师 v.辅导
sandwich | n.三明治，夹肉面包 v.把…做成三明治；夹入，挤进
design | n.设计，构想；图样，图案；企图，图谋 v.设计；预定，制定；谋划，构思
worse | adv./adj.更坏(的），更差（的），更糟（的） n.更坏的事，更恶劣的事
finger | n.手指
everywhere | adv.到处，各处，无论何处
daughter | n.女儿
impossible | adj.不可能的，办不到的
topic | n.题目，话题；主题
negative | adj.否定的，消极的；负的 n.底片；负数
meat | n.肉
size | n.大小，尺寸，尺码；规模 v.按大小排列（或分类）
bicycle | n.自行车 v.骑自行车
university | n.大学
comment | n.评论，意见；闲话，议论 v.评论
furry | adj.皮毛的，盖着皮毛的
heel | n.脚后跟，踵；（鞋、袜等的）后跟
this | pron.这，这个
child | n.[pl.children]孩子，儿女
view | n.看法，观点；视野，眼界；景色，风景 v.考虑，认为；观察，看
parent | n.父亲(或母亲），家长
sugar | n.糖 v.在…中加糖
wall | n.墙，壁，围墙 v.筑墙围住，用墙隔开
Monday | n.星期一
fact | n.事实，真相
course | n.过程；经过；路线，航线；方针；课程
slide | v.[slid-slid]滑动，下滑；(使）快速而悄声的移动 n.滑动，下滑；滑坡；幻灯片
repeat | n./v.重复；重说；重做
tooth | n.[pl.teeth]牙齿，齿状物
move | v.移动，搬动，搬（家）；动摇，使改变主意；感动，激起；进展，发展 n.动，动作，行动；移动；搬家，迁徙
pronoun | n.代词
beside | prep.在…旁边；在…附近；和…相比
suggest | v.建议，提出；使想起；暗示
its | pron.它的
recent | adj.新近的，近来的
infinitive | n.原形；不定式
sit | v.[sat-sat, sitting]坐，就座；坐落，被安放；使坐，使就坐
push | v.推，按；推动，推进；催逼，逼迫
again | adv.再一次；又一次；回到原处，复原；再则，而且
bright | adj.明亮的，光明的；聪明的，机灵的；欢快的；鲜艳的；清晰的
pink | adj.粉红色的，桃红色的 n.粉红色，桃红色
late | adj.迟的，晚的；末期的，晚期的；最近的，新近的；已故的；以前的 adv.迟，晚
clock | n.钟
sixty | num.六十，六十个
most | adv.最，极其，十分 adj.最多的，作答的，大多数的，大部分的
horse | n.马
November | n.十一月
