serious | adj.严重的，危急的；重要的，重大的；认真的，严肃的，庄重的
certain | adj.某一，某种；肯定的，确信的；确实的，无疑的
illness | n.疾，疾病
word | n.词，单词；语言，话；消息，传说；谎言，保证
control | n.控制（能力），支配；管理；调节；抑制，自制；控制器，调节器v.控制，支配；克制，抑制；管理调节
will | v.aux.将，会；要，愿意n.意志，决心；遗嘱
madam | n.女士，夫人
chairman | n.主席；会议主持人；董事长
really | adv.真正地，实际上；很，十分，全然
dozen | n.（一）打，十二个adj.一打的
report | v.报告，汇报；报道；高发；报道；隶属，对（上司）负责
dad | n.爸爸
loud | adj.响亮的，大声的；（色彩等）刺目的；（行为）太招摇的
basketball | n.篮球
jeans | n.牛仔裤
gate | n.大门；有大门的出入口；（比赛等的）观众人数，门票收入
ant | n.蚂蚁
courage | n.勇气，胆量
there | adv.在那里，往那里；在那方面，在那点上
warm | adj.温暖的，暖和的；热情的，热心的；（色调）暖和v.（使）暖起来；使热烈
musician | n.音乐家，乐师
pack | v.捆扎，打包；（使）挤在一起；塞满
orange | n.橙，柑，橘；橙汁adj.橙色的
mad | adj.疯的，神经错乱的；恼火的；狂热的，着迷的
pet | n.宠物；宠儿adj.宠爱的，表示亲昵的
twin | n.孪生儿之一，双胞胎之一adj.孪生的，成双的
underwater | adj.水下的；水下使用的；水下行动的adv.在水下，在水中
middle | n.中部，中间adj.中部的，中间的
prediction | n.预言；预料；预报
awake | adj.醒着的v.醒，唤醒（某人）；意识到，醒悟
feature | n.特征，特色；面貌，相貌；特写，专题节目；故事片
street | n.街道，马路
you | pron.你，你们
penny | n.便士，分
pocket | n.衣袋，口袋；容器v.
am | v.是（be动词的第一人称单数）
dormitory | n.宿舍
tall | adj.高的，身材高的；难以置信的；难以办成的
team | n.队，组v.(使)合作；结成一队
whatever | pron.无论什么，不管什么；任何…的事物，凡是…的东西
country | n.国家；国土；国民，全国人民；农村，乡村
belt | n.地带，地区；腰带，皮带
seem | v.好像，似乎
pull | v.拉，拖，拔；移动n.拉，拖；拉力，牵引力，引力
anxious | adj.焦虑的，发愁的，令人焦急的；渴望的，急切的
secretary | n.秘书；书记；部长，大臣
southern | adj.南方的，南部的
afternoon | n.下午，午后
role | n.作用；职责；角色；任务
express | v.表示，表达adj.特快的，直达的；明确的，明白表示的adv.用最快递方式；乘直达快车n.快车；快邮，速递
peel | v.削…的皮，剥…的壳n.（水果等的）皮；外衣
sweep | v.扫，打扫，拂（去）；扫过，掠过，（风）吹，（浪等）冲，席卷；（使）快速移动；（在…）迅速传播（或蔓延）n.打扫；（手臂等的）挥动
busy | adj.忙的；专业的；繁忙的，热闹的；（电话线）正在被占用的
steal | v.偷盗，行窃；悄悄地移动
regret | n./v.懊悔；遗憾，抱歉
tidy | adj.整洁的，整齐的v.(使)整洁，（使）整齐
writer | n.作者，作家
