mom | (=mum)n.妈妈
standard | n.标准，规则 adj.标准的
wise | adj.有智慧的，聪明的；英明的，明智的；博学的，贤明的
spread | v.展开，伸开；散布，蔓延；涂，敷 n.传播，蔓延；幅度，范围；涂抹在食物上的东西；（尤指横贯两版的）文章（或广告等）
instance | n.例子，实例，事例；情况
ache | v.疼，疼痛；渴望 n.疼痛
queen | n.女王，王后
skirt | n.裙子；边缘，外围
fear | n.害怕，恐惧；恐惧的原因；令人恐惧的事物 v.畏惧，害怕
girlfriend | n.女朋友，女性朋友
hunger | n.饿，饥饿；食欲，胃口；渴望 v.渴望，渴望得到
march | v.行军，前进；游行示威 n.行进，行军；游行示威；进行，进展；[M-]三月
warn | v.警告，告诫；注意，通知
hurry | v.使加快，催促；急运，急派；匆忙，赶紧 n.急忙，匆忙，仓促
business | n.交易，生意；营业（额）；商业；工作，任务；事务
soldier | n.士兵，军人
clerk | n.<美>店员；办事员，职员
way | n.方法，手段；路，路径；方面；方向；习俗，作风；状况，状态
conference | n.(正式）会议；讨论（会），商谈（会）
industry | n.工业，产业；勤劳，勤奋
represent | v.作为…的代表（或代理）；描述；表示；象征；描绘，表现；阐明，说明；扮演
bottom | n.底，底部；末尾，尽头；臀部 adj.最低的，最下的
alone | adj.单独的，孤独的；单单，仅；独一无二的，唯一的 adv.单独地；孤独地；独自地；仅仅，只
whale | n.鲸
x-ray | adj.X射线的，X光的
cow | n.母牛；奶牛
ask | v.询问，问；要求
sudden | adj.突然的，意外的 n.突然发生的事
mark | n.痕迹，斑点，污点；记号，标记；（考试等的）分数 v.作记号于，标明；纪念；给（试卷等）打分
since | conj.自…以来，从…以后；因为，既然 prep.自…以来，从…以后 adv.后来，以后
belong | v.属于，应归入
shark | n.鲨鱼；勒索者，诈骗者；放高利贷的人
everyday | adj.每天的，日常的
impolite | adj.不礼貌的，粗鲁的
solution | n.解决，解答，解决办法；溶液
above | prep.在…上方，多于，超过 adv.在（向）上面，在顶上；（在级别、权力、数目等方面）超过；在上文
every | adj.每一，每个；每…一次的；所有可能的
face | n.脸，面孔；面部表情；面，表面 v.面向，正对；面对，面临
soup | n.汤
double | adj.双的，双重的；两倍的，加倍的；供两人用的，双人的；两面派的，虚伪的 n.两倍；双份；[pl.]（网球等的）双打 v.使加倍，是…的两倍；把…对折，折叠
east | n.东，东部 adj.东方的；来自东方的 adv.向东方
proud | adj.骄傲的，傲慢的；自豪的，得意的
shy | adj.腼腆的，害羞的；胆怯的；有戒心的，畏缩的
schoolwork | n.学校作业，课堂作业；家庭作业
ever | adv.在任何时候，从来；曾经
small | adj.小的；少的；不重要的
west | n.西，西方，西部 adj.西方的，西部的，来自西方的 adv.向西方
labor | n.劳动；工作
space | n.空地，场地；空间，太空；篇章；间隔，距离；持续时间，期间
key | n.钥匙；关键，要害；键；（乐曲的）调；答案，题解；图例 adj.主要的，关键的
old | adj.老的，年老的；古老的，陈旧的，过时的；…岁的，…久的；以前的，过去的；老练的，有经验的
game | n.游戏，娱乐；运动（项目），比赛（项目）
Sunday | n.星期日
one | num.一，一个 pron.(其中的）一人，一个；（泛指）一个人，任何人 adj.（任何）一个的，某一（个）的，同一的；一体的，完整的
enjoy | v.享受；喜爱；享有
ours | pron.我们的（所有物）
ugly | adj.难看的，丑陋的；有敌意的
sheep | n.[pl.sheep]（绵）羊；易受人摆布的人
people | n.人，人们；人民，民众，平民；国民；民族
upstairs | adv.在楼上，往楼上 adj.楼上的 n.楼上
bird | n.鸟；禽
