helpful | adj.有益的，有用的；给予帮助的，肯帮忙的
general | adj.一般的，普通的；普遍的，全体的；笼统的，大体的 n.将军，一般原则
root | n.根（部）；根本，根源；[pl.]祖籍，原籍 v.（使）生根，（使）扎根
little | adj.小的，矮小的；（时间、距离）短的；琐碎的，微不足道的，不多的，少到几乎没有的 n.极少，几乎没有；短时间，短距离 adv.少到几乎没有，毫不
problem | n.问题，疑难问题；思考题，讨论题
thirteen | num.十三，十三个
parrot | n.鹦鹉
throat | n.咽喉，嗓子
drum | n.鼓，鼓状物（如桶、筒）v.[drummed-drummed]有节奏地敲击
pity | n./v.同情，怜悯；可惜，遗憾
cool | adj.凉的，凉快的；冷静的，从容的，冷淡的 v.（使）变凉，冷却；（使）失去热情；（使）冷静下来
hospital | n.医院
person | n.人
aloud | adv.出声地，大声地
sleep | n./v.[slept-slept]睡（眠）
dollar | n.美元；元（加拿大、澳大利亚等国币单位）
pierce | v.刺穿，刺破，穿透；穿孔（于），打眼（于）
support | v.支撑，扶持，拥护；供养，赡养；维持
n.支持，资助；支撑，支撑物；支持者；供养，赡养，维持
wife | n.妻子
four | num.四
pretty | adv.相当，很，颇
adj.漂亮的，俊俏的
sick | adj.有病的，患病的；恶心的，想吐的，厌恶的；心烦意乱的，恼火的
fail | v.失败，不及格；衰退
lamp | n. 灯
western | adj.西方的，西部的
offend | v.冒犯，得罪；伤害…的感情；使厌恶，使不舒服；违反，违犯
silver | n.银，银器，银币v.镀银
wood | n.木材，木头，木料；树林，林地
cost | n.价格，费用；代价，损失 v.[cost-cost]价钱为，（使）花费，使付出（代价）；丧失
argue | v.争论，争吵，争辩；提出理由证明，（坚决）主张，说服，劝说
influence | n.影响，影响力；产生影响力的人（或事物）；势力，权势 v.影响，感化
overseas | adv.在（或向）海外，在（或向）国外 adj.（在）海外的，（在）国外的，（向或来自）国外的
Internet | n.互联网，因特网
chocolate | n.巧克力，巧克力色
market | n.市场，股市v.销售，出售
kitchen | n.厨房，炊具
state | n.状态，情况；国家，政府，州 v.陈述，说明
task | n.任务，工作；作业
cook | v.烹调，煮，烧 n.厨师，炊事员
while | conj.当…的时候，和…同时；然，然而；虽然，尽管 n.一会儿，（一段）时间
eight | num.八
bring | v.[brought-brought]带来，拿来，把…引来；促使，使发生
mystery | n.秘密，神秘的事物
nurse | n.护士；保姆，保育员 v.护理，照料
stop | v.[stopped-stopped,stopping]停止，中断；塞住，堵塞；阻止，阻挠；逗留，歇宿
n.车站，停止，终止，句号
father | n.父亲，祖辈，先祖；创始人，奠基人
very | adv.很，非常；及其，完全地，正是 adj.正是的，恰好的，完全的，十足的
buy | v.[bought-bought] 买，买得，向…行贿，收买
exchange | n.交换，互换，交易所；兑换，兑换率 v.调换，交换
something | pron.某物，某事n.重要的事物（或人），有一定意义的事物
aleady | adv.早已，已经
potato | n.[pl.-es]马铃薯，土豆
candy | n.糖果
beard | n.胡须
price | n.价格，价钱；代价 v.给…定价（或标价）
arrive | v.到达，到来；（时间等）来临；达到，达成
war | n.战争；斗争，竞争
laboratory | n.实验室，研究室
