abandon | vt.放弃,遗弃;n.放任,狂热
ability | n.能力,才干
aboard | adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)
abroad | adv.往国外,到处,海外,广泛,差得远,心里没有谱
absence | n.不在,缺席,缺乏,没有
absent | adj.不在的,缺席的,缺少的;vt.缺席
absolute | adj.完全的,绝对的
absorb | vt.吸收,吸引
abstract | n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化
abundant | adj.丰富的,充裕的,丰富,盛产,富于
abuse | n.滥用,虐待,辱骂,陋习,弊端;v.滥用,虐待,辱骂
academic | adj.学院的,理论的
academy | n.(高等)专科院校,研究院,学会,学术团体,学院
accelerate | v.加速,促进
accent | n.重音,口音,重音符
acceptance | n.接受,承诺,容忍,赞同,相信
access | n.通路,访问,入门;vt.存取,接近
accident | n.意外事件,事故
accidental | adj.意外的,非主要的,附属的;n.非本质属性,次要方面
accommodation | n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合
accompany | vt.陪伴,伴奏
accomplish | vt.完成,达到,实现
accord | n.一致,符合,调和,协定;vt.一致,给与;vi.符合
accordance | n.一致,和谐
according | adv.依照
accordingly | adv.因此,从而
account | n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为
accountant | n.会计(员),会计师
accumulate | v.积聚,堆积
accuracy | n.精确性,正确度
accurate | adj.正确的,精确的
accuse | vt.控告,谴责,非难
accustomed | adj.通常的,习惯的,按照风俗习惯的
ache | n.疼痛;vi.觉得疼痛,渴望
achievement | n.成就,功绩
acid | n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的
acknowledge | vt.承认,答谢,报偿
acquaintance | n.相识,熟人
acquire | vt.获得,学到
acquisition | n.获得,获得物
acre | n.英亩,地产,大片田地
action | n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉
active | adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的;n.[语法]主动语态,积极分子
activity | n.活跃,活动性,行动,行为,[核]放射性
acute | adj.敏锐的,[医]急性的,剧烈
adapt | vt.使适应,改编
addition | n.加,加起来,增加物,增加,加法
additional | adj.另外的,附加的,额外的
adequate | adj.适当的,足够的
adjust | vt.调整,调节,校准,使适合
administration | n.管理,经营,行政部门
admire | v.赞美,钦佩,羡慕
admission | n.允许进入,承认某事之陈述,供认
admit | v.容许,承认,接纳
adopt | vt.采用,收养
adult | n.成人,成年人;adj.成人的,成熟的
advanced | adj.高级的,年老的,先进的
advantage | n.优势,有利条件,利益
adventure | n.冒险,冒险的经历;v.冒险
advertise | v.做广告,登广告
advertisement | n.广告,做广告
advisable | adj.可取的,明智的
advocate | n.提倡者,鼓吹者;vt.提倡,鼓吹
aeroplane | n.飞机
affect | vt.影响,感动,侵袭,假装
affection | n.友爱,爱情,影响,疾病,倾向
afford | vt.提供,给予,供应得起
afterward | adv.然后,后来
agency | n.代理处,行销处,代理,中介
agenda | n.议程
