decorate | v.装饰,为...做室内装修
decrease | n.减少,减少之量;v.减少
defeat | n.击败,战胜,失败;vt.击败,战胜,使失败,挫折;v.击败
defect | n.过失,缺点
define | vt.定义,详细说明
definite | adj.明确的,一定的
definitely | adv.明确地,干脆地
definition | n.定义,解说,精确度,(轮廓影像等的)清晰度
delegate | n.代表;vt.委派...为代表
delete | vt.删除
deliberate | adj.深思熟虑的,故意的,预有准备的;v.商讨
delicate | adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的
delicious | adj.美味的
delivery | n.递送,交付,分娩,交货,引渡;n.[律]财产等的正式移交,发送,传输
demand | n.要求,需求(量),需要;v.要求,需要,要求知道,查询
democracy | n.民主政治,民主主义
democratic | adj.民主的,民主主义的,民主政体的,平民的
demonstrate | vt.示范,证明,论证;vi.示威
dense | adj.密集的,浓厚的
density | n.密度
dental | adj.牙齿的
deny | v.否认,拒绝
depart | vi.离开,起程,不按照,逝世;adj.过去的,逝世的
departure | n.启程,出发,离开
dependent | adj.依靠的,依赖的,由...决定的,随...而定的
deposit | n.堆积物,沉淀物,存款,押金,保证金,存放物;vt.存放,堆积;vi.沉淀
depress | vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下
depression | n.沮丧,消沉,低气压,低压
deputy | n.代理人,代表
derive | vt.得自;vi.起源
descend | vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去
describe | vt.描写,记述,形容,形容;v.描述
deserve | vt.应受,值得;v.应受
design | n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思
desirable | adj.值得要的,合意的,令人想要的,悦人心意的
desire | vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求
despair | n.绝望,失望,令人失望的人(事物);vi.绝望
desperate | adj.不顾一切的,拚死的,令人绝望的
despite | prep.不管,尽管,不论
dessert | n.餐后甜点
destination | n.目的地,[计]目的文件,目的单元格
destruction | n.破坏,毁灭
detail | n.细节,详情;vt.详述,细说
detect | vt.察觉,发觉,侦查,探测;v.发现
detection | n.察觉,发觉,侦查,探测,发现
detective | n.侦探;adj.侦探的
determination | n.决心,果断
determine | v.决定,确定,测定,使下定决心,[律]使终止
device | n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序
devil | n.魔鬼,恶棍
devise | vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠
devote | vt.投入于,献身
diagram | n.图表
dialect | n.方言,语调
diameter | n.直径
dictate | v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)
dictation | n.听写,口述
differ | vi.不一致,不同
digest | n.分类,摘要;vi.消化;vt.消化,融会贯通
digital | adj.数字的,数位的,手指的;n.数字,数字式
dim | adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子
dimension | n.尺寸,尺度,维(数),度(数),元
dip | v.浸,蘸,沾
diplomatic | adj.外交的,老练的
directly | adv.直接地,立即
dirt | n.污垢,泥土
disappear | vi.消失,不见
disaster | n.灾难,天灾,灾祸
discard | vt.丢弃,抛弃;v.放弃
discharge | vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),射(箭);vi.卸货,流注;n.卸货,流出,放电
