discipline | n.纪律,学科;v.训练
discount | n.折扣
discourage | vt.使气馁,阻碍
disease | n.疾病,弊病
disguise | v.假装,伪装,掩饰;n.伪装
disgust | n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕
dismiss | vt.解散,下课,开除,解职,使(或让)离开;vi.解散
disorder | n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱
display | vt.陈列,展览,显示;n.陈列,展览,显示,显示,显示器
disposal | n.处理,处置,布置,安排,配置,支配
dispose | v.处理,处置,部署;vt.布置,安排,除去,使愿意
dispute | v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等);n.争论,辩论,争吵
dissolve | v.溶解,解散
distinct | adj.清楚的,明显的,截然不同的,独特的
distinction | n.区别,差别,级别,特性,声望,显赫
distinguish | v.区别,辨别
distress | n.悲痛,穷困,不幸,危难,忧伤;v.使悲痛,使穷困,使忧伤
distribute | vt.分发,分配,散布,分布,分类,分区;v.分发
distribution | n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行
disturb | vt.弄乱,打乱,打扰,扰乱;v.扰乱
ditch | n.沟,沟渠,壕沟
dive | vi.潜水,跳水,下潜,俯冲;n.潜水,跳水,下潜,俯冲
diverse | adj.不同的,变化多的
divide | v.分,划分,分开,隔开
division | n.分开,分割,区分,除法,公司,(军事)师,分配,分界线
divorce | n.离婚,脱离;vt.使离婚,与...脱离
document | n.公文,文件,文档,档案,文献;v.证明
domestic | adj.家庭的,国内的,与人共处的,驯服的
dominant | adj.有统治权的,占优势的,支配的;adj.[生物]显性的
dominate | v.支配,占优势
donation | n.捐赠品,捐款,贡献
donkey | n.驴子,笨蛋,顽固者,(=donkeyengine)轻便发动机,(=donkeypump)辅助泵
dorm | n.<俗>宿舍(=dormitory)
dormitory | n.宿舍
dose | n.剂量,(一)剂,(一)服;v.(给...)服药
dot | n.点,圆点,园点;vt.在...上打点
doubtful | adj.可疑的,不确的,疑心的
downward | adj.向下的
draft | n.草稿,草案,草图;vt.起草,为...打样,设计;v.草拟
drag | v.拖,拖曳,缓慢而费力地行动;n.拖拉
dragon | n.龙,凶暴的人,严厉而有警觉性的女人
drain | n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干
drama | n.(在舞台上演的)戏剧,戏剧艺术
dramatic | adj.戏剧性的,生动的
draught | n.拖,拉,一网(鱼),气流
drawer | n.抽屉,画家,制图员,(用复数)衬裤、内裤
drift | n.冲洗,漂流物,观望,漂流;v.(使)漂流
drill | n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机;v.训练,钻孔,条播
drip | n.水滴;v.(使)滴下
drum | n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室;vi.击鼓,作鼓声;vt.打鼓奏
drunk | adj.喝醉了的;vbl.drink的过去分词
dull | adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的;vt.使迟钝,使阴暗,缓和;vi.变迟钝,减少
dumb | adj.哑的,无说话能力的,不说话的,无声音的
dump | vt.倾倒(垃圾),倾卸;n.堆存处
durable | adj.持久的,耐用的
duration | n.持续时间,为期
dusk | n.薄暮,黄昏
dye | n.染料,染色;vt.染;v.染
dynamic | adj.动力的,动力学的,动态的
eagle | n.鹰,鹰状标饰
earnest | adj.认真的,热心的,重要的n.真挚,定金,认真,热心
earthquake | n.地震,[喻]在震荡,在变动
ease | n.安逸,安心,不费力,悠闲;vt.使悠闲,使安心,减轻,放松;vi.减弱,减轻,放松,灵活地移动
echo | n.回声,回音,回波;vi.发回声,随声附和;vt.摹仿,重复,反射;[计]禁止(或允许)在屏上显示批处理命令行
economic | adj.经济(上)的,产供销的,经济学的
economical | adj.节约的,经济的
economy | n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况
edition | n.版本,版
editor | n.编辑,编辑器,编者
editorial | n.社论;adj.编辑上的,主笔的,社论的
