educate | vt.教育,训练,培养;v.教育
effective | adj.有效的,被实施的,给人深刻印象,有生力量
efficiency | n.效率,功效
efficient | adj.(直接)生效的,有效率的,能干的
effort | n.努力,成就
elaborate | adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述
elastic | adj.弹性的
elbow | n.肘
elderly | adj.过了中年的,稍老的
elect | vt.选举,推选;v.选择,作出选择,选举,选举,选举
election | n.选举,当选,选择权,[宗]上帝的选拔
electric | adj.电的,导电的,电动的,电气
electrical | adj.电的,有关电的
electricity | n.电流,电,电学
electron | n.电子
electronic | adj.电子的
elegant | adj.文雅的,端庄的,雅致的,<口>上品的,第一流的
element | n.要素,元素,成分,元件,自然环境
elementary | adj.初步的,基本的,[化]元素的,自然力的
elevator | n.电梯,升降机,[空]升降舵
eliminate | vt.排除,消除;v.除去
elsewhere | adv.在别处
embarrass | vt.使困窘,使局促不安,阻碍,麻烦
embassy | n.大使及其随员,大使的派遣,大使馆
embrace | vt.拥抱,互相拥抱,包含,收买,信奉;vi.拥抱;n.拥抱
emerge | vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来
emergency | n.紧急情况,突然事件,非常时刻,紧急事件
emit | vt.发出,放射,吐露,散发,发表,发行
emotion | n.情绪,情感,感情
emotional | adj.情绪的,情感的
emperor | n.皇帝,君主
emphasis | n.强调,重点
emphasize | vt.强调,着重;v.强调
empire | n.帝国,帝权
employee | n.职工,雇员,店员
employer | n.雇主,老板
employment | n.雇用,使用,利用,工作,职业
enable | vt.使能够,授予权利或方法
enclose | vt.放入封套,装入,围绕
encounter | v.遭遇,遇到,相遇;n.遭遇,遭遇战
encourage | vt.鼓励,怂恿;v.鼓励,鼓励
ending | n.结尾,结局
endless | adj.无止境的,无穷的
endure | v.耐久,忍耐
enforce | vt.强迫,执行,坚持,加强
engage | vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合
engine | n.发动机,机车,火车头
engineering | n.工程(学)
enhance | vt.提高,增强;v.提高
enlarge | v.扩大,放大
enormous | adj.巨大的,庞大的,<古>极恶的,凶暴的
enquire | v.询问
enquiry | n.询问
ensure | vt.保证,担保,使安全,保证得到;v.确保,确保,保证
entertain | vt.娱乐,招待,接受,怀抱;vi.款待
entertainment | n.款待,娱乐,娱乐表演
enthusiasm | n.狂热,热心,积极性,激发热情的事物
entire | adj.全部的,完整的,整个
entitle | vt.给...权利(或资格),给...题名,给...称号;v.授权,授权
entry | n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入
environment | n.环境,外界
envy | n.&vt.羡慕,嫉妒
episode | n.一段情节,[音]插曲,插话,有趣的事件
equality | n.等同性,同等,平等,相等,等式
equation | n.相等,平衡,综合体,因素,方程式,等式
equip | vt.装备,配备,训练,准备行装
equivalent | adj.相等的,相当的,同意义的;n.等价物,相等物
era | n.时代,纪元,时期,[地]代
erect | adj.直立的,竖立的,笔直的;vt.盖,使竖立,使直立,树立,建立;vi.[生理]勃起
error | n.错误,过失,误差
