essay | vt.企图,尝试;n.企图,散文,小品文,随笔,短文,评论
essential | adj.本质的,实质的,基本的,提炼的,精华的;n.本质,实质,要素,要点
establish | vt.建立,设立,安置,使定居,使人民接受,确定;v.建立
establishment | n.确立,制定,设施,公司,军事组织
estate | n.状态,不动产,时期,阶层,财产
estimate | v.估计,估价,评估;n.估计,估价,评估
evaluate | vt.评价,估计,求...的值;v.评价
eve | n.[诗]黄昏,前夕,前日
event | n.事件,事变,结果,活动,精力,竞赛
evidence | n.明显,显著,明白,迹象,根据,[物]证据,证物
evident | adj.明显的,显然的
evidently | adv.明显地,显然
evil | adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的;n.邪恶,不幸,罪恶
evolution | n.进展,发展,演变,进化
evolve | v.(使)发展,(使)进展,(使)进化
exact | adj.精确的,准确的,原样的,精密的,严格;vt.强求,急需,要求
exaggerate | v.夸大,夸张
exceed | vt.超越,胜过;vi.超过其他
exceedingly | adv.非常地,极度地
exception | n.除外,例外,反对,异议
excess | n.过度,剩于,无节制,超过,超额;adj.过度的,额外的
excessive | adj.过多的,过分的,额外
exchange | vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易
excitement | n.刺激,兴奋,激动,搔动
exclaim | v.呼喊,惊叫,大声叫
exclude | vt.拒绝接纳,把...排除在外,排斥
exclusive | adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的
excursion | n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移
execute | vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效
executive | adj.实行的,执行的,行政的;n.执行者,经理主管人员
exert | vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽
exhaust | vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的
exhibit | vt.展出,陈列;n.展览品,陈列品,展品;v.展示
existence | n.存在,实在,生活,存在物,实在物
expand | vt.使膨胀,详述,扩张;vi.张开,发展
expansion | n.扩充,开展,膨胀,扩张物,辽阔,浩瀚
expectation | n.期待,预料,指望,展望,[数]期望(值)
expense | n.费用,代价,损失,开支,费钱之物
experimental | adj.实验的,根据实验的
expert | n.专家,行家,[军](特等)射手;adj.老练的,内行的,专门的;vt.在...中当行家,当专家
explode | vt.使爆炸;vi.爆炸,爆发,破除,推翻,激发
exploit | vt.开拓,开发,开采,剥削,用以自肥;v.使用
explore | v.探险,探测,探究
explosion | n.爆发,发出,爆炸,[矿]煤气爆炸
explosive | adj.爆炸(性)的,爆发(性)的,暴露;n.爆炸物,炸药
export | vt.输出;n.出口货,输出,出口,出口商品;v.出口
expose | vt.使暴露,受到,使曝光;v.揭露
exposure | n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列
expression | n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号
extend | v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价
extension | n.延长,扩充,范围;n.扩展名;adj.[逻]外延的,客观现实的
extensive | adj.广大的,广阔的,广泛的
extent | n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令
exterior | adj.外部的,外在的,表面的,外交的,[建](适合)外用的;n.外部,表面,外型
external | adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面
extra | adj.额外的,不包括在价目内的,特大的,特佳的;adv.特别地,非常,另外;n.额外人(或物),(报纸)号外,上等品,(电影)临时演员
extraordinary | adj.非常的,特别的,非凡的,特派的
extreme | adj.尽头的,极端的,极度的,偏激的,最后的;n.极端,极端的事物
eyesight | n.视力,目力
fabric | n.织品,织物,布,结构,建筑物,构造
facility | n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具
factor | n.因素,要素,因数,代理人
faculty | n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力
fade | vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢;vt.使褪色;n.淡入,淡出;adj.乏味的,平淡的
failure | n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格
faint | n.昏晕,昏倒;adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的;vi.昏晕,昏倒,变得微弱,变得没气力
fairly | adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地
fairy | n.仙女,精灵,<美俚>漂亮姑娘;adj.仙女的
faith | n.信任,信念,宗教信仰,忠实,保证,诺言,约定
faithful | adj.守信的,忠实的,详确的,可靠的;n.信徒
