forth | adv.往前,向外
fortnight | n.两星期
fortunately | adv.幸运地
foundation | n.基础,根本,建立,创立,地基,基金,基金会
fountain | n.泉水,喷泉,源泉
fraction | n.小部分,片断,分数
fragment | n.碎片,断片,片段
frame | n.结构,体格;vt.构成,设计,制定,使适合,陷害;vi.<英方>有成功希望;n.帧,画面,框架
framework | n.构架,框架,结构
frank | adj.坦白的,率直的,老实的;vt.免费邮寄;n.免费邮寄特权
freight | n.货物,船货,运费,货运;vt.装货,使充满,运送
frequency | n.频率,周率,发生次数
frequent | adj.时常发生的,频繁的
frog | n.青蛙;vi.捕蛙
frontier | n.国境,边疆,边境
frost | n.霜,霜冻,严寒;v.结霜
frown | vi.皱眉,蹙额,不赞成,反对;v.皱眉
fruitful | adj.果实结得多的,多产的,富有成效的
frustrate | v.挫败,阻挠,使感到灰心,阻止
fry | n.油炸食物,油炸锅,鱼苗,鱼秧;v.油炸,油煎
fuel | n.燃料;vt.加燃料,供以燃料;vi.得到燃料
fulfil | vt.实践,履行,实行,结束,满足,完成,达到
fulfill | vt.履行,实现,完成(计划等)
function | n.官能,功能,作用,职责,典礼,仪式,[数]函数;vi.(器官等)活动,运行,行使职责
fund | n.资金,基金;v.支助,投资
fundamental | adj.基础的,基本的;n.基本原则,基本原理
funeral | n.葬礼,出殡
fur | n.毛皮,毛,软毛
furnace | n.炉子,熔炉
furnish | vt.供应,提供,装备,布置;v.供给
furniture | n.家具,设备,储藏物
furthermore | adv.此外,而且
fuss | n.忙乱,大惊小怪,大惊小怪的人;v.忙乱,大惊小怪
gallery | n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库
gallon | n.加仑
gang | n.(一)伙,(一)群
gaol | n.(<英>=jail)监狱,拘留所;vt.监禁
gap | n.缺口,裂口,间隙,缝隙,差距,隔阂
garbage | n.垃圾,废物
gardener | n.园丁
garlic | n.[植]大蒜,(Akkuynsadtium),蒜头
gasoline | n.汽油
gaze | v.盯,凝视;n.凝视
gear | n.齿轮,传动装置;v.调整,(使)适合,换档
gene | n.[遗传]因子,[遗传]基因
generally | adv.一般,通常,一般地
generate | vt.产生,发生
generator | n.发电机,发生器
generous | adj.慷慨的,大方的,有雅量的
genius | n.天才,天赋,天才人物
genuine | adj.真实的,真正的,诚恳的
geometry | n.几何学
germ | n.微生物,细菌
gesture | n.姿态,手势,表示;v.作手势,以手势表示
ghost | n.鬼,幽灵
giant | n.巨人,大力士,巨大的动物或植物,伟人,天才;adj.庞大的,巨大的
given | adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词
glance | vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看
glimpse | n.一瞥,一看;v.瞥见
global | adj.球形的,全球的,全世界的
globe | n.球体,地球仪,地球,世界
glorious | adj.光荣的,显赫的
glory | n.荣誉,光荣
glove | n.手套;vt.戴手套
glow | vi.发光,发热
glue | n.胶,胶水;vt.胶合,粘贴,粘合
golf | n.高尔夫球;vi.打高尔夫球
goodness | n.仁慈,善良
govern | v.统治,支配,管理
governor | n.统治者,管理者,地方长官,主管人员
