herd | n.兽群,牧群;v.把...赶在一起放牧,成群
heroic | adj.英雄的,英勇的
hesitate | v.犹豫,踌躇,不愿
highlight | n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出
highly | adv.高地,非常
highway | n.公路,大路
hint | n.暗示,提示,线索
hip | n.臀,蔷薇果,忧郁;adj.熟悉内情的;vt.使忧郁,给（屋顶）造屋脊;int.喝彩声
hire | n.租金,工钱,租用,雇用;vt.雇请,出租;vi.受雇
historic | adj.历史上著名的,有历史性的
historical | adj.历史(上)的,有关历史的
hobby | n.业余爱好
hollow | n.洞,窟窿,山谷;adj.空的,虚伪的,空腹的,凹的;adv.<口>彻底vi.形成空洞;vt.挖空,弄凹
holy | adj.神圣的,圣洁的;n.神圣的东西
honey | n.(蜂)蜜,蜂蜜
honourable | adj.可敬的,荣誉的,光荣的
hook | n.钩,吊钩;v.钩住,沉迷,上瘾
hopeful | adj.怀有希望的,有希望的
hopeless | adj.没有希望的,绝望的,不可救药
horizon | n.地平线;n.地平(线),(知识,思想等的)范围,视野
horizontal | adj.地平线的,水平的
horn | n.(牛、羊等的)角,喇叭,触角;v.装角
horrible | adj.可怕的,恐怖的,讨厌的
horror | n.惊骇,恐怖,惨事,极端厌恶
horsepower | n.马力
hostile | adj.敌对的,敌方的;n.敌对
household | n.一家人,家庭,家族,王室;adj.家庭的,家族的,家属的,普通的,平常的
housing | n.供给住宅,住宅群,机架,住房供给
humble | adj.卑下的,微贱的,谦逊的,粗陋的;vt.使...卑下,挫,贬抑
humorous | adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的
humour | n.幽默,诙谐
hunt | v.打猎,猎取,搜索,搜寻,猎获;n.打猎,猎取,搜索,搜寻,狩猎
hut | n.小屋,棚屋
hydrogen | n.氢
ideal | n.理想;adj.理想的,完美的,想象的,观念的,唯心论的
identical | adj.同一的,同样的
identify | vt.识别,鉴别,把...和...看成一样;v.确定
identity | n.同一性,身份,一致,特性,恒等式
idle | adj.空闲的,懒惰的,停顿的,无用的;vi.不做事,游手好闲,(机器)空转,虚度,不作事,游手好闲,浪费;vt.虚度,使空闲,使空转
ignorance | n.无知,不知
ignorant | adj.无知的
ignore | vt.不理睬,忽视,[律](因证据不足而)驳回诉讼
illegal | adj.违法的,不合规定的
illustrate | vt.举例说明,图解,加插图于,阐明;vi.举例
illustration | n.说明,例证,例子,图表,插图,图解
image | n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型;vt.想象,作...的像,反映,象征
imaginary | adj.假想的,想象的,虚构的
imagination | n.想象,空想,想象的事物,想象力,听觉
imitate | vt.模仿,仿效,仿制,仿造;v.模仿
immediately | adv.立即,马上,直接地
immense | adj.极广大的,无边的,<口>非常好的
immigrant | adj.(从外国)移来的,移民的,移居的;n.移民,侨民
impact | n.碰撞,冲击,冲突,影响,效果;vt.挤入,撞击,压紧,对...发生影响
impatient | adj.不耐烦的,急躁的,不耐心的
implement | n.工具,器具;vt.贯彻,实现;v.执行
implication | n.牵连,含意,暗示
imply | vt.暗示,意味
import | n.进口货(常用复数),进口,输入,意思,重要性;vt.输入,进口,含...的意思,重要,引入;vi.有关系,有重要性
impose | vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响
impress | vt.印,盖印,留下印象
impression | n.印象,感想,盖印,压痕
impressive | adj.给人深刻印象的,感人的
improve | v.改善,改进
improvement | n.改进,进步
incident | n.事件,事变;adj.附带的,易于发生的
incline | n.倾斜,斜坡,斜面;vt.使倾向于,使倾斜;vi.倾向,倾斜
include | vt.包括,包含
increasingly | adv.日益,愈加
incredible | adj.<口>难以置信的
independence | n.独立,自主
