independent | n.中立派,无党派者;adj.独立自主的,不受约束的
index | n.索引,[数学]指数,指标,(刻度盘上)指针;vt.编入索引中,指出;vi.做索引
indicate | vt.指出,显示,象征,预示,需要,简要地说明
indication | n.指出,指示,迹象,暗示
indifferent | adj.无关紧要的
indirect | adj.间接的,迂回的
indispensable | n.不可缺少之物;adj.不可缺少的,绝对必要的
individual | n.个人,个体;adj.个别的,单独的,个人的
indoor | adj.户内的,室内的
industrial | adj.工业的,产业的,实业的,从事工业的;n.工业工人,[商]工业股票
industrialize | vt.使工业化;vi.工业化
inevitable | adj.不可避免的,必然的
infant | n.婴儿,幼儿;adj.婴儿的,幼稚的
infect | vt.[医]传染,感染
infer | v.推断
inference | n.推论
inferior | adj.下等的,下级的,差的,次的,自卑的,劣等的
infinite | n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的
inflation | n.胀大,夸张,通货膨胀,(物价)暴涨
influence | n.影响,感化,势力,有影响的人(或事),(电磁)感应;vt.影响,改变
influential | adj.有影响的,有势力的
inform | v.(～of/about)通知,告诉,获悉,告知
ingredient | n.成分,因素
inhabitant | n.居民,居住者
inherit | vt.继承,遗传而得
initial | adj.最初的,词首的,初始的;n.词首大写字母
initiative | n.主动
injection | n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道
injure | vt.损害,伤害;v.伤害
injury | n.伤害,侮辱
inn | n.(尤指乡村或公路边的)旅馆,客栈;vi.住旅馆
inner | adj.内部的,里面的,内心的;n.内部
innocent | adj.(～of)清白的,无罪的,天真的,无知的
input | n.输入;v.输入
inquire | v.询问,问明,查究
inquiry | n.质询,调查
insect | n.昆虫,卑鄙的人;adj..虫的,虫子一样的,对付虫子的
insert | vt.插入,嵌入;n.插入物
insight | n.洞察力,见识
insist | v.坚持,强调
inspect | vt.检查,视察;
inspire | vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生;vi.吸入,赋予灵感
install | vt.安装,安置,使就职
installation | n.[计]安装,装置,就职
instance | n.实例,建议,要求,情况,场合;vt.举...为例,获得例证
instant | adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的
instead | adv.代替,改为,抵作,更换
instinct | n.本能
institute | n.学会,学院,协会;vt.创立,开始,制定,开始(调查),提起(诉讼)
institution | n.公共机构,协会,制度
instruct | vt.教,教导,命令,指示,通知
instruction | n.指示,用法说明(书),教育,指导,指令
instrument | n.工具,手段,器械,器具,手段
insult | n.侮辱,凌辱;vt.侮辱,凌辱
insurance | n.保险,保险单,保险业,保险费
insure | vt.给...保险;v.确保
integrate | vt.使成整体,使一体化,求...的积分;v.结合
intellectual | adj.智力的,有智力的,显示智力的;n.知识分子
intelligence | n.智力,聪明,智能
intelligent | adj.聪明的,伶俐的,有才智的,[计]智能的
intend | vt.想要,打算,意指,意谓
intense | adj.强烈的,剧烈的,热切的,热情的,激烈的
intensity | n.强烈,剧烈,强度,亮度
intensive | adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器
intention | n.意图,目的
interaction | n.交互作用,交感
interest | n.兴趣,关心,重要性,影响,利息,利益,利害;vt.使发生兴趣,引起...的注意
interfere | vi.干涉,干预,妨碍,打扰
interference | n.冲突,干涉
interior | adj.内部的,内的;n.内部
intermediate | adj.中间的;n.媒介
