agent | n.代理(商)
aggressive | adj.好斗的,敢作敢为的,有闯劲的,侵略性的
agriculture | n.农业,农艺,农学
aid | n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助
aircraft | n.航行器
airline | n.定期航线
airplane | n.飞机
airport | n.<主美>小型民用机场,私人飞机降落场
alarm | n.警报,惊慌,警告器;vt.恐吓,警告
alcohol | n.酒精,酒
alert | adj.提防的,警惕的;n.警惕,警报
alike | adj.相同的,相似的;adv.以同样的方式,类似于
alliance | n.联盟,联合
allocate | vt.分派,分配
allow | vt.允许,承认
allowance | n.津贴,补助,宽容,允许;vt.定量供应
ally | v.结盟,与...(在血统,性质等上)有关联,同盟;n.同盟国,支持者
alongside | adv.在旁;prep.横靠
alphabet | n.字母表
alter | v.改变
alternative | n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的
altitude | n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等
aluminium | n.[化]铝;adj.铝的
amateur | n.业余爱好者,业余艺术家
amaze | vt.使吃惊
ambassador | n.大使
ambition | n.野心,雄心
ambulance | n.战时流动医院,救护车
amid | prep.在...中
amongst | prep.在...中间,在...之中
amuse | vt.使发笑,使愉快
analyse | vt.分析,分解;n.分析
analysis | n.分析,分解
ancestor | n.祖先,祖宗
anchor | n.锚;v.抛锚,锚定
ancient | adj.远古的,旧的
angle | n.[数]角,角落;vi.钓鱼,追逐
ankle | n.[解]踝
anniversary | n.周年纪念
annoy | vt.使苦恼,骚扰
annual | n.一年生植物,年刊,年鉴;adj.一年一次的,每年的,一年生的
anticipate | vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料
antique | n.古物,古董;adj.古时的,过时的
anxiety | n.忧虑,焦急,渴望,热望
anxious | adj.观念的,担忧的,渴望的,盼望的
anyhow | adv.无论如何,总之
anyway | adv.无论如何,总之
apart | adv.分离,分成零件,分别地,分离着;adj.分开的
apartment | n.<美>公寓住宅,单元住宅,房间
apologize | vi.(apologise)道歉,辩白
apology | n.(为某种思想,宗教,哲学等)辩解,道歉
apparent | adj.显然的,外观上的
appeal | n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉
appearance | n.出现,露面,外貌,外观;appearv.出现,看来,似乎,公开露面,出版,发表
appetite | n.食欲,胃口,欲望,爱好
applause | n.鼓掌欢迎,欢呼
appliance | n.用具,器具
applicable | adj.可适用的,可应用的
applicant | n.申请者,请求者
application | n.请求,申请,申请表,应用,运用,施用,敷用,应用程序,应用软件
apply | vt.申请,应用;vi.申请,适用
appoint | vt.约定,指定(时间,地点),任命,委任
appointment | n.约会,指定
appreciate | vt.赏识,鉴赏,感激;vi.增值,涨价
approach | n.接近,逼近,走进,方法,步骤,途径,通路;vt.接近,动手处理;vi.靠近
appropriate | adj.适当的
approval | n.赞成,承认,正式批准
approve | vi.赞成,满意;vt.批准,通过;v.批准
approximate | adj.近似的,大约的;v.近似,接近,接近,约计
arbitrary | adj.任意的,武断的,独裁的,专断的
