major | n.<美>[教]主修课,[律]成年人,[乐]大调;vi.主修
majority | n.多数,大半;n.[律]成年
male | adj.男的,雄的,男性
management | n.经营,管理,处理,操纵,驾驶,手段
mankind | n.人类,男性,男子
manner | n.礼貌,风格,方式,样式,习惯
manual | n.手册,指南;adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的
manufacture | vt.制造,加工;n.制造,制造业,产品
manufacturer | n.制造业者,厂商
margin | n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余;vt.加边于,加旁注于
marine | n.舰队,水兵,海运业;adj.海的,海产的,航海的,船舶的,海运的
market | n.市场,销路,行情;vt.在市场上交易,使上市;vi.在市场上买卖
marriage | n.结婚,婚姻,婚姻生活,密切结合,合并
married | adj.已婚的,婚姻的
marry | vt.娶,嫁,和...结婚
marvelous | adj.引起惊异的,不可思议的,非凡的
Marxist | adj.马克思主义的;n.马克思主义者
mask | n.面具,掩饰,石膏面像;vt.戴面具,掩饰,使模糊;vi.化装,戴面具,掩饰,参加化装舞会
mass | n.块,大多数,质量,群众,大量;adj.群众的,大规模的,集中的;vt.使集合;vi.聚集
massive | adj.厚重的,大块的,魁伟的,结实的
mat | n.席子,垫子;v.铺席子
mate | n.配偶,对手,助手;vt.使配对,使一致,结伴;vi.成配偶,紧密配合
material | n.材料,原料,物资,素材,布料;adj.物质的,肉体的,具体的,重要的,实质性的
mathematical | adj.数学的,精确的
mathematics | n.数学;
mature | adj.成熟的,到期的,充分考虑的,(票据等)到期的;vt.使成熟;vi.成熟,到期
maximum | n.最大量,最大限度,极大;adj.最高的,最多的,最大极限的
mayor | n.市长
meaning | n.意义,含意,意图,[逻]内涵;adj.意味深长的
means | n.手段,方法;v.意味,想要
meantime | n.其间,其时;adv.其间
meanwhile | (=meantime)n.其间,其时;adv.其间
measure | n.尺寸,量度器,量度标准,方法,测量,措施;vt.测量,测度,估量,分派,权衡,调节;vi.量
measurement | n.测量法,度量,(量得的)尺寸,度量单位制
mechanic | n.技工,机修工,机械士
mechanical | adj.机械的,机械制的,机械似的,呆板的
mechanism | n.机械装置,机构,机制
medal | n.奖章,勋章,纪念章;v.授予...奖章
media | n.媒体
medium | n.媒体,方法,媒介;adj.中间的,中等的,半生熟的
melt | v.(使)融化,(使)熔化,使软化,使感动
membership | n.成员资格,成员人数
memorial | n.纪念物,纪念馆,纪念议事,请愿书;adj.记念的,记忆的
mental | adj.精神的,智力的
mention | vt.提及,说起;n.提及,说起;v.论及,提及
menu | n.菜单
merchant | n.商人,批发商,贸易商,店主;adj.商业的,商人的
mercy | n.仁慈,宽恕,怜悯
mere | adj.仅仅的,起码的,纯粹的
merely | adv.仅仅,只,不过
merit | n.优点,价值;v.有益于
merry | adj.欢乐的,愉快的
mess | n.混乱,脏乱;v.弄乱
metric | adj.米制的,公制的
microphone | n.扩音器,麦克风
microscope | n.显微镜
mild | adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的
military | adj.军事的,军用的
mill | n.压榨机,磨坊,磨粉机,工厂,制造厂;vt.碾磨,磨细,搅拌,使乱转,打;vi.乱转,被碾磨
millimetre | n.毫米
mineral | n.矿物,矿石
minimum | adj.最小的,最低的;n.最小值,最小化
minister | n.部长,大臣
ministry | n.(政府的)部门
minor | n.未成年人,副修科目;adj.较小的,次要的,二流的,未成年的;vi.辅修;n.[乐]小调,小音阶
minority | n.少数,少数民族
minus | adj.负的,减的;prep.减去;n.负数
miracle | n.奇迹,奇事
miserable | adj.痛苦的,悲惨的,可怜
mislead | vt.误导
