overcome | vt.战胜,克服,胜过,征服;vi.得胜
overhead | adj.在头上的,高架的;n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处
overlook | vt.俯瞰,耸出,远眺,没注意到;n.眺望,俯瞰中的景色
overnight | n.头天晚上;adj.通宵的,晚上的,前夜的;adv.在前一夜,整夜,昨晚一晚上
overseas | adv.海外;adj.外国的,海外的
overtake | vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒
owe | vt.欠(债等),受到...的思想,感激,把...归功于;v.欠,应感激,应该把…归功于(to);vi.欠钱
owing | adj.(～to)由于,该付的,未付的,应归功于
owner | n.所有者,业主
ownership | n.所有权,物主身份
oxygen | n.[化]氧
pace | n.(一)步,速度,步调,步法,步态;vi.踱步,缓慢的走;vt.用步测,踱步于,(马)溜花蹄
pack | n.包裹,<贬>一群,一副,背包,包装;vt.包装,捆扎,塞满,压紧,挑选;vi.包装货物,挤,群集,被包装;背包
package | n.包裹,包;
packet | n.小包裹,小捆;v.包装;信息包
pad | n.垫,衬垫,便笺簿;v.加上衬垫
painful | adj.疼痛的,使痛苦的
painter | n.画家,油漆匠
palm | n.手掌,棕榈,(象征胜利的)棕榈叶;vt.与...握手,藏...于掌中,蒙混
panel | n.面板,嵌板,仪表板,座谈小组,全体陪审员;vt.嵌镶板
panic | n.惊慌,恐慌,没有理由的
pants | n.裤子,短裤
parade | n.游行,炫耀,阅兵,检阅,阅兵场;v.游行,炫耀,夸耀,(使)列队行进
paragraph | n.(文章)段,节,段落
parallel | adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行
parcel | n.小包,包裹;vt.打包,捆扎
parliament | n.国会,议会
partial | adj.部分的,局部的,偏袒的,偏爱的;n.泛音
participate | vi.参与,参加,分享,分担
particle | n.粒子,点,极小量,微粒,质点,小品词,语气
particularly | adv.独特地,显著地
partner | n.合伙人,股东,舞伴,伴侣;vt.与...合伙,组成一对;vi.做伙伴,当助手
passion | n.激情,热情
passive | adj.被动的
passport | n.护照
paste | n.糊,面团,黏土团;vt.用浆糊粘,张贴;n.粘贴
pat | n.轻拍,(黄油)小块;v.轻拍;adv.适时,正好,恰好;adj.恰好的,合适的,人为的
patch | n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息
patience | n.耐性,忍耐
patient | n.病人,患者;adj.忍耐的,耐心的
pattern | n.模范,式样,模式,样品,格调,图案;vt.模仿,仿造,以图案装饰;vi.形成图案
paw | n.手掌,手爪;v.以蹄扒地,抓,笨拙地使用,费力地前进,(人)用手笨拙地摸;abbr.[军]Plasma-ArcWelding,等离子弧焊
payment | n.付款,支付,报酬,偿还,报应,惩罚
pea | n.豌豆
peak | n.山顶,顶点,帽舌,(记录的)最高峰;adj.最高的;vi.到达最高点,消瘦,缩小;vt.使竖起,使达到最高点
peculiar | adj.奇特的,罕见的,特殊的;n.特有财产,特权
peer | n.同等的人,贵族;vi.凝视,窥视;vt.与...同等,封为贵族
penalty | n.处罚,罚款
penetrate | vt.穿透,渗透,看穿,洞察;vi.刺入,看穿,渗透,弥漫
pension | n.养老金,退休金
pepper | n.胡椒粉
per | prep.每,每一,由,经
perceive | vt.察觉;v.感知,感到,认识到
percentage | n.百分数,百分率,百分比
perception | n.理解;感知,感觉;DPS公司出的数字影像压缩卡
perform | vt.履行,执行,表演,演出;v.完成任务
performance | n.履行,执行,成绩,性能,表演,演奏
permanent | adj.永久的,持久的
permission | n.许可,允许
persist | vi.坚持,持续
personality | n.个性,人格,人物,名人,(用复数)诽谤、人身攻击
personnel | n.人员,职员
perspective | n.透视画法,透视图,远景,前途,观点,看法,观点,观察
pessimistic | adj.悲观的,厌世的
petrol | n.<英>汽油（=<美>gasoline）
petroleum | n.石油
phase | n.阶段,状态,相,相位;v.定相
phenomenon | n.现象
philosopher | n.哲学家,哲人
philosophy | n.哲学,哲学体系,达观,冷静
