physical | adj.身体的,物质的,自然的,物理的;n.体格检查
physician | n.医师,内科医师
physicist | n.物理学者,唯物论者
pierce | vt.刺穿,刺破,穿透,突破,深深感动
pigeon | n.鸽子
pill | n.药丸,口服避孕药,弹丸
pillar | n.[建]柱子,栋梁,重要的支持者
pillow | n.枕头,枕垫
pilot | n.飞行员,领航员,引水员;vt.驾驶(飞机等),领航,引水;v.驾驶
pinch | n.捏,撮,收缩,紧急关头,匮乏,压力;vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷;vi.收缩,节省
pine | n.松树,树木;v.消瘦,憔悴,渴望,渴慕
pint | n.品脱
pit | n.深坑,深渊,陷阱,(物体或人体表面)凹陷,(英国剧场的)正厅后排,正厅后排观众;vt.窖藏,使凹下,去...之核,使留疤痕,使竞争;vi.起凹点,凹陷
pitch | n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青;vt.投,掷,向前倾跌,定位于,用沥青涂,扎营;vi.搭帐篷,投掷,坠落,倾斜
planet | n.[天]行星
plantation | n.耕地,种植园,大农场,森林,人造林,殖民
plastic | n.塑胶,可塑体,塑料制品,整形;adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的
platform | n.(车站)月台,讲台,讲坛;平台
pledge | n.保证,誓言,抵押,抵押品;vt.保证,使发誓,抵押,典当,举杯祝...健康
plentiful | adj.许多的,大量的,丰富的,丰饶的
plot | n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构;vt.划分,绘图,密谋;vi.密谋,策划
plug | vt.堵,塞,插上,插栓;n.塞子,插头,插销
plunge | n.跳进,投入;vi.投入,跳进,陷入;vt.使投入,使插入,使陷入
plural | adj.复数的
plus | prep.加上;adj.正的,加的
poem | n.诗,象诗一样,美丽的东西
poet | n.诗人
poetry | n.诗,作诗法,诗意,诗情
poison | n.毒药,败坏道德之事,毒害;vt.毒害,败坏,使中毒;vi.放毒,下毒
poisonous | adj.有毒的
pole | n.棒,柱,杆,竿,极,磁极,电极;vt.用竿支撑,用棒推;vi.撑篙
policy | n.政策,方针
polish | n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人
politician | n.政治家,政客
politics | n.政治,政治学,政纲,政见
poll | n.选举之投票,民意测验;v.投票,获得选票,选举中获得
pollute | vt.弄脏,污染
pollution | n.污染,玷污
pond | n.池塘;v.筑成池塘
portable | adj.轻便的,手提(式)的,便携式的
porter | n.守门人,门房,行李搬运工
portion | n.一部分,一分
portrait | n.肖像,人像
pose | n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作
positive | adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的
possess | vt.占有,拥有,持有,摆布,支配
possession | n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制
possibility | n.可能性,可能发生的事物
postage | n.邮资
postpone | vt.推迟,使延期,延迟
potential | adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压
pour | v.灌注,倾泻,涌入,流,倾盆大雨
poverty | n.贫穷,贫困,贫乏,缺少
powder | n.粉,粉末,火药,尘土;vt.搽粉于,撒粉,使成粉末;vi.搽粉,变成粉末
powerful | adj.强大的,有力的
practically | adv.实际上,事实上,在实践上;adv.几乎,简直
pray | v.祈祷,恳求,请
prayer | n.祈祷
precaution | n.预防,警惕,防范
preceding | adj.在前的,前述的
precious | adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的
precise | adj.精确的,准确的;n.精确
precision | n.精确,精密度,精度
predict | v.预知,预言,预报
preface | n.序文,绪言,前言;vi.作序,写前言;vt.为...写序言,开始
preferable | adj.更可取的,更好的,更优越的
preference | n.偏爱,优先选择
pregnant | adj.怀孕的,重要的,富有意义的,孕育的
prejudice | n.偏见,成见,损害,侵害;v.损害
preliminary | adj.预备的,初步的
