preparation | n.准备,预备
preposition | n.前置词
prescribe | v.指示,规定,处(方),开(药)
presence | n.出席,到场,存在
presentation | n.介绍,陈述,赠送,表达
presently | adv.目前,不久
preserve | vt.保护,保持,保存,保藏;vi.做蜜饯,禁猎;n.蜜饯,果酱,禁猎地,禁区,防护物
pressure | n.压,压力,电压,压迫,强制,紧迫
presumably | adv.推测起来,大概
pretend | vt.假装,装扮,(作为藉口或理由)伪称
prevail | vi.流行,盛行,获胜,成功
previous | adj.在前的,早先的;adv.在...以前;返回上一级菜单
priest | n.牧师
primarily | adv.首先,起初,主要地,根本上
primary | adj.第一位的,主要的,初步的,初级的,原来的,根源的
prime | n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装
primitive | adj.原始的,远古的,粗糙的,简单的
principal | n.负责人,首长,校长,主犯,本金;adj.主要的,首要的
principle | n.法则,原则,原理
prior | adj.优先的,在前的;n.预先;adv.在
priority | n.先,前,优先,优先权
private | adj.私人的,私有的,私营的,秘密的;n.士兵
privilege | n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免
probable | adj.很可能的,大概的
procedure | n.程序,手续
proceed | vi.进行,继续下去,发生
process | n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理
procession | n.行列,队伍
product | n.产品,产物,乘积
profession | n.职业,专业,表白,宣布
professional | n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的
profile | n.剖面,侧面,外形,轮廓
profit | n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于
progressive | n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的
prohibit | vt.禁止,阻止
project | n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出
prominent | adj.卓越的,显著的,突出的
promote | vt.促进,发扬,提升,提拔,晋升为
prompt | n.提示,付款期限;vt.提示,鼓动,促使,(给演员)提白;adj.敏捷的,迅速的,即时的;adv.准时地;n.DOS命令:改变DOS系统提示符的风格
pronoun | n.代名词
proof | n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的
property | n.财产,所有物,所有权,性质,特性,(小)道具
proportion | n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊
proportional | adj.比例的,成比例的,相称的,均衡的
proposal | n.提议,建议
propose | vt.计划,建议,向...提议,求(婚);vi.打算,求婚
prospect | n.景色,前景,前途,期望;vi.寻找,勘探
prosperity | n.繁荣
prosperous | adj.繁荣的
protection | n.保护
protective | adj.给予保护的,保护的
protein | n.[生化]蛋白质;adj.蛋白质的
protest | n.主张,断言,抗议;v.主张,断言抗议,拒付
prove | vt.证明,证实,检验,考验;vi.原来(是),证明(是)
provide | v.供应,供给,准备,预防,规定
provided | conj.倘若
province | n.省(一个国家的大行政区)
provision | n.供应,(一批)供应品,预备,防备,规定
provoke | vt.激怒,挑拨,煽动,惹起,驱使
psychological | adj.心理(上)的
publication | n.出版物,出版,发行,公布,发表
publicity | n.公开
publish | v.出版,刊印;vt.公布,发表
pulse | n.脉搏,脉冲
pump | n.泵,抽水机;vt.(用泵)抽(水),抽吸
punch | n.冲压机,冲床,打孔机;vt.冲孔,打孔
punctual | adj.严守时刻的,准时的
purchase | vt.买,购买;n.买,购买
purple | adj.紫色的;n.紫色
purse | n.钱包
pursue | vt.追赶,追踪,追击,继续,从事
puzzle | n.难题,谜;v.(使)迷惑,(使)为难,迷惑不解
qualification | n.资格,条件,限制,限定,赋予资格
qualify | v.(使)具有资格,证明合格,限制修饰;vt.限制,限定
queue | n.行列,长队,队列;vi.排队,排队等待
quit | vi.离开,辞职,停止;vt.离开,放弃,解除,停止
quiz | n.测验,提问,恶作剧;v.对...进行测验,盘问,挖苦
quotation | n.引用语,价格,报价单,行情表
quote | vt.引用,引证,提供,提出,报(价)
