racial | adj.人种的,种族的,种族间的
rack | n.架,行李架,拷问台,小步跑,烧酒,破坏;vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取;vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑
radar | n.雷达,电波探测器
radiation | n.发散,发光,发热,辐射,放射,放射线,放射物
radical | adj.根本的,基本的,激进的;n.激进分子
rag | n.抹布,碎屑,石板瓦,破旧衣服,少量;vt.揶揄,戏弄,欺负;vi.喧闹
rage | n.愤怒,情绪激动,狂暴,精神错乱;vi.大怒,狂吹,风行
raid | n.袭击,搜捕;v.奇袭,搜捕
rail | n.横杆,围栏,扶手,铁轨;vt.以横木围栏,铺铁轨;vi.责骂,抱怨
railroad | n.铁路;vt.<美>由铁道运输
railway | n.[英]铁道,铁路
rainbow | n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西;adj.五彩缤纷的
rally | v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结;n.集会
range | n.山脉,行列,范围,射程;vt.排列,归类于,使并列,放牧;vi.平行,延伸,漫游
rank | n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩
rare | adj.稀罕的,杰出的,珍贵的,(肉类)半熟的;adv.非常
rarely | adv.很少地,罕有地
rat | n.老鼠
rate | n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂
ratio | n.比,比率,[财政]复本位制中金银的法定比价
rational | adj.理性的,合理的,推理的;n.[数]有理数
raw | n.生肉,擦伤处,身上的痛处;adj.未加工的,生疏的,处于自然状态的,不掺水的,擦掉皮的,阴冷的,刺痛的;vt.擦伤
react | vi.起反应,起作用,反抗,起反作用
reaction | n.反应,反作用,反动(力)
readily | adv.乐意地,欣然,容易地
realistic | adj.现实(主义)的
reality | n.真实,事实,本体,逼真
realm | n.领域
rear | n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起
reasonable | adj.合理的,有道理的,通情达理的,讲道理的
rebel | n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱
recall | vt.回忆,回想,记起,取消;n.召回
receipt | n.收条,收据,收到;v.收到
receiver | n.接受者,接收器,收信机
recently | adv.最近
reception | n.接待,招待会,接收
recession | n.撤回,退回,退后,工商业之衰退,不景气
reckon | vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想
recognition | n.赞誉,承认,重视,公认,赏识,识别
recognize | vt.认可,承认,公认,赏识;vi.具结
recommend | vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取
recommendation | n.推荐,介绍(信),劝告,建议
recorder | n.记录员,录音[像]机;n.[计]宏录制器,记录器
recover | vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件
recovery | n.恢复,痊愈,防御
recreation | n.消遣,娱乐
recruit | n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原
reduction | n.减少,缩影,变形,缩减量,约简
reference | n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)
refine | vt.精炼,精制,使文雅高尚
reflect | v.反射,反映,表现,反省,细想
reflection | n.反射,映象,倒影,反省,沉思,反映
reflexion | n.<主英>（=reflection）反射,反射光
reform | n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组
refresh | v.(使)精神振作,(使)精力恢复,更新
refrigerator | n.电冰箱,冷藏库
refugee | n.难民,流亡者
refusal | n.拒绝,推却,优先取舍权,优先取舍的机会
regarding | prep.关于
regardless | adj.不管,不顾,不注意
region | n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层
register | n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号
regulate | vt.管制,控制,调节,校准
regulation | n.规则,规章,调节,校准
reinforce | vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物
reject | n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃
relate | vt.叙述,讲,使联系,发生关系
relationship | n.关系,关联
relative | n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的
relativity | n.相对性,相关性,[物]相对论
relax | vi.放松,休息,休养,变从容;vt.使松驰,缓和,使松懈,使休息
release | n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布
relevant | adj.有关的,相应的
reliable | adj.可靠的,可信赖的
relief | n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌
relieve | vt.减轻,解除,援救,救济,换班
religion | n.宗教,信仰
religious | adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士
reluctant | adj.不顾的,勉强的,难得到的,难处理的
rely | v.依赖,依靠,信赖,信任,依赖于
remain | vi.保持,逗留,剩余,残存
remark | n.备注,评论,注意,注释;vt.评论,注意,谈及;vi.谈论
remarkable | adj.不平常的,非凡的,值得注意的,显著的
