remedy | n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补
remind | vt.提醒,使想起
remote | adj.遥远的,偏僻的,细微的
removal | n.移动,免职,切除
render | vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底
renew | vt.使更新,使恢复,重申,补充,续借,复兴;vi.更新,重新开始
rent | v.租,租借,出租;n.租金
repeatedly | adv.重复地,再三地
repetition | n.重复,循环,复制品,副本
replace | vt.取代,替换,代替,把...放回原处
replacement | n.归还,复位,交换,代替者,补充兵员,置换,移位
reporter | n.记者,通讯员
represent | vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议
representative | n.代表;adj.典型的,有代表性的
reproduce | v.繁殖,再生,复制,使...在脑海中重现
republican | adj.共和国的,共和政体的,共和主义的,有关共和的;n.共和党人
reputation | n.名誉,名声
require | vt.需要,要求,命令
requirement | n.需求,要求,必要条件,需要的东西,要求必备的条件
rescue | vt.援救,营救;n.援救,营救
resemble | vt.象,类似
reservation | n.保留,(旅馆房间等)预定,预约
reserve | n.储备(物),储藏量,预备队;vt.储备,保存,保留,预定,预约
reservior | n.贮水池,贮藏处,贮备
residence | n.居住,住处
resident | n.居民;adj.居住的,常驻的
resign | n.辞去(职务);v.辞去,辞职
resist | vt.抵抗,反抗,抗,忍得住
resistance | n.反抗,抵抗,抵抗力,阻力,电阻,阻抗
resistant | adj.抵抗的,有抵抗力的
resolution | n.坚定,决心,决定,决议
resolve | n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决
resort | vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地
resource | n.资源,财力,办法,智谋
respect | n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意;vt.尊敬,尊重,不防碍
respective | adj.分别的,各自的
respectively | adv.分别地,各个地
respond | v.回答,响应,作出反应;vi.有反应
response | n.回答,响应,反应
responsibility | n.责任,职责
responsible | adj.有责任的,可靠的,可依赖的,负责的
restless | adj.得不到休息的,不平静的,不安宁的
restore | vt.恢复,使回复,归还,交还,修复,重建
restrain | vt.抑制,制止
restraint | n.抑制,制止,克制
restrict | vt.限制,约束,限定
result | n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致
resume | n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复
retain | vt.保持,保留
retire | vi.退休,引退,退却,撤退,就寝
retreat | vi.撤退,退却;n.撤退,退却
reveal | vt.展现,显示,揭示,暴露
revenue | n.收入,国家的收入,税收
reverse | n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转
revise | vt.修订,校订,修正,修改
revolt | v.反抗,起义,反叛,反感,厌恶
revolutionary | adj.革命的
reward | n.报酬,奖金;vt.酬劳,奖赏
rhythm | n.节奏,韵律
rib | n.肋骨
ribbon | n.缎带,丝带,带,带状物,带子
rid | vt.使摆脱,使去掉
ridge | n.背脊,山脊,屋脊,山脉,犁垄;v.起皱,成脊状延伸,翻土作垄
ridiculous | adj.荒谬的,可笑的
rifle | n.来复枪,步枪,来复线,膛线;vt.用步枪射击,抢夺;vi.掠夺
rigid | adj.刚硬的,刚性的,严格的
riot | n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动;v.骚乱,放纵,挥霍,参加骚动
ripe | adj.熟的,成熟的,时机成熟的;v.成熟
risk | vt.冒...的危险;n.冒险,风险
rival | n.竞争者,对手;v.竞争,对抗,相匹敌
roar | n.吼叫,怒号;vi.吼叫,怒号;v.滚动,咆哮
roast | v.烤,烘,烘烤,暴露于某种热力下以得温暖
rob | v.抢夺,抢掠,剥夺
rocket | n.火箭;v.飞速上升
rod | n.杆,棒
roller | n.滚筒,辊子
romantic | adj.传奇式的,浪漫的,空想的,夸大的
