architect | n.建筑师
architecture | n.建筑,建筑学,体系机构
argue | vi.争论,辩论;vt.说服
argument | n.争论,辩论,论据,论点,～(for,against),意见
arise | vi.出现,发生,起因于
arithmetic | n.算术,算法
arouse | vt.唤醒,唤起,鼓励,引起;vi.睡醒
arrange | v.安排,排列,协商
arrangement | n.排列,安排
arrest | vt.逮捕,拘留,吸引;n.逮捕,拘留
arrival | n.到来,到达,到达者
arrow | n.箭,箭头记号
artificial | adj.人造的,假的,非原产地的
artistic | adj.艺术的,有美感的,风雅的
ash | n.灰,灰烬,[植]岑树
ashamed | adj.惭愧的,羞耻的
aside | adv.在旁边,到旁边
aspect | n.样子,外表,面貌,(问题等的)方面
assemble | vt.集合,聚集,装配;vi.集合
assembly | n.集合,装配,集会,集结,汇编
assess | vt.估定,评定
asset | n.资产,有用的东西
assign | vt.分配,指派;v.赋值;[计]将驱动器符重定向至第二个驱动器符
assignment | n.分配,委派,任务,(课外)作业
assist | v.援助,帮助
assistance | n.协助,援助,补助,<英>国家补助
assistant | n.助手,助教;adj.辅助的,助理的
associate | vt.使发生联系,使联合;vi.交往,结交;n.合作人,同事;adj.副的
association | n.协会,联合,结交,联想
assume | vt.假定,设想,采取,呈现
assumption | n.假定,设想,担任,承当,假装,作态
assure | vt.断然地说,确告,保证,担保
astonish | vt.使惊讶
athlete | n.运动员,运动选手
atmosphere | n.大气,空气,气氛
atomic | adj.原子的,原子能的,微粒子的
attach | vt.缚上,系上,贴上;v.配属,隶属于
attack | n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭;vt.攻击,抨击,动手处理(某事);vi.攻击
attain | vt.达到,获得;v.达到
attempt | n.努力,尝试,企图;vt.尝试,企图
attitude | n.姿势,态度,看法,意见
attorney | n.<美>律师,(业务或法律事务上的)代理人
attract | vt.吸引;vi.有吸引力,引起注意
attraction | n.吸引,吸引力,吸引人的事物
attractive | adj.吸引人的,有魅力的
attribute | n.属性,品质,特征,加于,归结于
audience | n.听众,观众,接见,拜见
audio | adj.音频的,声频的,声音的
author | n.作家,创造者
authority | \n.权威,威信,权威人士,权力,职权,典据,著作权威
auto | n.<美口>汽车
automatic | n.自动机械;adj.自动的,无意识的,机械的
automobile | n.<主美>汽车(=<英>motorcar,car)
auxiliary | adj.辅助的,补助的
available | adj.可用到的,可利用的,有用的,有空的,接受探访的
avenue | n.林荫道,大街,方法,途径,路
average | n.平均,平均水平,平均数,海损;adj.一般的,通常的,平均的;vt.平均为,均分,使平衡,达到平均水平;vi.买进,卖出
avoid | vt.避免,消除
await | vt.等候
award | n.奖,奖品;vt.授予,判给
aware | adj.知道的,明白的,意识到的
awful | adj.可怕的,威严的,<口>极度的,糟糕的
awkward | adj.难使用的,笨拙的
ax | n.斧头;vt.削减
