settlement | n.沉降,解决,结算,殖民,殖民地
severe | adj.严厉的,严格的,剧烈的,严重的,严峻的
sew | v.缝制,缝纫,缝合
sexual | adj.性的,性别的,[生]有性的
shallow | adj.浅的,浅薄的
shave | v.剃,刮,削刮;vt.刨,削;n.刮脸
shed | vt.流出,发散,散发,脱落,脱皮,摆脱;n.分水岭,棚,小屋,工棚,货棚;v.把...放入棚内,流下
sheer | adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航
shell | n.贝壳,壳,外形,炮弹;vt.去壳,脱落,炮轰;vi.剥落,脱壳;[计]设定命令行解释器的位置
shelter | n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体;v.掩蔽,躲避
shield | n.防护物,护罩,盾,盾状物;vt.(from)保护,防护;v.遮蔽
shift | n.移动,轮班,移位,变化,办法,手段;vt.替换,转移,改变,移转,推卸,变速;vi.转换,移动,转变,推托,变速
shiver | v.颤抖,打碎,碎裂;n.(无法控制的)颤抖,碎片
shortage | n.不足,缺乏
shortcoming | n.缺点,短处
shortly | adv.立刻,不久,简略地,简言之,即刻
shrink | v.收缩,(使)皱缩,缩短
shrug | n.耸肩;v.耸肩
sideways | adv.向一旁,向侧面地,斜地里;adj.一旁的,向侧面的
sigh | n.叹息,叹息声;vi.叹息,叹气
sightseeing | n.观光
signal | n.信号;adj.信号的;v.发信号,用信号通知
signature | n.签名,署名,信号
significance | n.意义,重要性
significant | adj.有意义的,重大的,重要的
similar | adj.相似的,类似的
similarly | adv.同样地,类似于
simplicity | n.简单,简易,朴素,直率
simplify | vt.单一化,简单化
sin | n.[俗]违背习俗,不合情理之事,过失,罪过,[数学]正弦函数
sincere | adj.诚挚的,真实的,真诚的
single | adj.单一的,单身的,单纯的,孤独的,专一的,个别的;n.一个,单打,单精度型;vt.选出;vi.[棒]作一垒打
singular | n.单数;adj.单一的,非凡的,异常的,持异议的
site | n.地点,场所,遗址;vt.定...的地点;n.站点
sketch | n.略图,草图,概略,梗概,草图,拟定;vi.绘略图,素描;v.勾画
skilled | adj.熟练的
skillful | adj.灵巧的,熟练的,制作精巧的
skim | v.撇去
slam | v.砰地关上,砰地放下,猛力抨击,冲击;n.砰,猛击,撞击,冲击
slap | vt.拍,掌击,拍击;n.拍,掌击,拍击
sleeve | n.袖子
slender | adj.苗条的,微薄的,微弱的
slice | n.薄片,切片,一份,部分,片段;v.切(片)
slide | v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片
slight | adj.轻微的,微小的
slim | adj.苗条的,纤细的,不足取的,无价值的,细长的;v.变细,减肥
slip | n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行接口协议
slippery | adj.滑的,光滑的
slope | n.斜坡,斜面,倾斜;v.(使)顺斜
smash | v.打碎,粉碎;n.打碎,粉碎;adj.出色的
snap | v.猛地吸住,突然折断,使劈啪地晌,猛咬;n.猛咬,突然折断,劈啪声;adj.突然的
soak | adj.所谓的,号称的
soar | v.浸,泡,浸透;n.浸透
so-called | v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度
social | adj.社会的,爱交际的,社交的,群居的
socialism | n.社会主义,社会主义运动
socialist | n.社会主义者,社会党党员
soda | n.苏打,碳酸水
software | n.软件
solar | adj.太阳的,日光的
sole | adj.单独的,唯一的;n.脚底,鞋底,基础;v.换鞋底
solemn | adj.庄严的,隆重的,严肃的
solution | n.解答,解决办法,溶解,溶液,解决方案
solve | vt.解决,解答
somehow | adv.不知何故
somewhat | adv.稍微,有点,有些
sophisticated | adj.诡辩的,久经世故的
sore | adj.疼痛的,痛心的,剧烈的;n.痛的地方,痛处
sorrow | n.悲哀,悲痛
sour | adj.酸的,发酵的,酸腐的,酸味的
source | n.来源,水源,消息来源,原始资料,发起者,源,源极
sow | n.大母猪;vt.播种,散布,使密布;vi.播种
spacecraft | n.太空船
spade | n.铲,铁锹;v.铲
span | n.跨度,跨距,范围;v.横越
spark | n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电;vi.闪烁,发火花,求婚;vt.发动,鼓舞,使有朝气,求婚
specialist | n.专门医师,专家
specialize | vi.专攻,专门研究,使适应特殊目的,使专用于
