subtract | v.(～from)减去,减
suburb | n.市郊,郊区
subway | n.地道,<美>地铁
succession | n.连续,继承,继任,演替,[农业]轮栽,连续性
successive | adj.继承的,连续的
suck | v.吸,吮,吸取
suffer | vt.遭受,经历,忍受;vi.受痛苦,受损害
sufficient | adj.充分的,足够的
suggestion | n.提议,意见,暗示,微量
suicide | n.自杀,自毁,给自己带来伤害或损失的行为
sum | n.总数,和,金额,算术题
summarize | v.概述,总结,摘要而言
summary | n.摘要,概要
summit | n.顶点,最高阶层;adj.政府首脑的;vi.参加最高级会议的
sunlight | n.日光,阳光,日照
sunrise | n.日出
sunset | n.日落,晚年
sunshine | n.阳光
superb | adj.庄重的,堂堂的,华丽的,极好的
superficial | adj.表面的,肤浅的,浅薄的
superior | n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的
supplement | n.补遗,补充,附录,增刊;v.补充
supply | n.补给,供给,供应品;vt.补给,供给,提供,补充,代理;vi.替代他人职务
support | vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受;n.支撑,支持,支援,维持,赡养,支持者,支柱
suppose | vt.推想,假设,猜想;vi.料想;conj.假使...结果会怎样
supreme | adj.极度的,极大的,至高的,最高的
surgery | n.外科,外科学,手术室,诊疗室
surplus | n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉
surrender | vt.交出,放弃,使投降,听任;vi.投降,自首;n.交出,放弃,投降;投降算了
surround | vt.包围,环境;v.围绕
surrounding | n.围绕物,环境;adj.周围的
survey | n.测量,调查,俯瞰,概观,纵览,视察;vt.调查(收入,民意等)测量,勘定,审视,视察,俯瞰,通盘考虑;vi.测量土地
survival | n.生存,幸存,残存,幸存者,残存物
survive | v.幸免于,幸存,生还
suspect | n.嫌疑犯;adj.令人怀疑的,不可信的,可疑的;v.怀疑,猜想,对...有所觉察
suspend | vt.吊,悬挂;v.延缓
suspicion | n.猜疑,怀疑
sustain | vt.支撑,撑住,维持,持续
swallow | n.[鸟]燕子,吞咽,喉;vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽;vi.吞下,咽下
sway | v.摇摆,摇动
swear | vi.诅咒;v.宣誓,发誓
swell | v.(使)膨胀,增大
swift | n.[鸟]雨燕,(梳棉机等的)大滚筒;adj.迅速的,快的,敏捷的,立刻的;adv.迅速地,敏捷地
swing | v.摇摆,摆动,回转,旋转;n.秋千,摇摆,摆动
switch | n.开关,电闸,转换;vt.转换,转变
sword | n.剑
symbol | n.符号,记号,象征
sympathetic | adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人
sympathize | vi.同情,共鸣,同感,同意,吊唁
sympathy | n.同情,同情心
symptom | n.[医][植]症状,征兆
