terror | n.恐怖,可怕的人,恐怖时期,恐怖行动
textile | n.纺织品;adj.纺织的
theme | n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐]主题,主题曲,主旋律
theoretical | 理论的
theory | n.理论,学说,...论,原理,意见,推测
therapy | n.治疗
thereby | adv.因此,从而,在那方面,在那附近
therefore | adv.因此,所以
thermometer | n.温度计,体温计
thick | adj.厚的,粗的,稠的,浓的;n.最拥挤部份,活动最多部份,事物的粗大浓密部份
thinking | n.思想
thirsty | adj.口渴的,渴望的,热望的
thorough | adj.十分的,彻底的
thoughtful | adj.深思的,有思想性的,体贴的,关切的
threat | n.恐吓,凶兆,威胁
threaten | vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临
thrive | v.兴旺,繁荣,茁壮成长,旺盛
throat | n.咽喉,喉咙,嗓音,窄路,口子;vt.用喉音说,开沟于
thrust | n.插,戳,刺,推力,猛推,口头攻击;vt.力推,冲,插入,挤进,刺,戳,强加,延伸;vi.插入,刺,戳,延伸,强行推进
thumb | n.拇指;vt.以拇指拨弄,笨拙处理,弄坏,翻阅,作搭车手势;vi.用拇指翻书页
thunder | n.雷,雷声,轰隆声;vi.打雷,雷鸣
tide | n.潮,潮汐,潮流,趋势
tidy | n.椅子的背罩,装杂碎的容器;adj.整齐的,整洁的,精简的;vt.弄整齐,收拾,整理;vi.整理,收拾;adj.<口>可观的,相当大的
timber | n.木材,木料
tissue | n.薄的纱织品,薄纸,棉纸,[生]组织,连篇
title | n.头衔,名称,标题,冠军,资格,字幕,权利,扉页;vt.赋予头衔,加标题于;adj.标题的,用作书名的
toast | n.烤面包(片),吐司面包,干杯;vt.敬酒,烤(面包等),使暖和;vi.烤暖,烤火,烘
tolerance | n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量;vt.给(机器部件等)规定公差
tolerate | vt.忍受,容忍
tone | n.音调,音质,语调,色调,状况,品质,语气,气氛;vt.调和,增强,以特殊腔调说,配合,定音调;vi.颜色调和
topic | n.话题,主题
torch | n.火把,启发之物;vi.像火炬一样燃烧;vt.用火炬点燃
torture | n.折磨,痛苦,拷问,拷打;vt.拷问,曲解,折磨,使弯曲
tough | n.恶棍;adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的;adv.<口>强硬地,顽强地;vt.<美口>忍受,耐,坚持
tour | n.旅行,游历,旅游;v.旅行,游历,巡回,漫游
towel | n.手巾,毛巾;v.用毛巾擦
trace | n.痕迹,踪迹,微量,迹线,缰绳;vt.描绘,映描,画轮廓,追踪,回溯,探索;vi.上溯,沿路走
tractor | n.拖拉机
tradition | n.传统,惯例
tragedy | n.悲剧,惨案,悲惨,灾难
trail | n.踪迹,痕迹,形迹;vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走
transfer | n.迁移,移动,传递,转移,调任,转帐,过户,转让;vt.转移,调转,调任,传递,转让,改变;vi.转移,转学,换车
transform | vt.转换,改变,改造,使...变形;vi.改变,转化,变换;n.[数]变换(式),[语]转换
translation | n.翻译,译文,转化,调任,转换[物][数]平移
transmission | n.播送,发射,传动,传送,传输,转播
transmit | vt.传输,转送,传达,传导,发射,遗传,传播;vi.发射信号,发报
transparent | adj.透明的,显然的,明晰的
transport | n.传送器,运输,运输机,激动,流放犯,狂喜;vt.传送,运输,流放,放逐
transportation | n.运输,运送
trap | n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车;vi.设圈套,设陷阱;vt.诱捕,诱骗,计捉,设陷,坑害,使受限制
trash | n.无价值之物,无聊的作品,垃圾,废物
tray | n.盘,碟,盘子
treatment | n.待遇,对待,处理,治疗
treaty | n.条约,谈判
tremble | n.战栗,颤抖;vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑;vt.挥动,用颤抖的声音说出
tremendous | adj.极大的,巨大的
trend | n.倾向,趋势;vi.伸向,倾向,通向
trial | n.试验,考验,审讯,审判
triangle | n.[数]三角形,三人一组,三角关系
trim | adj.整齐的,整洁的;vt.整理,修整,装饰
triumph | n.胜利,成功;v.获得胜利
troop | n.群,组,多数,军队;vi.群集,结队,成群而行;vt.把(骑兵)编成骑兵连
tropical | adj.热带的,热情的
troublesome | adj.麻烦的,讨厌的,棘手的
truly | adv.真实地,不假
trumpet | n.喇叭
trunk | n.干线,树干,躯干,箱子,主干,象鼻;vt.把...放入旅行箱内;adj.树干的,躯干的,干线的,箱形的
tube | n.管,管子,[英]地铁,<美>电子管,显象管
tune | n.曲调,调子,和谐,合调;vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪
tunnel | n.隧道,地道
turbine | n.涡轮
tutor | n.家庭教师,(大学)指导教师,助教,监护人,辅导教师;v.辅导
twist | n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状;vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织;vi.扭弯,扭曲,缠绕,扭动,呈螺旋形
typewriter | n.打字机
typical | adj.典型的,象征性的
typist | n.打字员
tyre | n.轮胎;vt.装轮胎于
