ugly | adj.丑陋的,难看的
ultimate | adj.最后的,最终的,根本的;n.最终
umbrella | n.伞,雨伞,庇护
uncover | vt.揭开,揭露;v.揭示
undergo | vt.经历,遭受,忍受
undergraduate | n.大学肄业生,(尚未取得学位的)大学生;adj.大学生的
underground | adj.地下的,地面下的,秘密的;n.[英]地铁;adv.在地下,秘密地
underline | vt.在...下面划线,作...的衬里,加下划线,强调;n.下划线
underneath | adv.在下面;prep.在...的下面
understanding | n.谅解,理解
undertake | vt.承担,担任,许诺,保证;v.采取
undo | vt.解开,松开;v.取消,撤消
undoubtedly | adv.无庸置疑地,的确地
uneasy | adj.心神不安的,不自在的,不稳定的,不舒服的;adv.心神不安地,不自在地,不稳定地
unexpected | adj.想不到的,意外的,未预料到
unfortunately | adv.不幸地
union | n.联合,合并,结合,联盟,协会
unique | adj.唯一的,独特的
unite | v.联合,团结
unity | n.团结,联合,统一,一致
universal | adj.普遍的,全体的,通用的,宇宙的,世界的
universe | n.宇宙,世界,万物,领域
unless | conj.如果不,除非
unlike | adj.不同的,不相似的;prep.不象...,和...不同
unload | vi.卸货,退子弹;vt.摆脱...之负担,倾销,卸
unusual | adj.不平常的,与众不同的,不寻常的
upper | adj.上面的,上部的,较高地位的
upright | adj.垂直的,竖式的,正直的,诚实的,合乎正道的;adv.笔直,竖立着;n.垂直,竖立
upset | vt.颠覆,推翻,扰乱,使不适,使心烦;vi.翻倒,倾覆;n.翻倒,混乱
up-to-date | adj.直到现在的,最近的,当代的,新式的
urban | adj.城市的,市内的（suburbn.市郊,郊区;exurbn.城市远郊,城市远郊富裕居住区）
urge | vt.催促,力劝;n.强烈欲望,迫切要求;v.促进
urgent | adj.急迫的,紧急的
usage | n.使用,用法
utility | n.效用,有用
utilize | vt.利用
utmost | n.极限,最大可能,极力;adj.极度的,最远的
utter | adj.全然的,绝对的;vt.发出,做声,发表,发射,流通
vacant | adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的
vacation | n.假期,休假,(房屋等的)腾出;v.<美>度假,休假
vacuum | n.真空,空间,真空吸尘器;adj.真空的,产生真空的,利用真空的;vt.用真空吸尘器打扫
vague | adj.含糊的,不清楚的,茫然的,暧昧的
vain | adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的
valid | adj.[律]有效的,有根据的,正当的,正确的
van | n.有篷货车,先锋,前驱,前卫;vt.用车搬运
vanish | vi.消失,突然不见,[数]成为零;n.[语]弱化音
vapour | n.蒸汽,水蒸气
variable | n.[数]变数,可变物,变量;adj.可变的,不定的,易变的,[数]变量的
variation | n.变更,变化,变异,变种,[音]变奏,变调
variety | n.变化,多样性,种种,品种,种类
various | adj.不同的,各种各样的,多方面的,多样的
vary | vt.改变,变更,使多样化;vi.变化,不同,违反
vast | adj.巨大的,辽阔的,大量的,巨额的
vehicle | n.交通工具,车辆,媒介物,传达手段
venture | n.冒险,投机,风险;v.冒险,冒昧,斗胆,胆敢(谦语)
verify | vt.检验,校验,查证,核实;[计]打开或关闭文件的读写校验
version | n.译文,译本,翻译
vertical | adj.垂直的,直立的,顶点的,[解]头顶的;n.垂直线,垂直面,竖向
vessel | n.船,容器,器皿,脉管,导管
