cautious | adj.谨慎的,小心的
cease | v.停止,终了
cement | n.水泥,接合剂;vt.接合,用水泥涂,巩固;vi.粘牢
center | n.中心,中央,中心点,中锋;adj.中央的,位于正中的;vt.集中,使聚集在一点,定中心,居中;vi.居中,有中心,被置于中心
centigrade | adj.分为百度的,百分度的,摄氏温度的
centimetre | n.厘米,公分
ceremony | n.典礼,仪式,礼节,报幕员
certificate | n.证书,证明书;vt.发给证明书,以证书形式授权给…
challenge | n.挑战;vt.向...挑战
chamber | n.室,房间,议院,会所,(枪)膛
champion | n.冠军,拥护者,战士;vt.拥护,支持
channel | n.海峡,水道,沟,路线;vt.引导,开导,形成河道,信道,频道
chaos | n.混乱,混沌(宇宙未形成前的情形)
chap | n.<俗>伙伴,家伙,小伙子,颚,颊;v.(使)皲裂
chapter | n.(书籍中)章节
character | n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物;vt.写,刻,印,使具有特征
characteristic | adj.特有的,表示特性的,典型的;n.特性,特征
characterize | vt.表现...的特色,刻画的...性格
charge | n.负荷,电荷,费用,主管,掌管,充电,充气,装料;v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费
charity | n.慈善,施舍,慈善团体
charm | n.吸引力,(女人的)魔力,魅力,符咒;vt.迷人,使陶醉,行魔法;vi.用符咒,有魔力
chart | n.海图,图表;vt.制图
charter | vt.租,包(船、车等);n.宪章
chase | n.追赶,追击;vt.追赶,追逐,雕镂
cheat | n.欺骗,骗子;v.欺骗,骗取
cheerful | adj.愉快的,高兴的
chemical | adj.化学的;n.化学制品,化学药品;n.化学药品
chemist | n.化学家,药剂师
chest | n.胸腔,胸膛,箱,柜
chew | vt.咀爵(食物等);v.咀嚼,认真考虑
chief | n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的
childhood | n.孩童时期
chill | n.寒意,寒战,寒心;adj.寒冷的,扫兴的;v.使冷,变冷,冷藏
chin | n.下巴,颚
chip | n.碎片,筹码,芯片;v.削成碎片,碎裂
choke | v.窒息,哽住,使呼吸困难,阻塞;n.窒息,阻气门
chop | n.砍,排骨,官印,商标;vt.剁碎,砍,(风浪)突变
Christ | n.[基督教]救世主(特指耶稣基督)
Christian | n.基督徒,信徒;adj.基督教的,信基督教的
cigar | n.雪茄
cigarette | n.香烟,纸烟
circuit | n.电路,一圈,周游,巡回
circular | adj.圆形的,循环的;n.函件,通知
circulate | v.(使)流通,(使)运行,(使)循环,(使)传播
circumstance | n.环境,详情,境况
cite | vt.引用,引证,提名表扬
civil | adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的
civilian | n.平民,公务员,文官;adj.民间的,民用的
civilization | n.文明,文化,文明社会,文明,一个著名游戏的名称
civilize | vt.使开化,使文明,教化
claim | n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要
clap | n.拍手声,霹雳声;v.鼓掌,轻拍
clarify | v.澄清,阐明
clash | n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突
classic | n.杰作,名著;adj.第一流的
classical | adj.古典的,正统派的,古典文学的
classification | n.分类,分级
classify | vt.分类,分等
clause | n.子句,条款
claw | n.爪,脚爪;v.抓
clay | n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗
clerk | n.职员,办事员,<美>店员
click | v.发出滴答声;n.滴答声
client | n.[计]顾客,客户,委托人
cliff | n.悬崖,绝壁
climate | n.气候,风土,思潮
clue | n.线索
clumsy | adj.笨拙的
coach | n.四轮大马车,长途汽车,教练;v.训练,指导
coarse | adj.粗糙的,粗鄙的；coursen.过程,经过,进程,路线,跑道,课程v.追猎,急行,运行,流动
