coil | v.盘绕,卷
collapse | n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒
colleague | n.同事,同僚
collection | n.收藏,征收,搜集品,捐款
collective | adj.集体的;n.集体
collision | n.碰撞,冲突
colony | n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体
column | n.圆柱,柱壮物,专栏,纵队
comb | n.梳子,梳,鸡冠,蜂巢;vi.梳(发),搜索
combat | n.战斗,格斗;v.战斗,搏斗,抗击
combination | n.结合,联合,合并,化合,化合物
combine | v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机
comedy | n.喜剧,喜剧性的事情
command | n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临
commander | n.司令官,指挥官
comment | n.注释,评论,意见;vi.注释,评论
commerce | n.商业
commercial | adj.商业的,贸易的
commission | n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役
commit | vt.犯(错误),干(坏事),把...交托给,提交,答应负责
commitment | n.委托事项,许诺,承担义务
committee | n.委员会
communicate | v.沟通,通信,(房间、道路、花园等)相通,传达,感染
communication | n.传达,信息,交通,通讯
community | n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落
companion | n.同伴,共事者
comparable | adj.可比较的,比得上的
comparative | adj.比较的,相当的
compare | v.比较,相比,比喻n.比较
comparison | n.比较,对照,比喻,比较关系
compass | n.罗盘,指南针,圆规;v.包围
compel | vt.强迫,迫使
compete | vi.比赛,竞争
competent | adj.有能力的,胜任的
competition | n.竞争,竞赛
competitive | adj.竞争的
complain | v.抱怨,悲叹,控诉
complaint | n.诉苦,抱怨,牢骚,委屈,疾病
complex | adj.复杂的,合成的,综合的;n.联合体
complicated | adj.复杂的,难解的
component | n.成分;adj.组成的,构成的
compose | v.组成,写作,排字,(使)安定,调解
compound | n.混合物,[化]化合物;adj.复合的;v.混合,配合
comprehension | n.理解,包含
comprehensive | adj.全面的,广泛的,能充分理解的,包容的
compress | vt.压缩,摘要叙述;n.(外科)敷布
comprise | v.包含,由...组成
compromise | n.妥协,折衷;v.妥协,折衷,危及...的安全
conceal | vt.隐藏,隐蔽,隐瞒;v.隐蔽
concede | vt.勉强,承认,退让;vi.让步
concentrate | v.集中,浓缩
concentration | n.集中,集合,专心,浓缩,浓度
concept | n.观念,概念
concern | vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是
concerning | prep.关于
concession | n.让步
conclude | v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定
conclusion | n.结束,缔结,结论
concrete | adj.具体的,有形的;n.混凝土;v.用混凝土修筑,浇混凝土,凝结
condemn | vt.判刑,处刑,声讨,谴责
condense | v.(使)浓缩,精简
condition | n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况
conduct | n.行为,操行;v.引导,管理,为人,传导
conductor | n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长
conference | n.会议,讨论会,协商会
confess | v.承认,坦白,忏悔
confidence | n.信心
confident | adj.自信的,确信的
confine | vt.限制,禁闭;n.界限,边界
confirm | vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼
