firm | n.公司，企业；adj.坚固的，坚定的
like | n.爱好；prep.像，跟…一样；v.喜欢，喜爱
diet | n.饮食,节食；v.节食
pressure | n.压，压力；压强
activity | n.活动
accept | v.接受
defeat | vt.击败；战胜
relay | n.接力，接替；v.接替，运转
evidence | n.证据
imagine | v.想象，设想
relation | n.关系，亲属
freedom | n.自由
breakthrough | n.突破
left | adj.左边的；adv.向左边，在左边；n.左，左边
confirm | vt.确定，批准
ability | n.能力，才能
member | n.成员，会员
climate | n.气候，风气，环境气氛
stupid | adj.愚蠢的，笨的
organise | v.组织
decorate | v.装饰，修饰
wage | n.工资，报酬
target | n.目标，对象；靶子
conservative | adj.守旧的；保守主义的；谨慎的
lonely | adj.孤独的，寂寞的
slip | v.溜(进/走），滑动；n.片，纸片；滑倒
away | adv.离开，远离
congratulation | n.[pl.]祝贺
valuable | adj.值钱的，贵重的
grey | adj.灰色的，灰白的
protect | vt.保护
literature | n.文学
senior | adj.年长的，资深的，高年级的；n.上级，长辈，高年级学生
busy | adj.忙碌的
different | adj.不同的，有差异的
citizen | n.公民，市民
seize | v.抓住（时机等）
occur | vi.发生，出现
waste | vt.浪费；n.废弃物，粪便
shot | n.射击，开枪，开炮，射击声；子弹；拍摄
