except | prep.除…之外
past | adj.过去的，最近的 n.过去，往事 prep.经过；晚于
damage | n./v.毁坏，损害
pair | n.一双，一对
value | n.价值，益处 vt.估价，评价
another | adj.另一；别的 pron.另一个
everyday | adj.日常的
seat | n.座位，坐 vt.使就坐；可容纳
come | vi.（came，come，coming）来，来到 link.v.变成
till | conj./prep.直到，直到…为止
dig | v.（dug,dug,digging）挖（洞、沟等），掘
group | n.组，群
brilliant | adj.闪耀的；有才气的
wet | adj.湿的
rank | n.等级，级别；职衔，军衔
fierce | adj.猛烈的，激烈的
fortunate | adj.幸运的，侥幸的
addicted | adj.入迷的，上瘾的
furnished | adj.配备了家具的
changeable | adj.易变的，变化无常的
fine | adj.好的；晴朗的；（身体）健康的 vt.处…以罚金
failure | n.失败
bride | n.新娘
institute | n.协会；学院 v.建立，设立
however | adv.可是，然而，尽管如此；无论如何
reach | v.到达；（伸手）够到
grain | n.谷物，谷类
argument | n.[C]争论，争辩
beyond | prep.超过；（表示位置）在…的那边
distinguish | v.区分，辨别
complete | vt.完成；结束 adj.完成的，完整的
via | prep.经，经过，经由
ache | vi.疼痛 n.痛，疼痛
affect | vt.影响
misunderstand | vt.（misunderstood，misunderstood，misunderstanding）误会，不理解
little | adj.(less,least)小的；少的
row | n. 排，行 v.划船
customer | n.（商店等的）顾客，主顾
instant | adj.立即的；速食的 n.瞬间
