trust | vt./n.相信，信任，信赖
height | n.高，高度
forget | v.（forgot，forgotten，forgetting）忘记，忘掉
common | adj.普通的；公共的；共有的
broadcast | v.（broadcast/broadcasted，broadcast/broadcasted,broadcasting）广播 n.广播节目
primary | adj.初级的；首要的
stay | v.保持，停止，阻止 n.逗留（时间）
such | adv.那么，如此 adj.这样的，那样的 pron.（泛指）人，事物
review | vt.复习；重新调查 n.复习；复查；评论
regret | n.遗憾，懊悔；令人遗憾的事  vt.（regretted,regretted,regretting）遗憾；后悔
fresh | adj. 新鲜的；不熟练的
tradition | n.传统，惯例
moral | adj.道德的，精神的 n.道德；寓意
hopeless | adj.没有希望的；不可救药的
uniform | n.制服
delighted | adj.高兴地，快乐的
forehead | n.前额
could | （can的过去式）modal v.表示能力、许可、请求、可能等
base | n.根据地；底部 vt.以…为基础，基于…
bleed | v.（bled,bled bleeding）出血，流血
use | /ju:z/ vt./ju:s/n.利用；应用
allow | vt.允许，准许
skillful | adj.熟练地；技艺精湛的；灵巧的
listen | vi.听，仔细听，留神听
pleasant | adj.令人愉快的，舒适的
leather | n.皮革
characteristic | adj.特有的，独特的，典型的
shine | v.发光；照耀
generation | n.代，一代
dusty | adj.尘土般的；尘土多的
permission | n.允许，许可，同意
turn | v.旋转；转变；转弯 n.轮流
enjoy | v.欣赏，享受…之乐趣；喜欢
nature | n.自然；性质；本性
civilization | n.文明，文化
cheque | （美check）n.支票
bathe | v.洗澡，沐浴，浸洗
convenient | adj.便利的，方便的
glory | n.光荣，荣耀
