alive | adj.活着的，存在的
whatever | conj./pron.无论什么
produce | v.生产，制造
consequence | n.0结果，后果
incident | n.事件
envelop | n.信封
scan | v.（scanned，scanned，scanning）细看；浏览；扫描
attempt | vt./n.试图，尝试
contain | vt.包含；包括
business | n.商业，生意，事业，职业
wish | n./v.祝愿；想要
keep | v.（kept,kept,keeping）保留；保存；使…保持某种状态 link.v.保持，继续
constant | adj.经常的，不断的
from | prep.从；从…起；距；来自
open | adj.公开的；开着的 v.打开；公开
earthquake | n. 地震
shadow | n.[C]影子，阴影
detective | n.侦探
quality | n.质量；品质
appoint | vt.指定，任命
tour | n.[C]参观，观光，旅行
fellow | n.同伴，伙伴
conclusion | n.[C]结论；结束
react | vi.起反应，起作用；反抗
encourage | vt.鼓励，激励
count | v.数；计算；有价值
strength | n.力量，力气
may | modal v.可以；也许，可能
whose | pron./conj.谁的
bench | n.长凳；工作台
record | /'rekɔːd/n.记录；唱片/rɪ'kɔːd/v.录制，记录
ring | v.（rang,rung,ringing）(钟、铃等)响；打电话  n.电话铃声；环形物（如环、圈、戒指等）
already | adv.已经
reject | vt.拒绝
alarm | n.警报
hug | v.（hugged,hugged,hugging）紧抱，拥抱 n.拥抱
downstairs | adv.在楼下，到楼下
quit | v.（quitted/quit,quitted/quit,quitting）离开；停止
appeal | n./v.呼吁，请求
