period | n.时期，时代
feed | v.(fed,fed,feeding)喂(养)，饲（养）；吃（饲料）
breath | n.气息，呼吸
bent | adj.弯的 n.（某方面的）天赋，爱好
chance | n.机会，可能性
park | n.公园；停车场 vt.停放（汽车）
project | n.项目，工程
trick | n.[C]诡计，把戏
cry | n.喊；哭声 v.喊叫；哭
rent | n.租金 v.租用；出租
nationality | n. 国籍；民族
begin | v.（begen,begun,beginning）开始，着手
symptom | n.症状
windy | adj.多风的
indeed | adv.确实，实在
have | vt.（had,had,having）有，使，令 aux.v.帮助构成完成时态
prove | vt.证明，证实 vi.结果是，原来是
burst | v.(burst,burst,bbursting)突然发生；爆炸
advance | v./n.推进，前进
gym | (=gymnasium)n.体育馆；健身房
wise | adj.聪明的，明智的
culture | n.文化
companion | n.同伴，同事
dare | v.敢，敢于
train | v.培训，训练 n.火车
relax | v.（使）放松，轻松
honest | adj.诚实的，正直的
stick | v.（stuck，stuck，sticking）黏住；坚持 n.木棒，木棍
consult | v.请教，商议；查询
disease | n.病，疾病
direct | adj.直接的；直达的 v.指挥，指导
tasty | adj.味道好的
loose | adj.松散的；宽松的
chemical | adj.化学的n.化学制品
widespread | adj.分布广的
handwriting | n.书法
anything | pron.某事（物）；任何事（物）
knowledge | n.知识，学问
exhibition | n.展览，展览会；展品
