angry | adj.生气的，愤怒的
wipe | vt.擦；扫
between | prep.在（两者）之间；在…中间
couple | n.夫妇；（一）对，（一）双
output | n.产量，输出量
gather | v.聚集，采集
classic | adj.经典的，一流的
know | v.知道，了解；认识；懂得
although | conj.虽然，尽管
maybe | adv.可能，大概，也许
double | adj.两倍的，双重的 n.两个；双打 v.加倍
allocate | vt.分配；配给；拨出
practical | adj.实际的；适用的；实用的；应用的
where | adv./conj.那儿；何处
vehicle | n.车辆
approve | vt.批改，通过 vi.赞成；满意
polite | adj.有礼貌的，有教养的
concern | n.关系；关心 vt.涉及，关系到
elder | adj.年长的 n.长者，前辈
chapter | n.章
regardless | adv.不管，不顾；不加理会
heel | n.脚后跟
below | prep.在…下面 adv.在下面
popular | adj.流行的，受欢迎的；大众的
rude | adj.无礼的，粗鲁的，粗暴的
refuse | v.拒绝，不愿
document | n.文件，文献
ban | vt.（banned，banned，banning）禁止；取缔 n.禁令
mean | v.（meant，meant，meaning）意味着，意思是
resign | v.辞去，辞职
mix | v. 混合，搅拌
consistent | adj.一致的，连贯的
chief | adj.主要的，首要的 n.领导
repair | vt.修理，修补；纠正；恢复 n.修理，修补
worldwide | adj.遍及全球的，世界各地的
greet | vt.问候，向…致敬
fortune | n.财产；运气
guarantee | vt./n.保证，担保
brief | adj.简洁的
