both | adj.双方的 pron.两者都；双方都
express | vt.表达；表示 n.快车
trip | n.[C]旅行，旅程
write | v.（wrote，written，writing）写
inform | v.通知，告诉
academic | adj.学术的；（高等）院校的 n.大学教师；学者
trouble | n.问题；疾病；麻烦 vt.使苦恼；使忧虑；使麻烦
meanwhile | adv.同时
go | v.（went,gone ,going）去，走；进行；进展 
link.v.变得，变成
order | n.顺序 vt.命令；点菜；订货
homeland | n.祖国
used | adj.用过的；就得，二手的
connect | vt.连接，把…联系起来
by | prep.靠近；到…时；被；由；以…的标准
experience | vt.经理，体验 n.经验，经历
personally | adv.就自己而言
somebody | pron.某人，重要人物
suggest | vt.建议；提出；暗示
work | n.工作；著作 v.工作；运作；奏效
plan | n./v.（planned，planned，planning）计划，打算
speech | n.演讲
undertake | vt.（undertook，undertaken，undertaking）承担；保证
recommend | v.推荐
attractive | adj.迷人的，有吸引力的
weight | n.重量
believe | vt.相信；认为
fight | n./v.（fought,fought,fighting）打仗，打架；争论
pass | v.传递；经过
build | v.（built，built，building）建造 n.构造
behind | prep.（表示位置）在…后面 adv.在后面；向后
manner | n.方式；举止；[pl]礼貌，规矩
quite | adv.完全，十分
instruction | n.说明，须知；教导
behaviour | （美behavior）n.[U]行为，举止
apologize | vi.道歉，谢罪
excellent | adj.极好的，优秀的
kind | n.[C]种，类 adj.善良的，亲切的，和蔼的，仁慈的
claw | n.爪
gesture | n.姿势；手势
