include | vvt.包含，包括
ought | modal v.应当，应该
crazy | adj.疯狂的
challenging | adj.具有挑战性的
exact | adj.精确的，准确的，确切的
translate | v.翻译
sure | adj.确信，肯定 adv.<口语>的确，一定，当然
ordinary | adj.普通的，平常的
apply | v.申请；应用
lecture | n.[C]讲课，演讲
feel | vt.（felt,felt,feeling）感觉；触摸；认为 
vi.摸索，寻找 link v.觉得；摸起来
congratulate | vt.祝贺，恭贺
position | n.位置；职位
never | adv.决不，从来都不
illegal | adj.违法的，不合规定的
victory | n.[C]胜利
survive | vi.幸存，生还 vt.比…活得长
satisfaction | n.满意
memory | n.回忆，记忆
rule | n.规则，规定；统治 vt.统治；支配
suitable | adj.合适的，适宜的
remark | n./v.陈述，评论
copy | n.抄本，副本；一本（份、册）v.复制；抄写；复印
fantastic | adj.极好的，美妙的，很棒的
whom | pron./conj.谁
differ | vi.不一致，有区别
accident | n.事故，意外事件
hear | v.(heard，heard，hearing)听见，听说，得知
portable | adj.轻便的，便携的
still | adj.静止的，平静的 adv.仍然，还
change | vt. 改变；更换；兑换 n.零钱；变化
garbage | n.垃圾
will | modal v.（would）将要 n.意志；遗憾
promote | vt.促进；提升；推销
settle | vi.安家，安定 vt.解决（问题）
date | n.日期；约会 vt.约会；注明日期
match | v.相配，相称 n.比赛；火柴
conference | n.（正式的）会议
neighbour | （美neighbor）n.邻居
