advise | vt.忠告，劝告，建议
rush | vi.冲，奔跑
every | adj.每一，每个的；没……
rescue | vt./n.营救，援救
ask | v.询问；要求
dumpling | n.饺子
trend | n.趋向，趋势；时尚
communicate | v.交际；传达（感情、信息等);通信
scream | v.尖叫，尖声叫喊；n.尖叫声
bored | adj.无聊的，厌烦的
chew | v.咀嚼
list | n.一览表，清单；vt.列表
advertise | vt.为……做广告
blind | adj.瞎的，盲的
status | n.身份，地位
beside | prep.在……旁边；靠近
fire | n.火，火灾；vt.点火；射击；解雇
greedy | adj.贪婪的
prevent | v.防止，阻止
unusual | adj.不平常的，异常的
perfect | adj.完美的，极好的
question | vt.询问；n.问题
exist | vi.存在，生存
wisdom | n.智慧
civil | adj.国内的；平民的；民事的
send | vt.(sent,sent,sending)打发，派遣；送，邮寄
flow | v.流动；n.流，流动
calm | adj.镇静的，沉着的；v.镇静，沉着
hardly | adv.几乎不
disappointed | adj.失望的
hate | vt.恨，讨厌，不喜欢；n.怨恨
kiss | n.[C]吻，亲吻；vt.吻，亲吻
patent | n.专利权
point | v.指，指向；n.点；要点，观点；分数
famous | adj.著名的，出名的
interest | n.兴趣，趣味；利息；vt.使产生兴趣
aloud | adv.大声地；出声地
