nearby | adj.附近的；adv.在附近
inspect | vt.检查；审视
modern | adj.现代的，近代的；时尚的
mistake | v.（mistook,mistaken,mistaking)弄错；n.错误
for | prep.为了；在……期间；对于；conj.因为，由于
chain | n.链，链条
intention | n.计划，意图，目的
electrical | adj.与电有关的，电气的
round | adv.转过来 prep.环绕一周，围着；adj.圆的，球形的
reply | n./vi.(replied,replied,replying)回答，答复
around | adv.在周围；在附近；大约；掉头；prep.在……周围 绕着
flood | n.洪水；v.淹没，泛滥
depend | vi.依靠，指望；取决于
course | n.过程，经过；课程
realize | vt.认识到，实现
share | v.分享，共同使用；n.一份；股份
lock | n.锁；vt.锁，锁上
physical | adj.身体的；物理的；客观存在的
watch | n.手表；v.观察，观看
desert | /dɪ'zɜ:t/v.舍弃，遗弃；/'dezət/n.沙漠
visit | n./v.参观，访问，拜访
beneficial | adj.有益的，受益的
warmth | n.温暖，暖和；热烈，热情，热心
climb | v.爬，攀登
pretend | v.假装，装作
crossing | n.十字路口；人行横道
departure | n.离开；背离；违反
result | n.结果，效果
careless | adj.粗心的，漫不经心的
scold | vt.责骂，谴责
of | prep.……的
enter | v.进入
off | prep./adv.离开，走开
gain | v.获得，挣得；n.收获
disable | adj.残疾的
fence | n.栅栏，篱笆
deep | adj.深的，深厚的；沉睡的；渊博的；adv.深深地；在深处
