welcome | n./vt./adj.欢迎
though | conj./adv.虽然，可是，尽管
idiom | n.习语，成语
resist | vt.抵抗；挡开
strict | adj.严格的，严密的
conversation | n.谈话，交谈
next | adj.最近的；紧挨着的，隔壁的；下一次； adv.随后，然后，下一步；n.下一个人（东西）
divorce | n.离婚；vt.使离婚
basis | n.[C]基础；根据；原则
lesson | n.课；功课；教训
software | n.软件
mention | vt.提到，说起；n.提及
absurd | adj.不合理的，荒谬的
latter | n.（两者之中的）后者
large | adj.大的；巨大的
preview | vt.预演，预习
level | n.水平线，水平；adj.平坦的
accustomed | adj.通常的，习惯的
fax | n.传真
typical | adj.典型的，象征性的
editor | n.编辑
develop | v.（使）发展；（使）发育；开发；冲洗（照片）
leak | v.漏，泄漏
end | v.结束，终止；n.终点；结束
balance | n.平衡；v.使平衡；权衡
injury | n.损伤；受伤处
adventure | n.冒险；奇遇
pride | n.自豪，骄傲；v.（使）自豪，（使）自夸
bar | n.酒吧；条，横木；栅栏
adopt | vt.采用；收养
dip | v.（dipped,dipped,dipping)浸，蘸
satisfy | v.满足，使满意
doubt | n./v.怀疑，疑惑
appreciate | vt.欣赏；感激
subject | n.题目，主题；学科；主语；主体
control | vt./n（controlled,controlled,controlling)控制
sell | v.卖，售
vacant | adj.空的，空白的
